Jan 18, 2017  02:06:35 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   1.05E-010, 
  1.10,   1.46E-010, 
  1.20,   1.02E-009, 
  1.30,   7.29E-009, 
  1.40,   1.45E-008, 
  1.50,   1.13E-008, 
  1.60,   9.91E-009, 
  1.70,   1.10E-008, 
  1.80,   1.43E-008, 
  1.90,   1.82E-008, 
  2.00,   2.04E-008, 
  2.10,   2.12E-008, 
  2.20,   2.01E-008, 
  2.30,   1.80E-008, 
  2.40,   1.42E-008, 
  2.50,   7.58E-009, 
  2.60,   3.48E-009, 
  2.70,   1.73E-009, 
  2.80,   7.32E-010, 
  2.90,   3.25E-010, 
  3.00,   2.33E-010, 
  3.10,   1.50E-010, 
  3.20,   1.32E-010, 
  3.30,   6.16E-011, 
  3.40,   3.50E-012, 
  3.50,  -1.61E-011, 
  3.60,  -3.78E-011, 
  3.70,  -2.87E-011, 
  3.80,  -1.13E-010, 
  3.90,  -1.07E-010, 
  4.00,  -4.41E-011, 
  4.10,   5.60E-012, 
  4.20,   7.98E-011, 
  4.30,   1.68E-011, 
  4.40,  -6.65E-011, 
  4.50,  -5.39E-011, 
  4.60,  -3.22E-011, 
  4.70,  -1.01E-010, 
  4.80,  -1.04E-010, 
  4.90,  -1.13E-010, 
  5.00,  -7.35E-011, 
  5.10,  -1.04E-010, 
  5.20,  -1.47E-010, 
  5.30,  -1.70E-010, 
  5.40,  -1.49E-010, 
  5.50,  -1.09E-010, 
  5.60,  -5.88E-011, 
  5.70,  -6.79E-011, 
  5.80,  -5.11E-011, 
  5.90,  -2.17E-011, 
  6.00,  -3.99E-011, 
  6.10,  -7.84E-011, 
  6.20,  -8.89E-011, 
  6.30,  -9.45E-011, 
  6.40,  -1.10E-010, 
  6.50,  -1.43E-010, 
  6.60,  -9.87E-011, 
  6.70,  -9.94E-011, 
  6.80,  -5.18E-011, 
  6.90,  -3.57E-011, 
  7.00,  -4.20E-011, 
  7.10,   1.82E-011, 
  7.20,  -7.84E-011, 
  7.30,  -3.71E-011, 
  7.40,  -8.26E-011, 
  7.50,  -1.45E-010, 
  7.60,  -2.37E-010, 
  7.70,  -1.18E-010, 
  7.80,  -7.91E-011, 
  7.90,  -1.10E-010, 
  8.00,  -1.50E-010, 
  8.10,  -1.55E-010, 
  8.20,  -1.56E-010, 
  8.30,  -1.38E-010, 
  8.40,  -6.02E-011, 
  8.50,  -2.17E-011, 
  8.60,  -4.13E-011, 
  8.70,   9.80E-011, 
  8.80,  -5.74E-011, 
  8.90,  -1.56E-010, 
  9.00,  -1.50E-010, 
  9.10,  -1.54E-010, 
  9.20,  -3.92E-011, 
  9.30,  -8.89E-011, 
  9.40,  -8.82E-011, 
  9.50,  -6.02E-011, 
  9.60,  -2.10E-012, 
  9.70,  -6.16E-011, 
  9.80,  -7.49E-011, 
  9.90,  -8.68E-011, 
 10.00,  -1.15E-010, 
 10.10,  -1.87E-010, 
 10.20,  -7.00E-011, 
 10.30,  -4.06E-011, 
 10.40,  -7.07E-011, 
 10.50,  -1.13E-010, 
 10.60,  -1.19E-010, 
 10.70,  -1.86E-010, 
 10.80,  -2.26E-010, 
 10.90,  -2.11E-010, 
 11.00,  -1.46E-010, 
 11.10,  -8.19E-011, 
 11.20,  -7.00E-013, 
 11.30,  -6.44E-011, 
 11.40,  -6.93E-011, 
 11.50,  -4.97E-011, 
 11.60,   3.50E-012, 
 11.70,   6.72E-011, 
 11.80,   1.12E-010, 
 11.90,   2.21E-010, 
 12.00,   2.92E-010, 
 12.10,   3.58E-010, 
 12.20,   4.22E-010, 
 12.30,   2.77E-010, 
 12.40,   2.09E-010, 
 12.50,  -2.31E-011, 
 12.60,  -1.02E-010, 
 12.70,  -7.42E-011, 
 12.80,  -1.75E-011, 
 12.90,   7.00E-011, 
 13.00,   9.94E-011, 
 13.10,   9.03E-011, 
 13.20,   6.30E-012, 
 13.30,   4.90E-012, 
 13.40,   1.12E-011, 
 13.50,  -2.31E-011, 
 13.60,  -4.55E-011, 
 13.70,   5.18E-011, 
 13.80,   2.26E-010, 
 13.90,   4.54E-010, 
 14.00,   5.90E-010, 
 14.10,   6.15E-010, 
 14.20,   6.55E-010, 
 14.30,   6.60E-010, 
 14.40,   5.22E-010, 
 14.50,   3.28E-010, 
 14.60,   2.58E-010, 
 14.70,   3.66E-010, 
 14.80,   5.19E-010, 
 14.90,   7.77E-010, 
 15.00,   1.16E-009, 
 15.10,   1.21E-009, 
 15.20,   1.33E-009, 
 15.30,   1.30E-009, 
 15.40,   1.12E-009, 
 15.50,   4.50E-010, 
 15.60,   4.68E-010, 
 15.70,   6.20E-010, 
 15.80,   1.68E-009, 
 15.90,   2.49E-009, 
 16.00,   2.99E-009, 
 16.10,   3.18E-009, 
 16.20,   3.42E-009, 
 16.30,   3.34E-009, 
 16.40,   3.02E-009, 
 16.50,   2.44E-009, 
 16.60,   3.19E-009, 
 16.70,   7.08E-009, 
 16.80,   1.48E-008, 
 16.90,   2.41E-008, 
 17.00,   3.04E-008, 
 17.10,   3.20E-008, 
 17.20,   3.20E-008, 
 17.30,   2.85E-008, 
 17.40,   2.18E-008, 
 17.50,   1.23E-008, 
 17.60,   1.39E-008, 
 17.70,   3.27E-008, 
 17.80,   7.30E-008, 
 17.90,   1.09E-007, 
 18.00,   1.26E-007, 
 18.10,   1.26E-007, 
 18.20,   1.23E-007, 
 18.30,   1.05E-007, 
 18.40,   6.84E-008, 
 18.50,   1.82E-008, 
 18.60,   7.10E-009, 
 18.70,   3.68E-009, 
 18.80,   2.18E-009, 
 18.90,   1.26E-009, 
 19.00,   5.85E-010, 
 19.10,   6.09E-010, 
 19.20,   5.62E-010, 
 19.30,   4.47E-010, 
 19.40,   4.01E-010, 
 19.50,   4.16E-010, 
 19.60,   1.78E-010, 
 19.70,   9.94E-011, 
 19.80,   1.27E-010, 
 19.90,   1.31E-010, 
 20.00,   1.96E-010, 
 20.10,   3.03E-010, 
 20.20,   2.44E-010, 
 20.30,   2.38E-010, 
 20.40,   1.15E-010, 
 20.50,  -3.50E-012, 
 20.60,  -3.08E-011, 
 20.70,   6.30E-011, 
 20.80,   6.79E-011, 
 20.90,   7.63E-011, 
 21.00,   3.29E-011, 
 21.10,  -6.23E-011, 
 21.20,  -1.75E-011, 
 21.30,   2.24E-011, 
 21.40,   6.65E-011, 
 21.50,   1.96E-011, 
 21.60,  -3.78E-011, 
 21.70,   7.00E-013, 
 21.80,  -3.50E-011, 
 21.90,  -4.41E-011, 
 22.00,   2.10E-012, 
 22.10,  -9.31E-011, 
 22.20,  -1.15E-010, 
 22.30,  -1.13E-010, 
 22.40,  -9.52E-011, 
 22.50,  -8.40E-011, 
 22.60,  -7.00E-011, 
 22.70,  -7.07E-011, 
 22.80,   0.00E+000, 
 22.90,  -6.44E-011, 
 23.00,  -9.31E-011, 
 23.10,  -1.19E-011, 
 23.20,  -4.76E-011, 
 23.30,   1.76E-010, 
 23.40,   2.07E-010, 
 23.50,   1.55E-010, 
 23.60,   3.78E-011, 
 23.70,   6.23E-011, 
 23.80,   1.96E-011, 
 23.90,   1.33E-011, 
 24.00,   3.29E-011, 
 24.10,   1.08E-010, 
 24.20,   1.72E-010, 
 24.30,   9.94E-011, 
 24.40,   7.14E-011, 
 24.50,   9.80E-011, 
 24.60,  -6.30E-012, 
 24.70,  -1.05E-011, 
 24.80,   7.07E-011, 
 24.90,   1.77E-010, 
 25.00,   2.63E-010, 
 25.10,   2.74E-010, 
 25.20,   2.52E-010, 
 25.30,   2.26E-010, 
 25.40,   2.95E-010, 
 25.50,   2.49E-010, 
 25.60,   1.58E-010, 
 25.70,   1.64E-010, 
 25.80,   3.22E-010, 
 25.90,   4.51E-010, 
 26.00,   7.09E-010, 
 26.10,   8.03E-010, 
 26.20,   8.49E-010, 
 26.30,   8.57E-010, 
 26.40,   8.70E-010, 
 26.50,   6.43E-010, 
 26.60,   4.65E-010, 
 26.70,   4.87E-010, 
 26.80,   8.03E-010, 
 26.90,   1.80E-009, 
 27.00,   2.31E-009, 
 27.10,   2.69E-009, 
 27.20,   2.89E-009, 
 27.30,   2.82E-009, 
 27.40,   2.63E-009, 
 27.50,   2.08E-009, 
 27.60,   1.63E-009, 
 27.70,   2.01E-009, 
 27.80,   3.63E-009, 
 27.90,   5.67E-009, 
 28.00,   7.88E-009, 
 28.10,   9.32E-009, 
 28.20,   1.01E-008, 
 28.30,   9.84E-009, 
 28.40,   8.71E-009, 
 28.50,   5.36E-009, 
 28.60,   2.83E-009, 
 28.70,   1.84E-009, 
 28.80,   1.81E-009, 
 28.90,   2.19E-009, 
 29.00,   2.77E-009, 
 29.10,   3.21E-009, 
 29.20,   3.44E-009, 
 29.30,   3.49E-009, 
 29.40,   3.23E-009, 
 29.50,   2.21E-009, 
 29.60,   1.14E-009, 
 29.70,   5.80E-010, 
 29.80,   4.78E-010, 
 29.90,   4.85E-010, 
 30.00,   5.99E-010, 
 30.10,   6.85E-010, 
 30.20,   7.07E-010, 
 30.30,   6.41E-010, 
 30.40,   6.46E-010, 
 30.50,   5.04E-010, 
 30.60,   4.03E-010, 
 30.70,   2.49E-010, 
 30.80,   2.95E-010, 
 30.90,   3.59E-010, 
 31.00,   4.66E-010, 
 31.10,   5.26E-010, 
 31.20,   5.74E-010, 
 31.30,   6.95E-010, 
 31.40,   6.23E-010, 
 31.50,   5.67E-010, 
 31.60,   5.48E-010, 
 31.70,   5.26E-010, 
 31.80,   9.01E-010, 
 31.90,   1.68E-009, 
 32.00,   2.03E-009, 
 32.10,   2.40E-009, 
 32.20,   2.63E-009, 
 32.30,   2.59E-009, 
 32.40,   2.38E-009, 
 32.50,   1.62E-009, 
 32.60,   5.88E-010, 
 32.70,   3.45E-010, 
 32.80,   2.51E-010, 
 32.90,   2.61E-010, 
 33.00,   2.37E-010, 
 33.10,   3.47E-010, 
 33.20,   2.87E-010, 
 33.30,   2.93E-010, 
 33.40,   1.88E-010, 
 33.50,   1.29E-010, 
 33.60,   8.75E-011, 
 33.70,   8.61E-011, 
 33.80,   7.63E-011, 
 33.90,   9.17E-011, 
 34.00,   8.75E-011, 
 34.10,   1.19E-010, 
 34.20,   2.32E-010, 
 34.30,   3.78E-010, 
 34.40,   3.97E-010, 
 34.50,   2.65E-010, 
 34.60,   1.35E-010, 
 34.70,   1.38E-010, 
 34.80,   7.70E-011, 
 34.90,   1.56E-010, 
 35.00,   1.24E-010, 
 35.10,   4.41E-011, 
 35.20,   3.99E-011, 
 35.30,   9.24E-011, 
 35.40,   1.44E-010, 
 35.50,   6.65E-011, 
 35.60,   5.32E-011, 
 35.70,   1.01E-010, 
 35.80,   9.59E-011, 
 35.90,   2.11E-010, 
 36.00,   2.35E-010, 
 36.10,   3.03E-010, 
 36.20,   4.06E-010, 
 36.30,   4.05E-010, 
 36.40,   4.24E-010, 
 36.50,   4.53E-010, 
 36.60,   3.74E-010, 
 36.70,   1.94E-010, 
 36.80,   1.90E-010, 
 36.90,   2.54E-010, 
 37.00,   3.34E-010, 
 37.10,   3.93E-010, 
 37.20,   4.28E-010, 
 37.30,   4.01E-010, 
 37.40,   4.31E-010, 
 37.50,   2.51E-010, 
 37.60,   2.04E-010, 
 37.70,   2.58E-010, 
 37.80,   3.11E-010, 
 37.90,   3.86E-010, 
 38.00,   4.32E-010, 
 38.10,   4.94E-010, 
 38.20,   4.96E-010, 
