Jan 18, 2017  02:44:00 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   4.38E-009, 
  1.10,   5.03E-009, 
  1.20,   7.34E-009, 
  1.30,   1.71E-008, 
  1.40,   2.57E-008, 
  1.50,   2.15E-008, 
  1.60,   1.73E-008, 
  1.70,   1.43E-008, 
  1.80,   1.37E-008, 
  1.90,   1.41E-008, 
  2.00,   1.43E-008, 
  2.10,   1.43E-008, 
  2.20,   1.35E-008, 
  2.30,   1.19E-008, 
  2.40,   9.34E-009, 
  2.50,   5.07E-009, 
  2.60,   2.59E-009, 
  2.70,   1.27E-009, 
  2.80,   4.78E-010, 
  2.90,   1.30E-010, 
  3.00,   1.19E-011, 
  3.10,  -1.32E-010, 
  3.20,  -9.38E-011, 
  3.30,  -1.25E-010, 
  3.40,  -1.25E-010, 
  3.50,  -2.11E-010, 
  3.60,  -2.07E-010, 
  3.70,  -1.93E-010, 
  3.80,  -1.46E-010, 
  3.90,  -2.25E-010, 
  4.00,  -2.69E-010, 
  4.10,  -2.91E-010, 
  4.20,  -3.15E-010, 
  4.30,  -3.77E-010, 
  4.40,  -4.12E-010, 
  4.50,  -3.70E-010, 
  4.60,  -3.82E-010, 
  4.70,  -3.08E-010, 
  4.80,  -3.56E-010, 
  4.90,  -3.33E-010, 
  5.00,  -4.01E-010, 
  5.10,  -4.47E-010, 
  5.20,  -4.64E-010, 
  5.30,  -5.34E-010, 
  5.40,  -4.77E-010, 
  5.50,  -4.71E-010, 
  5.60,  -5.48E-010, 
  5.70,  -4.82E-010, 
  5.80,  -4.78E-010, 
  5.90,  -4.76E-010, 
  6.00,  -4.36E-010, 
  6.10,  -3.78E-010, 
  6.20,  -3.90E-010, 
  6.30,  -3.94E-010, 
  6.40,  -3.28E-010, 
  6.50,  -3.05E-010, 
  6.60,  -3.41E-010, 
  6.70,  -2.46E-010, 
  6.80,  -2.04E-010, 
  6.90,  -3.19E-010, 
  7.00,  -3.33E-010, 
  7.10,  -2.55E-010, 
  7.20,  -2.16E-010, 
  7.30,  -2.70E-010, 
  7.40,  -1.10E-010, 
  7.50,  -1.93E-010, 
  7.60,  -2.74E-010, 
  7.70,  -2.38E-010, 
  7.80,  -1.49E-010, 
  7.90,  -1.17E-010, 
  8.00,  -1.56E-010, 
  8.10,  -1.24E-010, 
  8.20,  -1.74E-010, 
  8.30,  -2.32E-010, 
  8.40,  -1.80E-010, 
  8.50,  -7.56E-011, 
  8.60,  -1.00E-010, 
  8.70,  -1.34E-010, 
  8.80,  -2.46E-010, 
  8.90,  -2.23E-010, 
  9.00,  -2.12E-010, 
  9.10,  -1.49E-010, 
  9.20,  -9.66E-011, 
  9.30,  -1.72E-010, 
  9.40,  -2.18E-010, 
  9.50,  -1.05E-010, 
  9.60,  -2.04E-010, 
  9.70,  -2.09E-010, 
  9.80,  -1.30E-010, 
  9.90,  -2.52E-010, 
 10.00,  -2.98E-010, 
 10.10,  -2.37E-010, 
 10.20,  -2.26E-010, 
 10.30,  -2.49E-010, 
 10.40,  -2.33E-010, 
 10.50,  -2.39E-010, 
 10.60,  -3.06E-010, 
 10.70,  -2.65E-010, 
 10.80,  -2.75E-010, 
 10.90,  -2.25E-010, 
 11.00,  -1.62E-010, 
 11.10,  -1.60E-010, 
 11.20,  -1.91E-010, 
 11.30,  -1.66E-010, 
 11.40,  -1.37E-010, 
 11.50,  -9.38E-011, 
 11.60,  -6.30E-011, 
 11.70,   4.48E-011, 
 11.80,   2.91E-010, 
 11.90,   4.75E-010, 
 12.00,   5.40E-010, 
 12.10,   6.53E-010, 
 12.20,   6.70E-010, 
 12.30,   5.83E-010, 
 12.40,   4.60E-010, 
 12.50,   2.80E-010, 
 12.60,   2.41E-010, 
 12.70,   9.73E-011, 
 12.80,   1.26E-010, 
 12.90,   1.97E-010, 
 13.00,   3.42E-010, 
 13.10,   7.17E-010, 
 13.20,   1.71E-009, 
 13.30,   3.30E-009, 
 13.40,   7.36E-009, 
 13.50,   1.89E-008, 
 13.60,   5.94E-008, 
 13.70,   1.50E-007, 
 13.80,   2.43E-007, 
 13.90,   2.94E-007, 
 14.00,   2.95E-007, 
 14.10,   2.97E-007, 
 14.20,   2.49E-007, 
 14.30,   1.93E-007, 
 14.40,   4.65E-008, 
 14.50,   1.21E-008, 
 14.60,   6.04E-009, 
 14.70,   3.95E-009, 
 14.80,   3.01E-009, 
 14.90,   2.61E-009, 
 15.00,   2.55E-009, 
 15.10,   2.52E-009, 
 15.20,   2.71E-009, 
 15.30,   3.08E-009, 
 15.40,   3.83E-009, 
 15.50,   6.90E-009, 
 15.60,   1.67E-008, 
 15.70,   4.11E-008, 
 15.80,   7.35E-008, 
 15.90,   9.51E-008, 
 16.00,   9.81E-008, 
 16.10,   9.93E-008, 
 16.20,   8.55E-008, 
 16.30,   6.79E-008, 
 16.40,   2.42E-008, 
 16.50,   1.03E-008, 
 16.60,   9.24E-009, 
 16.70,   1.42E-008, 
 16.80,   2.38E-008, 
 16.90,   3.40E-008, 
 17.00,   3.71E-008, 
 17.10,   3.86E-008, 
 17.20,   3.54E-008, 
 17.30,   3.16E-008, 
 17.40,   1.86E-008, 
 17.50,   1.43E-008, 
 17.60,   2.78E-008, 
 17.70,   6.64E-008, 
 17.80,   1.15E-007, 
 17.90,   1.56E-007, 
 18.00,   1.56E-007, 
 18.10,   1.64E-007, 
 18.20,   1.37E-007, 
 18.30,   1.18E-007, 
 18.40,   4.17E-008, 
 18.50,   1.11E-008, 
 18.60,   5.25E-009, 
 18.70,   2.93E-009, 
 18.80,   1.86E-009, 
 18.90,   1.41E-009, 
 19.00,   1.19E-009, 
 19.10,   8.52E-010, 
 19.20,   4.15E-010, 
 19.30,   4.72E-010, 
 19.40,   4.72E-010, 
 19.50,   7.00E-010, 
 19.60,   1.51E-009, 
 19.70,   2.59E-009, 
 19.80,   4.30E-009, 
 19.90,   6.16E-009, 
 20.00,   7.33E-009, 
 20.10,   7.99E-009, 
 20.20,   7.75E-009, 
 20.30,   7.01E-009, 
 20.40,   4.26E-009, 
 20.50,   2.24E-009, 
 20.60,   1.22E-009, 
 20.70,   3.83E-010, 
 20.80,   1.90E-010, 
 20.90,   5.32E-011, 
 21.00,  -3.36E-011, 
 21.10,  -4.20E-012, 
 21.20,  -8.54E-011, 
 21.30,  -1.39E-010, 
 21.40,  -2.03E-010, 
 21.50,  -1.23E-010, 
 21.60,  -5.18E-011, 
 21.70,  -1.72E-010, 
 21.80,  -2.10E-010, 
 21.90,  -1.95E-010, 
 22.00,  -1.46E-010, 
 22.10,  -4.13E-011, 
 22.20,   8.40E-012, 
 22.30,   8.40E-011, 
 22.40,   4.90E-012, 
 22.50,   2.80E-011, 
 22.60,   2.24E-011, 
 22.70,  -1.01E-010, 
 22.80,  -1.64E-010, 
 22.90,  -2.01E-010, 
 23.00,  -2.35E-010, 
 23.10,  -2.35E-010, 
 23.20,  -2.09E-010, 
 23.30,  -1.88E-010, 
 23.40,  -1.74E-010, 
 23.50,  -1.98E-010, 
 23.60,  -1.67E-010, 
 23.70,  -1.39E-010, 
 23.80,  -8.12E-011, 
 23.90,  -2.08E-010, 
 24.00,  -1.64E-010, 
 24.10,  -1.42E-010, 
 24.20,  -1.11E-010, 
 24.30,  -1.25E-010, 
 24.40,  -1.26E-010, 
 24.50,  -4.13E-011, 
 24.60,  -7.00E-011, 
 24.70,  -4.41E-011, 
 24.80,  -6.30E-011, 
 24.90,   4.90E-012, 
 25.00,   1.46E-010, 
 25.10,   9.10E-011, 
 25.20,   1.32E-010, 
 25.30,   1.53E-010, 
 25.40,   7.98E-011, 
 25.50,   6.37E-011, 
 25.60,   9.80E-011, 
 25.70,   1.45E-010, 
 25.80,   2.40E-010, 
 25.90,   3.46E-010, 
 26.00,   4.82E-010, 
 26.10,   8.66E-010, 
 26.20,   1.19E-009, 
 26.30,   1.21E-009, 
 26.40,   1.09E-009, 
 26.50,   1.10E-009, 
 26.60,   1.38E-009, 
 26.70,   2.13E-009, 
 26.80,   3.36E-009, 
 26.90,   5.42E-009, 
 27.00,   9.74E-009, 
 27.10,   1.78E-008, 
 27.20,   3.82E-008, 
 27.30,   1.02E-007, 
 27.40,   2.25E-007, 
 27.50,   4.58E-007, 
 27.60,   1.13E-006, 
 27.70,   2.34E-006, 
 27.80,   3.67E-006, 
 27.90,   4.86E-006, 
 28.00,   4.81E-006, 
 28.10,   5.09E-006, 
 28.20,   4.32E-006, 
 28.30,   3.99E-006, 
 28.40,   9.38E-007, 
 28.50,   4.81E-008, 
 28.60,   1.87E-008, 
 28.70,   1.65E-008, 
 28.80,   2.19E-008, 
 28.90,   3.06E-008, 
 29.00,   3.46E-008, 
 29.10,   3.59E-008, 
 29.20,   3.42E-008, 
 29.30,   3.13E-008, 
 29.40,   1.94E-008, 
 29.50,   7.88E-009, 
 29.60,   3.88E-009, 
 29.70,   2.27E-009, 
 29.80,   1.49E-009, 
 29.90,   1.25E-009, 
 30.00,   1.20E-009, 
 30.10,   1.00E-009, 
 30.20,   7.07E-010, 
 30.30,   6.41E-010, 
 30.40,   6.95E-010, 
 30.50,   5.26E-010, 
 30.60,   5.27E-010, 
 30.70,   4.98E-010, 
 30.80,   9.19E-010, 
 30.90,   1.65E-009, 
 31.00,   2.32E-009, 
 31.10,   3.94E-009, 
 31.20,   7.56E-009, 
 31.30,   1.74E-008, 
 31.40,   4.07E-008, 
 31.50,   9.58E-008, 
 31.60,   2.38E-007, 
 31.70,   4.87E-007, 
 31.80,   7.84E-007, 
 31.90,   1.03E-006, 
 32.00,   1.01E-006, 
 32.10,   1.07E-006, 
 32.20,   8.94E-007, 
 32.30,   8.26E-007, 
 32.40,   1.91E-007, 
 32.50,   2.29E-008, 
 32.60,   9.10E-009, 
 32.70,   4.92E-009, 
 32.80,   3.06E-009, 
 32.90,   2.22E-009, 
 33.00,   1.91E-009, 
 33.10,   1.72E-009, 
 33.20,   1.58E-009, 
 33.30,   1.61E-009, 
 33.40,   1.23E-009, 
 33.50,   8.94E-010, 
 33.60,   5.53E-010, 
 33.70,   1.11E-009, 
 33.80,   1.87E-009, 
 33.90,   2.64E-009, 
 34.00,   3.39E-009, 
 34.10,   3.74E-009, 
 34.20,   3.83E-009, 
 34.30,   3.60E-009, 
 34.40,   2.78E-009, 
 34.50,   1.62E-009, 
 34.60,   9.43E-010, 
 34.70,   3.35E-010, 
 34.80,   2.41E-010, 
 34.90,   1.42E-010, 
 35.00,   8.54E-011, 
 35.10,   8.54E-011, 
 35.20,   2.03E-011, 
 35.30,   6.58E-011, 
 35.40,   1.19E-011, 
 35.50,   2.24E-011, 
 35.60,   1.68E-010, 
 35.70,   2.39E-010, 
 35.80,   2.35E-010, 
 35.90,   3.11E-010, 
 36.00,   3.46E-010, 
 36.10,   3.06E-010, 
 36.20,   3.70E-010, 
 36.30,   3.58E-010, 
 36.40,   2.63E-010, 
 36.50,   1.76E-010, 
 36.60,   1.55E-010, 
 36.70,   9.66E-011, 
 36.80,  -2.94E-011, 
 36.90,  -8.47E-011, 
 37.00,   7.56E-011, 
 37.10,   8.75E-011, 
 37.20,   6.16E-011, 
 37.30,  -1.05E-011, 
 37.40,  -6.58E-011, 
 37.50,  -2.31E-011, 
 37.60,  -7.00E-012, 
 37.70,   3.50E-012, 
 37.80,  -7.70E-012, 
 37.90,   2.10E-011, 
 38.00,   5.39E-011, 
