Jan 20, 2017  02:24:44 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   1.83E-009, 
  1.10,   2.29E-009, 
  1.20,   3.73E-009, 
  1.30,   1.36E-008, 
  1.40,   2.35E-008, 
  1.50,   1.64E-008, 
  1.60,   1.26E-008, 
  1.70,   1.16E-008, 
  1.80,   1.24E-008, 
  1.90,   1.41E-008, 
  2.00,   1.52E-008, 
  2.10,   1.55E-008, 
  2.20,   1.46E-008, 
  2.30,   1.31E-008, 
  2.40,   1.05E-008, 
  2.50,   5.76E-009, 
  2.60,   2.96E-009, 
  2.70,   1.67E-009, 
  2.80,   8.07E-010, 
  2.90,   5.09E-010, 
  3.00,   4.40E-010, 
  3.10,   2.88E-010, 
  3.20,   1.30E-010, 
  3.30,   5.04E-011, 
  3.40,   1.06E-010, 
  3.50,   1.34E-010, 
  3.60,   1.31E-010, 
  3.70,   1.55E-010, 
  3.80,   6.58E-011, 
  3.90,   4.48E-011, 
  4.00,   5.95E-011, 
  4.10,   1.20E-010, 
  4.20,   3.57E-011, 
  4.30,   6.44E-011, 
  4.40,  -7.00E-012, 
  4.50,   2.52E-011, 
  4.60,   7.70E-012, 
  4.70,   3.36E-011, 
  4.80,   3.36E-011, 
  4.90,   4.90E-012, 
  5.00,  -6.65E-011, 
  5.10,  -7.14E-011, 
  5.20,  -1.12E-011, 
  5.30,  -5.88E-011, 
  5.40,  -7.42E-011, 
  5.50,  -4.83E-011, 
  5.60,   3.50E-012, 
  5.70,  -5.53E-011, 
  5.80,  -4.34E-011, 
  5.90,  -3.85E-011, 
  6.00,  -6.93E-011, 
  6.10,  -1.25E-010, 
  6.20,  -6.72E-011, 
  6.30,  -2.80E-012, 
  6.40,   3.99E-011, 
  6.50,   3.64E-011, 
  6.60,   9.45E-011, 
  6.70,   1.32E-010, 
  6.80,   1.80E-010, 
  6.90,   1.29E-010, 
  7.00,   2.24E-011, 
  7.10,   7.70E-011, 
  7.20,   4.48E-011, 
  7.30,   1.02E-010, 
  7.40,   6.51E-011, 
  7.50,   4.97E-011, 
  7.60,  -1.33E-011, 
  7.70,  -9.03E-011, 
  7.80,  -1.09E-010, 
  7.90,  -5.95E-011, 
  8.00,  -4.34E-011, 
  8.10,   9.03E-011, 
  8.20,   4.48E-011, 
  8.30,   4.41E-011, 
  8.40,  -2.38E-011, 
  8.50,  -3.15E-011, 
  8.60,  -6.58E-011, 
  8.70,   1.26E-011, 
  8.80,  -4.41E-011, 
  8.90,  -1.29E-010, 
  9.00,  -1.28E-010, 
  9.10,  -1.05E-010, 
  9.20,  -3.50E-012, 
  9.30,  -8.40E-012, 
  9.40,  -1.03E-010, 
  9.50,  -9.66E-011, 
  9.60,  -9.24E-011, 
  9.70,  -1.75E-011, 
  9.80,  -4.34E-011, 
  9.90,  -5.25E-011, 
 10.00,  -1.09E-010, 
 10.10,  -8.12E-011, 
 10.20,  -4.83E-011, 
 10.30,   4.55E-011, 
 10.40,   8.33E-011, 
 10.50,   7.91E-011, 
 10.60,   6.02E-011, 
 10.70,   7.77E-011, 
 10.80,  -5.11E-011, 
 10.90,  -1.26E-010, 
 11.00,  -5.32E-011, 
 11.10,   5.60E-012, 
 11.20,   3.08E-011, 
 11.30,   6.58E-011, 
 11.40,   1.18E-010, 
 11.50,   6.44E-011, 
 11.60,   1.09E-010, 
 11.70,   3.52E-010, 
 11.80,   6.83E-010, 
 11.90,   1.23E-009, 
 12.00,   1.50E-009, 
 12.10,   1.54E-009, 
 12.20,   1.54E-009, 
 12.30,   1.44E-009, 
 12.40,   7.01E-010, 
 12.50,   4.71E-010, 
 12.60,   4.26E-010, 
 12.70,   7.11E-010, 
 12.80,   1.44E-009, 
 12.90,   1.75E-009, 
 13.00,   1.97E-009, 
 13.10,   2.16E-009, 
 13.20,   2.36E-009, 
 13.30,   2.71E-009, 
 13.40,   3.83E-009, 
 13.50,   7.50E-009, 
 13.60,   2.03E-008, 
 13.70,   5.62E-008, 
 13.80,   1.04E-007, 
 13.90,   1.32E-007, 
 14.00,   1.34E-007, 
 14.10,   1.36E-007, 
 14.20,   1.16E-007, 
 14.30,   9.40E-008, 
 14.40,   2.99E-008, 
 14.50,   1.00E-008, 
 14.60,   6.11E-009, 
 14.70,   6.14E-009, 
 14.80,   8.10E-009, 
 14.90,   1.09E-008, 
 15.00,   1.26E-008, 
 15.10,   1.33E-008, 
 15.20,   1.30E-008, 
 15.30,   1.18E-008, 
 15.40,   8.45E-009, 
 15.50,   6.29E-009, 
 15.60,   8.75E-009, 
 15.70,   1.67E-008, 
 15.80,   2.94E-008, 
 15.90,   3.96E-008, 
 16.00,   4.27E-008, 
 16.10,   4.36E-008, 
 16.20,   3.92E-008, 
 16.30,   3.26E-008, 
 16.40,   1.51E-008, 
 16.50,   7.97E-009, 
 16.60,   8.10E-009, 
 16.70,   1.34E-008, 
 16.80,   2.25E-008, 
 16.90,   3.19E-008, 
 17.00,   3.49E-008, 
 17.10,   3.61E-008, 
 17.20,   3.36E-008, 
 17.30,   2.92E-008, 
 17.40,   1.64E-008, 
 17.50,   1.30E-008, 
 17.60,   2.45E-008, 
 17.70,   6.08E-008, 
 17.80,   1.05E-007, 
 17.90,   1.37E-007, 
 18.00,   1.40E-007, 
 18.10,   1.45E-007, 
 18.20,   1.24E-007, 
 18.30,   1.04E-007, 
 18.40,   3.29E-008, 
 18.50,   1.02E-008, 
 18.60,   5.36E-009, 
 18.70,   4.03E-009, 
 18.80,   3.98E-009, 
 18.90,   4.41E-009, 
 19.00,   4.87E-009, 
 19.10,   5.00E-009, 
 19.20,   4.96E-009, 
 19.30,   4.59E-009, 
 19.40,   3.36E-009, 
 19.50,   1.99E-009, 
 19.60,   1.58E-009, 
 19.70,   1.78E-009, 
 19.80,   2.34E-009, 
 19.90,   2.93E-009, 
 20.00,   3.24E-009, 
 20.10,   3.46E-009, 
 20.20,   3.27E-009, 
 20.30,   2.95E-009, 
 20.40,   1.94E-009, 
 20.50,   7.50E-010, 
 20.60,   3.88E-010, 
 20.70,   3.84E-010, 
 20.80,   2.94E-010, 
 20.90,   2.29E-010, 
 21.00,   2.35E-010, 
 21.10,   1.97E-010, 
 21.20,   8.61E-011, 
 21.30,   1.55E-010, 
 21.40,   1.41E-010, 
 21.50,   1.86E-010, 
 21.60,   1.46E-010, 
 21.70,   1.88E-010, 
 21.80,   1.90E-010, 
 21.90,   1.95E-010, 
 22.00,   1.78E-010, 
 22.10,   1.42E-010, 
 22.20,   1.22E-010, 
 22.30,   7.21E-011, 
 22.40,   6.72E-011, 
 22.50,   7.00E-011, 
 22.60,   1.34E-010, 
 22.70,  -2.31E-011, 
 22.80,  -5.46E-011, 
 22.90,  -8.61E-011, 
 23.00,  -1.00E-010, 
 23.10,  -1.10E-010, 
 23.20,  -1.17E-010, 
 23.30,   2.03E-011, 
 23.40,  -7.42E-011, 
 23.50,  -1.06E-010, 
 23.60,  -5.53E-011, 
 23.70,   2.15E-010, 
 23.80,   2.74E-010, 
 23.90,   3.28E-010, 
 24.00,   4.67E-010, 
 24.10,   4.57E-010, 
 24.20,   4.02E-010, 
 24.30,   4.49E-010, 
 24.40,   2.96E-010, 
 24.50,   2.37E-010, 
 24.60,   2.18E-010, 
 24.70,   4.95E-010, 
 24.80,   8.45E-010, 
 24.90,   1.42E-009, 
 25.00,   1.53E-009, 
 25.10,   1.55E-009, 
 25.20,   1.55E-009, 
 25.30,   1.61E-009, 
 25.40,   1.29E-009, 
 25.50,   7.72E-010, 
 25.60,   1.45E-009, 
 25.70,   2.49E-009, 
 25.80,   4.04E-009, 
 25.90,   5.89E-009, 
 26.00,   7.27E-009, 
 26.10,   7.98E-009, 
 26.20,   8.12E-009, 
 26.30,   7.71E-009, 
 26.40,   5.68E-009, 
 26.50,   3.87E-009, 
 26.60,   4.08E-009, 
 26.70,   6.59E-009, 
 26.80,   1.10E-008, 
 26.90,   1.67E-008, 
 27.00,   2.15E-008, 
 27.10,   2.61E-008, 
 27.20,   3.32E-008, 
 27.30,   5.15E-008, 
 27.40,   9.06E-008, 
 27.50,   2.10E-007, 
 27.60,   5.50E-007, 
 27.70,   1.06E-006, 
 27.80,   1.54E-006, 
 27.90,   1.90E-006, 
 28.00,   1.87E-006, 
 28.10,   1.95E-006, 
 28.20,   1.66E-006, 
 28.30,   1.35E-006, 
 28.40,   1.67E-007, 
 28.50,   2.37E-008, 
 28.60,   1.53E-008, 
 28.70,   1.94E-008, 
 28.80,   2.91E-008, 
 28.90,   3.94E-008, 
 29.00,   4.30E-008, 
 29.10,   4.46E-008, 
 29.20,   4.13E-008, 
 29.30,   3.64E-008, 
 29.40,   1.73E-008, 
 29.50,   7.43E-009, 
 29.60,   4.58E-009, 
 29.70,   4.06E-009, 
 29.80,   4.64E-009, 
 29.90,   5.62E-009, 
 30.00,   6.45E-009, 
 30.10,   7.22E-009, 
 30.20,   7.41E-009, 
 30.30,   7.65E-009, 
 30.40,   6.79E-009, 
 30.50,   7.46E-009, 
 30.60,   1.40E-008, 
 30.70,   3.34E-008, 
 30.80,   6.13E-008, 
 30.90,   8.74E-008, 
 31.00,   9.32E-008, 
 31.10,   9.75E-008, 
 31.20,   9.04E-008, 
 31.30,   8.90E-008, 
 31.40,   5.01E-008, 
 31.50,   5.00E-008, 
 31.60,   1.27E-007, 
 31.70,   2.50E-007, 
 31.80,   3.64E-007, 
 31.90,   4.40E-007, 
 32.00,   4.29E-007, 
 32.10,   4.37E-007, 
 32.20,   3.84E-007, 
 32.30,   2.92E-007, 
 32.40,   5.13E-008, 
 32.50,   1.28E-008, 
 32.60,   6.23E-009, 
 32.70,   3.77E-009, 
 32.80,   2.72E-009, 
 32.90,   2.23E-009, 
 33.00,   1.90E-009, 
 33.10,   1.73E-009, 
 33.20,   1.71E-009, 
 33.30,   1.71E-009, 
 33.40,   1.46E-009, 
 33.50,   8.94E-010, 
 33.60,   7.40E-010, 
 33.70,   8.44E-010, 
 33.80,   1.53E-009, 
 33.90,   1.72E-009, 
 34.00,   1.83E-009, 
 34.10,   1.95E-009, 
 34.20,   1.98E-009, 
 34.30,   1.90E-009, 
 34.40,   1.35E-009, 
 34.50,   5.69E-010, 
 34.60,   4.52E-010, 
 34.70,   3.20E-010, 
 34.80,   2.87E-010, 
 34.90,   1.68E-010, 
 35.00,   1.96E-010, 
 35.10,   1.81E-010, 
 35.20,   1.61E-010, 
 35.30,   1.51E-010, 
 35.40,   1.68E-010, 
 35.50,   1.44E-010, 
 35.60,   1.99E-010, 
 35.70,   2.55E-010, 
 35.80,   2.56E-010, 
 35.90,   2.61E-010, 
 36.00,   2.51E-010, 
 36.10,   2.49E-010, 
 36.20,   2.33E-010, 
 36.30,   1.30E-010, 
 36.40,   1.36E-010, 
 36.50,   1.72E-010, 
 36.60,   1.41E-010, 
 36.70,   1.44E-010, 
 36.80,   1.68E-010, 
 36.90,   1.72E-010, 
 37.00,   1.97E-010, 
 37.10,   2.07E-010, 
 37.20,   2.65E-010, 
 37.30,   2.11E-010, 
 37.40,   7.77E-011, 
 37.50,   8.82E-011, 
 37.60,   6.02E-011, 
 37.70,   1.46E-010, 
 37.80,   1.87E-010, 
 37.90,   2.06E-010, 
 38.00,   3.00E-010, 
 38.10,   3.01E-010, 
 38.20,   3.55E-010, 
 38.30,   3.42E-010, 
 38.40,   3.64E-010, 
 38.50,   2.99E-010, 
