Jan 20, 2017  02:32:26 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   6.83E-010, 
  1.10,   8.67E-010, 
  1.20,   2.26E-009, 
  1.30,   9.61E-009, 
  1.40,   1.72E-008, 
  1.50,   1.23E-008, 
  1.60,   9.33E-009, 
  1.70,   8.49E-009, 
  1.80,   9.17E-009, 
  1.90,   1.05E-008, 
  2.00,   1.15E-008, 
  2.10,   1.20E-008, 
  2.20,   1.16E-008, 
  2.30,   1.03E-008, 
  2.40,   7.92E-009, 
  2.50,   4.21E-009, 
  2.60,   2.19E-009, 
  2.70,   1.03E-009, 
  2.80,   2.49E-010, 
  2.90,   5.88E-011, 
  3.00,   7.00E-012, 
  3.10,  -9.52E-011, 
  3.20,  -1.66E-010, 
  3.30,  -2.11E-010, 
  3.40,  -1.83E-010, 
  3.50,  -2.16E-010, 
  3.60,  -2.12E-010, 
  3.70,  -3.21E-010, 
  3.80,  -3.67E-010, 
  3.90,  -2.73E-010, 
  4.00,  -3.01E-010, 
  4.10,  -2.75E-010, 
  4.20,  -2.07E-010, 
  4.30,  -1.49E-010, 
  4.40,  -1.98E-010, 
  4.50,  -2.92E-010, 
  4.60,  -2.97E-010, 
  4.70,  -3.89E-010, 
  4.80,  -3.26E-010, 
  4.90,  -3.57E-010, 
  5.00,  -3.06E-010, 
  5.10,  -2.61E-010, 
  5.20,  -3.01E-010, 
  5.30,  -2.49E-010, 
  5.40,  -3.42E-010, 
  5.50,  -3.35E-010, 
  5.60,  -3.10E-010, 
  5.70,  -2.92E-010, 
  5.80,  -2.37E-010, 
  5.90,  -1.52E-010, 
  6.00,  -1.27E-010, 
  6.10,  -9.10E-011, 
  6.20,  -1.24E-010, 
  6.30,  -1.31E-010, 
  6.40,  -1.79E-010, 
  6.50,  -1.99E-010, 
  6.60,  -2.67E-010, 
  6.70,  -2.36E-010, 
  6.80,  -2.46E-010, 
  6.90,  -2.79E-010, 
  7.00,  -1.96E-010, 
  7.10,  -1.60E-010, 
  7.20,  -1.93E-010, 
  7.30,  -1.69E-010, 
  7.40,  -1.88E-010, 
  7.50,  -2.25E-010, 
  7.60,  -2.25E-010, 
  7.70,  -2.05E-010, 
  7.80,  -1.74E-010, 
  7.90,  -1.95E-010, 
  8.00,  -2.11E-010, 
  8.10,  -1.90E-010, 
  8.20,  -1.62E-010, 
  8.30,  -2.10E-010, 
  8.40,  -2.16E-010, 
  8.50,  -2.56E-010, 
  8.60,  -3.35E-010, 
  8.70,  -2.70E-010, 
  8.80,  -2.37E-010, 
  8.90,  -1.90E-010, 
  9.00,  -2.41E-010, 
  9.10,  -3.40E-010, 
  9.20,  -2.55E-010, 
  9.30,  -2.91E-010, 
  9.40,  -3.00E-010, 
  9.50,  -3.71E-010, 
  9.60,  -3.92E-010, 
  9.70,  -3.41E-010, 
  9.80,  -3.12E-010, 
  9.90,  -3.01E-010, 
 10.00,  -3.38E-010, 
 10.10,  -2.75E-010, 
 10.20,  -2.28E-010, 
 10.30,  -2.42E-010, 
 10.40,  -2.41E-010, 
 10.50,  -1.48E-010, 
 10.60,  -1.67E-010, 
 10.70,  -2.49E-010, 
 10.80,  -2.81E-010, 
 10.90,  -1.72E-010, 
 11.00,  -1.96E-010, 
 11.10,  -2.25E-010, 
 11.20,  -3.05E-010, 
 11.30,  -4.46E-010, 
 11.40,  -4.03E-010, 
 11.50,  -3.11E-010, 
 11.60,  -1.04E-010, 
 11.70,   1.09E-010, 
 11.80,   2.18E-010, 
 11.90,   2.44E-010, 
 12.00,   4.02E-010, 
 12.10,   5.45E-010, 
 12.20,   5.32E-010, 
 12.30,   5.56E-010, 
 12.40,   4.50E-010, 
 12.50,   1.96E-010, 
 12.60,   3.78E-011, 
 12.70,   1.06E-010, 
 12.80,   3.70E-010, 
 12.90,   8.44E-010, 
 13.00,   1.35E-009, 
 13.10,   1.44E-009, 
 13.20,   1.67E-009, 
 13.30,   1.93E-009, 
 13.40,   2.60E-009, 
 13.50,   5.26E-009, 
 13.60,   1.44E-008, 
 13.70,   3.87E-008, 
 13.80,   7.36E-008, 
 13.90,   9.52E-008, 
 14.00,   9.79E-008, 
 14.10,   9.85E-008, 
 14.20,   8.49E-008, 
 14.30,   6.83E-008, 
 14.40,   2.37E-008, 
 14.50,   8.69E-009, 
 14.60,   5.21E-009, 
 14.70,   4.90E-009, 
 14.80,   5.86E-009, 
 14.90,   7.46E-009, 
 15.00,   8.55E-009, 
 15.10,   9.16E-009, 
 15.20,   9.01E-009, 
 15.30,   8.21E-009, 
 15.40,   6.05E-009, 
 15.50,   4.68E-009, 
 15.60,   6.39E-009, 
 15.70,   1.22E-008, 
 15.80,   2.13E-008, 
 15.90,   2.94E-008, 
 16.00,   3.27E-008, 
 16.10,   3.40E-008, 
 16.20,   3.10E-008, 
 16.30,   2.58E-008, 
 16.40,   1.25E-008, 
 16.50,   6.86E-009, 
 16.60,   7.28E-009, 
 16.70,   1.25E-008, 
 16.80,   2.11E-008, 
 16.90,   2.96E-008, 
 17.00,   3.27E-008, 
 17.10,   3.39E-008, 
 17.20,   3.11E-008, 
 17.30,   2.71E-008, 
 17.40,   1.53E-008, 
 17.50,   1.27E-008, 
 17.60,   2.44E-008, 
 17.70,   5.85E-008, 
 17.80,   1.01E-007, 
 17.90,   1.30E-007, 
 18.00,   1.32E-007, 
 18.10,   1.36E-007, 
 18.20,   1.17E-007, 
 18.30,   9.73E-008, 
 18.40,   2.98E-008, 
 18.50,   9.47E-009, 
 18.60,   4.84E-009, 
 18.70,   3.36E-009, 
 18.80,   3.18E-009, 
 18.90,   3.46E-009, 
 19.00,   3.77E-009, 
 19.10,   3.83E-009, 
 19.20,   3.70E-009, 
 19.30,   3.47E-009, 
 19.40,   2.49E-009, 
 19.50,   1.50E-009, 
 19.60,   1.14E-009, 
 19.70,   1.21E-009, 
 19.80,   1.66E-009, 
 19.90,   2.18E-009, 
 20.00,   2.59E-009, 
 20.10,   2.78E-009, 
 20.20,   2.74E-009, 
 20.30,   2.33E-009, 
 20.40,   1.41E-009, 
 20.50,   5.27E-010, 
 20.60,   2.09E-010, 
 20.70,   2.82E-010, 
 20.80,   1.31E-010, 
 20.90,  -8.68E-011, 
 21.00,  -1.46E-010, 
 21.10,  -1.32E-010, 
 21.20,  -1.28E-010, 
 21.30,  -1.77E-010, 
 21.40,  -1.56E-010, 
 21.50,  -1.46E-010, 
 21.60,  -1.83E-010, 
 21.70,  -1.04E-010, 
 21.80,  -9.87E-011, 
 21.90,  -8.12E-011, 
 22.00,  -1.06E-010, 
 22.10,  -1.88E-010, 
 22.20,  -7.91E-011, 
 22.30,  -3.99E-011, 
 22.40,  -8.33E-011, 
 22.50,  -2.07E-010, 
 22.60,  -2.10E-010, 
 22.70,  -1.86E-010, 
 22.80,  -2.23E-010, 
 22.90,  -1.88E-010, 
 23.00,  -2.83E-010, 
 23.10,  -3.84E-010, 
 23.20,  -3.51E-010, 
 23.30,  -2.59E-010, 
 23.40,  -2.49E-010, 
 23.50,  -2.32E-010, 
 23.60,  -2.11E-010, 
 23.70,  -2.56E-010, 
 23.80,  -2.04E-010, 
 23.90,  -1.58E-010, 
 24.00,  -1.25E-010, 
 24.10,  -1.16E-010, 
 24.20,  -1.52E-010, 
 24.30,  -4.20E-012, 
 24.40,  -4.55E-011, 
 24.50,   3.43E-011, 
 24.60,   2.11E-010, 
 24.70,   3.03E-010, 
 24.80,   4.75E-010, 
 24.90,   7.02E-010, 
 25.00,   1.23E-009, 
 25.10,   1.19E-009, 
 25.20,   1.14E-009, 
 25.30,   1.19E-009, 
 25.40,   5.13E-010, 
 25.50,   3.04E-010, 
 25.60,   7.32E-010, 
 25.70,   1.86E-009, 
 25.80,   2.97E-009, 
 25.90,   4.33E-009, 
 26.00,   5.26E-009, 
 26.10,   5.99E-009, 
 26.20,   6.08E-009, 
 26.30,   5.78E-009, 
 26.40,   4.07E-009, 
 26.50,   2.84E-009, 
 26.60,   3.12E-009, 
 26.70,   5.26E-009, 
 26.80,   8.71E-009, 
 26.90,   1.27E-008, 
 27.00,   1.64E-008, 
 27.10,   2.05E-008, 
 27.20,   2.61E-008, 
 27.30,   4.05E-008, 
 27.40,   7.36E-008, 
 27.50,   1.81E-007, 
 27.60,   4.75E-007, 
 27.70,   8.91E-007, 
 27.80,   1.27E-006, 
 27.90,   1.55E-006, 
 28.00,   1.52E-006, 
 28.10,   1.57E-006, 
 28.20,   1.35E-006, 
 28.30,   1.04E-006, 
 28.40,   1.21E-007, 
 28.50,   2.02E-008, 
 28.60,   1.30E-008, 
 28.70,   1.59E-008, 
 28.80,   2.32E-008, 
 28.90,   3.16E-008, 
 29.00,   3.45E-008, 
 29.10,   3.58E-008, 
 29.20,   3.31E-008, 
 29.30,   2.89E-008, 
 29.40,   1.42E-008, 
 29.50,   6.57E-009, 
 29.60,   4.07E-009, 
 29.70,   3.42E-009, 
 29.80,   3.75E-009, 
 29.90,   4.68E-009, 
 30.00,   5.38E-009, 
 30.10,   5.74E-009, 
 30.20,   5.82E-009, 
 30.30,   6.16E-009, 
 30.40,   5.37E-009, 
 30.50,   5.94E-009, 
 30.60,   1.16E-008, 
 30.70,   2.70E-008, 
 30.80,   4.85E-008, 
 30.90,   6.95E-008, 
 31.00,   7.49E-008, 
 31.10,   7.77E-008, 
 31.20,   7.16E-008, 
 31.30,   7.00E-008, 
 31.40,   4.03E-008, 
 31.50,   4.33E-008, 
 31.60,   1.11E-007, 
 31.70,   2.15E-007, 
 31.80,   3.10E-007, 
 31.90,   3.68E-007, 
 32.00,   3.59E-007, 
 32.10,   3.63E-007, 
 32.20,   3.20E-007, 
 32.30,   2.32E-007, 
 32.40,   4.10E-008, 
 32.50,   1.13E-008, 
 32.60,   5.66E-009, 
 32.70,   3.40E-009, 
 32.80,   2.39E-009, 
 32.90,   2.01E-009, 
 33.00,   1.79E-009, 
 33.10,   1.62E-009, 
 33.20,   1.44E-009, 
 33.30,   1.31E-009, 
 33.40,   9.47E-010, 
 33.50,   4.05E-010, 
 33.60,   3.56E-010, 
 33.70,   5.36E-010, 
 33.80,   9.82E-010, 
 33.90,   1.31E-009, 
 34.00,   1.44E-009, 
 34.10,   1.49E-009, 
 34.20,   1.41E-009, 
 34.30,   1.28E-009, 
 34.40,   5.27E-010, 
 34.50,   2.03E-011, 
 34.60,  -1.40E-010, 
 34.70,  -1.53E-010, 
 34.80,  -1.54E-010, 
 34.90,  -1.44E-010, 
 35.00,  -1.02E-010, 
 35.10,  -7.07E-011, 
 35.20,  -1.12E-010, 
 35.30,  -9.80E-011, 
 35.40,  -1.91E-010, 
 35.50,  -5.60E-011, 
 35.60,  -7.00E-012, 
 35.70,   2.80E-012, 
 35.80,   5.25E-011, 
 35.90,   6.72E-011, 
 36.00,   1.39E-010, 
 36.10,   3.99E-011, 
 36.20,   1.33E-011, 
 36.30,   8.47E-011, 
 36.40,   4.48E-011, 
 36.50,  -3.01E-011, 
 36.60,  -9.80E-011, 
 36.70,  -1.79E-010, 
 36.80,  -1.83E-010, 
 36.90,  -1.32E-010, 
 37.00,  -7.84E-011, 
 37.10,   5.39E-011, 
 37.20,   4.62E-011, 
 37.30,  -1.05E-011, 
 37.40,  -3.50E-011, 
 37.50,  -6.02E-011, 
 37.60,  -1.40E-010, 
 37.70,  -1.83E-010, 
 37.80,  -1.46E-010, 
 37.90,  -1.38E-010, 
