Jan 20, 2017  02:27:58 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   6.32E-009, 
  1.10,   7.35E-009, 
  1.20,   1.18E-008, 
  1.30,   3.58E-008, 
  1.40,   4.56E-008, 
  1.50,   3.29E-008, 
  1.60,   2.75E-008, 
  1.70,   2.42E-008, 
  1.80,   2.59E-008, 
  1.90,   2.74E-008, 
  2.00,   2.88E-008, 
  2.10,   2.77E-008, 
  2.20,   2.62E-008, 
  2.30,   2.20E-008, 
  2.40,   1.57E-008, 
  2.50,   7.34E-009, 
  2.60,   3.40E-009, 
  2.70,   1.79E-009, 
  2.80,   1.18E-009, 
  2.90,   8.80E-010, 
  3.00,   7.94E-010, 
  3.10,   2.07E-010, 
  3.20,   1.39E-010, 
  3.30,   1.39E-010, 
  3.40,   1.26E-011, 
  3.50,  -1.74E-010, 
  3.60,  -2.65E-010, 
  3.70,  -2.62E-010, 
  3.80,  -2.11E-010, 
  3.90,  -2.37E-010, 
  4.00,  -2.50E-010, 
  4.10,  -1.87E-010, 
  4.20,  -2.82E-010, 
  4.30,  -4.48E-010, 
  4.40,  -4.87E-010, 
  4.50,  -4.95E-010, 
  4.60,  -4.74E-010, 
  4.70,  -4.36E-010, 
  4.80,  -3.54E-010, 
  4.90,  -2.60E-010, 
  5.00,  -3.37E-010, 
  5.10,  -2.94E-010, 
  5.20,  -2.98E-010, 
  5.30,  -3.79E-010, 
  5.40,  -4.15E-010, 
  5.50,  -3.78E-010, 
  5.60,  -2.98E-010, 
  5.70,  -3.32E-010, 
  5.80,  -3.05E-010, 
  5.90,  -2.82E-010, 
  6.00,  -2.52E-010, 
  6.10,  -2.45E-010, 
  6.20,  -3.07E-010, 
  6.30,  -3.58E-010, 
  6.40,  -4.53E-010, 
  6.50,  -4.40E-010, 
  6.60,  -3.70E-010, 
  6.70,  -2.52E-010, 
  6.80,  -1.67E-010, 
  6.90,  -2.35E-010, 
  7.00,  -2.70E-010, 
  7.10,  -3.47E-010, 
  7.20,  -3.45E-010, 
  7.30,  -2.54E-010, 
  7.40,  -3.62E-010, 
  7.50,  -3.06E-010, 
  7.60,  -2.91E-010, 
  7.70,  -4.19E-010, 
  7.80,  -4.64E-010, 
  7.90,  -1.88E-010, 
  8.00,  -2.96E-010, 
  8.10,  -2.75E-010, 
  8.20,  -2.04E-010, 
  8.30,  -1.52E-010, 
  8.40,  -1.75E-010, 
  8.50,  -2.41E-010, 
  8.60,  -3.22E-010, 
  8.70,  -3.06E-010, 
  8.80,  -2.72E-010, 
  8.90,  -3.28E-010, 
  9.00,  -3.47E-010, 
  9.10,  -3.30E-010, 
  9.20,  -3.60E-010, 
  9.30,  -3.35E-010, 
  9.40,  -3.64E-010, 
  9.50,  -2.01E-010, 
  9.60,  -2.51E-010, 
  9.70,  -2.93E-010, 
  9.80,  -2.63E-010, 
  9.90,  -2.32E-010, 
 10.00,  -2.51E-010, 
 10.10,  -2.00E-010, 
 10.20,  -2.35E-010, 
 10.30,  -2.11E-010, 
 10.40,  -1.99E-010, 
 10.50,  -1.12E-010, 
 10.60,  -2.36E-010, 
 10.70,  -2.84E-010, 
 10.80,  -2.61E-010, 
 10.90,  -3.10E-010, 
 11.00,  -3.00E-010, 
 11.10,  -2.46E-010, 
 11.20,  -1.49E-010, 
 11.30,  -1.74E-010, 
 11.40,  -1.53E-010, 
 11.50,   5.67E-011, 
 11.60,   2.49E-010, 
 11.70,   9.10E-010, 
 11.80,   1.81E-009, 
 11.90,   2.65E-009, 
 12.00,   3.11E-009, 
 12.10,   3.37E-009, 
 12.20,   3.34E-009, 
 12.30,   3.08E-009, 
 12.40,   2.05E-009, 
 12.50,   1.36E-009, 
 12.60,   1.27E-009, 
 12.70,   1.99E-009, 
 12.80,   3.24E-009, 
 12.90,   4.79E-009, 
 13.00,   5.67E-009, 
 13.10,   6.62E-009, 
 13.20,   7.50E-009, 
 13.30,   9.56E-009, 
 13.40,   1.46E-008, 
 13.50,   3.30E-008, 
 13.60,   1.03E-007, 
 13.70,   2.32E-007, 
 13.80,   3.67E-007, 
 13.90,   4.42E-007, 
 14.00,   4.41E-007, 
 14.10,   4.49E-007, 
 14.20,   3.78E-007, 
 14.30,   2.92E-007, 
 14.40,   5.88E-008, 
 14.50,   1.55E-008, 
 14.60,   1.13E-008, 
 14.70,   1.53E-008, 
 14.80,   2.50E-008, 
 14.90,   3.59E-008, 
 15.00,   3.96E-008, 
 15.10,   4.09E-008, 
 15.20,   3.83E-008, 
 15.30,   3.47E-008, 
 15.40,   2.19E-008, 
 15.50,   1.66E-008, 
 15.60,   3.11E-008, 
 15.70,   6.94E-008, 
 15.80,   1.15E-007, 
 15.90,   1.44E-007, 
 16.00,   1.47E-007, 
 16.10,   1.50E-007, 
 16.20,   1.28E-007, 
 16.30,   9.94E-008, 
 16.40,   2.92E-008, 
 16.50,   1.23E-008, 
 16.60,   1.34E-008, 
 16.70,   2.38E-008, 
 16.80,   4.03E-008, 
 16.90,   5.63E-008, 
 17.00,   5.87E-008, 
 17.10,   6.17E-008, 
 17.20,   5.43E-008, 
 17.30,   4.79E-008, 
 17.40,   2.51E-008, 
 17.50,   2.23E-008, 
 17.60,   5.25E-008, 
 17.70,   1.20E-007, 
 17.80,   1.90E-007, 
 17.90,   2.44E-007, 
 18.00,   2.38E-007, 
 18.10,   2.50E-007, 
 18.20,   2.10E-007, 
 18.30,   1.77E-007, 
 18.40,   4.54E-008, 
 18.50,   1.25E-008, 
 18.60,   7.51E-009, 
 18.70,   7.57E-009, 
 18.80,   9.92E-009, 
 18.90,   1.37E-008, 
 19.00,   1.56E-008, 
 19.10,   1.64E-008, 
 19.20,   1.57E-008, 
 19.30,   1.42E-008, 
 19.40,   9.15E-009, 
 19.50,   5.11E-009, 
 19.60,   4.51E-009, 
 19.70,   6.05E-009, 
 19.80,   8.78E-009, 
 19.90,   1.18E-008, 
 20.00,   1.28E-008, 
 20.10,   1.36E-008, 
 20.20,   1.29E-008, 
 20.30,   1.12E-008, 
 20.40,   6.05E-009, 
 20.50,   2.95E-009, 
 20.60,   1.66E-009, 
 20.70,   7.49E-010, 
 20.80,   2.79E-010, 
 20.90,   1.50E-010, 
 21.00,   9.87E-011, 
 21.10,   1.19E-010, 
 21.20,   6.23E-011, 
 21.30,   5.18E-011, 
 21.40,   1.06E-010, 
 21.50,   6.86E-011, 
 21.60,   1.67E-010, 
 21.70,   1.97E-010, 
 21.80,   2.04E-010, 
 21.90,   2.00E-010, 
 22.00,   1.93E-010, 
 22.10,   1.36E-010, 
 22.20,   1.47E-010, 
 22.30,   1.06E-010, 
 22.40,  -6.93E-011, 
 22.50,  -1.84E-010, 
 22.60,  -1.31E-010, 
 22.70,  -1.89E-010, 
 22.80,  -2.56E-010, 
 22.90,  -2.72E-010, 
 23.00,  -1.94E-010, 
 23.10,  -1.18E-010, 
 23.20,  -1.25E-010, 
 23.30,  -1.16E-010, 
 23.40,  -1.58E-010, 
 23.50,  -1.81E-010, 
 23.60,  -1.10E-010, 
 23.70,  -3.78E-011, 
 23.80,   1.91E-010, 
 23.90,   3.33E-010, 
 24.00,   5.24E-010, 
 24.10,   5.84E-010, 
 24.20,   1.02E-009, 
 24.30,   4.57E-010, 
 24.40,   2.63E-010, 
 24.50,   1.84E-010, 
 24.60,   4.61E-010, 
 24.70,   1.51E-009, 
 24.80,   2.38E-009, 
 24.90,   3.33E-009, 
 25.00,   4.07E-009, 
 25.10,   4.59E-009, 
 25.20,   4.70E-009, 
 25.30,   4.52E-009, 
 25.40,   3.44E-009, 
 25.50,   2.79E-009, 
 25.60,   4.02E-009, 
 25.70,   7.50E-009, 
 25.80,   1.33E-008, 
 25.90,   1.98E-008, 
 26.00,   2.32E-008, 
 26.10,   2.52E-008, 
 26.20,   2.42E-008, 
 26.30,   2.24E-008, 
 26.40,   1.43E-008, 
 26.50,   9.74E-009, 
 26.60,   1.21E-008, 
 26.70,   2.28E-008, 
 26.80,   4.12E-008, 
 26.90,   6.32E-008, 
 27.00,   7.70E-008, 
 27.10,   9.74E-008, 
 27.20,   1.36E-007, 
 27.30,   2.34E-007, 
 27.40,   3.99E-007, 
 27.50,   8.72E-007, 
 27.60,   1.99E-006, 
 27.70,   3.75E-006, 
 27.80,   5.67E-006, 
 27.90,   6.96E-006, 
 28.00,   6.79E-006, 
 28.10,   7.20E-006, 
 28.20,   6.10E-006, 
 28.30,   4.94E-006, 
 28.40,   4.83E-007, 
 28.50,   4.63E-008, 
 28.60,   3.65E-008, 
 28.70,   6.11E-008, 
 28.80,   1.02E-007, 
 28.90,   1.34E-007, 
 29.00,   1.37E-007, 
 29.10,   1.44E-007, 
 29.20,   1.24E-007, 
 29.30,   1.06E-007, 
 29.40,   3.40E-008, 
 29.50,   1.15E-008, 
 29.60,   7.77E-009, 
 29.70,   8.54E-009, 
 29.80,   1.18E-008, 
 29.90,   1.63E-008, 
 30.00,   1.88E-008, 
 30.10,   2.06E-008, 
 30.20,   2.12E-008, 
 30.30,   2.22E-008, 
 30.40,   1.90E-008, 
 30.50,   2.39E-008, 
 30.60,   5.30E-008, 
 30.70,   1.22E-007, 
 30.80,   2.02E-007, 
 30.90,   2.67E-007, 
 31.00,   2.69E-007, 
 31.10,   2.88E-007, 
 31.20,   2.62E-007, 
 31.30,   2.64E-007, 
 31.40,   1.42E-007, 
 31.50,   2.05E-007, 
 31.60,   4.52E-007, 
 31.70,   8.24E-007, 
 31.80,   1.25E-006, 
 31.90,   1.47E-006, 
 32.00,   1.44E-006, 
 32.10,   1.44E-006, 
 32.20,   1.27E-006, 
 32.30,   8.98E-007, 
 32.40,   9.94E-008, 
 32.50,   1.73E-008, 
 32.60,   7.97E-009, 
 32.70,   5.08E-009, 
 32.80,   4.11E-009, 
 32.90,   3.90E-009, 
 33.00,   3.75E-009, 
 33.10,   3.77E-009, 
 33.20,   3.71E-009, 
 33.30,   3.41E-009, 
 33.40,   2.65E-009, 
 33.50,   1.96E-009, 
 33.60,   1.74E-009, 
 33.70,   2.12E-009, 
 33.80,   2.99E-009, 
 33.90,   4.26E-009, 
 34.00,   5.02E-009, 
 34.10,   5.50E-009, 
 34.20,   5.32E-009, 
 34.30,   5.09E-009, 
 34.40,   3.29E-009, 
 34.50,   1.73E-009, 
 34.60,   7.75E-010, 
 34.70,   2.03E-010, 
 34.80,   1.63E-010, 
 34.90,   1.48E-010, 
 35.00,   1.79E-010, 
 35.10,  -3.36E-011, 
 35.20,  -1.45E-010, 
 35.30,  -1.48E-010, 
 35.40,  -1.79E-010, 
 35.50,  -9.10E-012, 
 35.60,   7.70E-012, 
 35.70,  -4.41E-011, 
 35.80,   8.12E-011, 
 35.90,   2.37E-010, 
 36.00,   3.41E-010, 
 36.10,   3.88E-010, 
 36.20,   3.15E-010, 
 36.30,   2.24E-010, 
 36.40,  -1.89E-011, 
 36.50,  -1.07E-010, 
 36.60,  -1.55E-010, 
 36.70,  -2.49E-010, 
 36.80,  -1.40E-010, 
 36.90,  -5.18E-011, 
 37.00,  -1.13E-010, 
 37.10,  -1.23E-010, 
 37.20,  -7.07E-011, 
 37.30,  -1.30E-010, 
 37.40,  -7.14E-011, 
 37.50,  -6.79E-011, 
 37.60,  -1.24E-010, 
 37.70,  -1.37E-010, 
 37.80,  -8.12E-011, 
 37.90,  -5.81E-011, 
 38.00,   4.90E-012, 
 38.10,  -6.72E-011, 
