Jan 20, 2017  01:16:23 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   3.87E-009, 
  1.10,   4.52E-009, 
  1.20,   7.33E-009, 
  1.30,   2.22E-008, 
  1.40,   3.71E-008, 
  1.50,   2.78E-008, 
  1.60,   2.09E-008, 
  1.70,   1.77E-008, 
  1.80,   1.83E-008, 
  1.90,   2.02E-008, 
  2.00,   2.17E-008, 
  2.10,   2.20E-008, 
  2.20,   2.08E-008, 
  2.30,   1.85E-008, 
  2.40,   1.43E-008, 
  2.50,   7.74E-009, 
  2.60,   3.69E-009, 
  2.70,   1.94E-009, 
  2.80,   1.17E-009, 
  2.90,   4.54E-010, 
  3.00,   2.54E-010, 
  3.10,   1.76E-010, 
  3.20,   1.15E-010, 
  3.30,   1.46E-010, 
  3.40,  -8.40E-012, 
  3.50,  -1.29E-010, 
  3.60,  -2.87E-010, 
  3.70,  -2.82E-010, 
  3.80,  -1.81E-010, 
  3.90,  -2.04E-010, 
  4.00,  -2.45E-010, 
  4.10,  -2.23E-010, 
  4.20,  -2.49E-010, 
  4.30,  -2.53E-010, 
  4.40,  -2.69E-010, 
  4.50,  -2.92E-010, 
  4.60,  -2.89E-010, 
  4.70,  -2.91E-010, 
  4.80,  -2.65E-010, 
  4.90,  -2.30E-010, 
  5.00,  -1.97E-010, 
  5.10,  -1.90E-010, 
  5.20,  -2.51E-010, 
  5.30,  -2.70E-010, 
  5.40,  -1.97E-010, 
  5.50,  -2.46E-010, 
  5.60,  -2.19E-010, 
  5.70,  -1.33E-010, 
  5.80,  -3.31E-010, 
  5.90,  -2.64E-010, 
  6.00,  -1.67E-010, 
  6.10,  -1.93E-010, 
  6.20,  -2.64E-010, 
  6.30,  -1.99E-010, 
  6.40,  -1.78E-010, 
  6.50,  -2.45E-010, 
  6.60,  -3.14E-010, 
  6.70,  -2.79E-010, 
  6.80,  -3.56E-010, 
  6.90,  -3.50E-010, 
  7.00,  -3.00E-010, 
  7.10,  -2.21E-010, 
  7.20,  -1.65E-010, 
  7.30,  -3.00E-010, 
  7.40,  -3.63E-010, 
  7.50,  -4.50E-010, 
  7.60,  -4.47E-010, 
  7.70,  -3.64E-010, 
  7.80,  -3.73E-010, 
  7.90,  -4.35E-010, 
  8.00,  -4.01E-010, 
  8.10,  -3.79E-010, 
  8.20,  -2.67E-010, 
  8.30,  -1.73E-010, 
  8.40,  -3.08E-010, 
  8.50,  -2.52E-010, 
  8.60,  -2.13E-010, 
  8.70,  -3.46E-010, 
  8.80,  -3.23E-010, 
  8.90,  -3.37E-010, 
  9.00,  -3.32E-010, 
  9.10,  -3.86E-010, 
  9.20,  -3.42E-010, 
  9.30,  -3.37E-010, 
  9.40,  -2.91E-010, 
  9.50,  -2.98E-010, 
  9.60,  -3.38E-010, 
  9.70,  -2.81E-010, 
  9.80,  -1.94E-010, 
  9.90,  -3.33E-010, 
 10.00,  -3.22E-010, 
 10.10,  -3.42E-010, 
 10.20,  -2.39E-010, 
 10.30,  -2.68E-010, 
 10.40,  -2.61E-010, 
 10.50,  -2.51E-010, 
 10.60,  -2.93E-010, 
 10.70,  -2.94E-010, 
 10.80,  -3.42E-010, 
 10.90,  -2.89E-010, 
 11.00,  -3.46E-010, 
 11.10,  -3.52E-010, 
 11.20,  -2.86E-010, 
 11.30,  -2.51E-010, 
 11.40,  -1.87E-010, 
 11.50,  -1.59E-010, 
 11.60,  -6.30E-012, 
 11.70,   2.02E-010, 
 11.80,   1.05E-009, 
 11.90,   1.62E-009, 
 12.00,   1.84E-009, 
 12.10,   1.96E-009, 
 12.20,   2.06E-009, 
 12.30,   1.91E-009, 
 12.40,   1.40E-009, 
 12.50,   5.57E-010, 
 12.60,   3.27E-010, 
 12.70,   7.96E-010, 
 12.80,   1.49E-009, 
 12.90,   2.03E-009, 
 13.00,   2.54E-009, 
 13.10,   3.02E-009, 
 13.20,   3.50E-009, 
 13.30,   4.60E-009, 
 13.40,   6.81E-009, 
 13.50,   1.27E-008, 
 13.60,   3.40E-008, 
 13.70,   9.46E-008, 
 13.80,   1.77E-007, 
 13.90,   2.29E-007, 
 14.00,   2.39E-007, 
 14.10,   2.44E-007, 
 14.20,   2.14E-007, 
 14.30,   1.80E-007, 
 14.40,   7.75E-008, 
 14.50,   1.68E-008, 
 14.60,   9.09E-009, 
 14.70,   8.99E-009, 
 14.80,   1.29E-008, 
 14.90,   1.85E-008, 
 15.00,   2.26E-008, 
 15.10,   2.38E-008, 
 15.20,   2.36E-008, 
 15.30,   2.12E-008, 
 15.40,   1.65E-008, 
 15.50,   1.05E-008, 
 15.60,   1.29E-008, 
 15.70,   2.63E-008, 
 15.80,   5.00E-008, 
 15.90,   7.20E-008, 
 16.00,   7.90E-008, 
 16.10,   8.14E-008, 
 16.20,   7.38E-008, 
 16.30,   6.21E-008, 
 16.40,   3.27E-008, 
 16.50,   1.20E-008, 
 16.60,   9.17E-009, 
 16.70,   1.35E-008, 
 16.80,   2.38E-008, 
 16.90,   3.54E-008, 
 17.00,   4.12E-008, 
 17.10,   4.25E-008, 
 17.20,   4.13E-008, 
 17.30,   3.67E-008, 
 17.40,   2.58E-008, 
 17.50,   1.60E-008, 
 17.60,   2.45E-008, 
 17.70,   6.00E-008, 
 17.80,   1.14E-007, 
 17.90,   1.60E-007, 
 18.00,   1.74E-007, 
 18.10,   1.75E-007, 
 18.20,   1.60E-007, 
 18.30,   1.36E-007, 
 18.40,   7.22E-008, 
 18.50,   1.61E-008, 
 18.60,   7.01E-009, 
 18.70,   4.50E-009, 
 18.80,   4.00E-009, 
 18.90,   4.19E-009, 
 19.00,   4.80E-009, 
 19.10,   5.16E-009, 
 19.20,   5.34E-009, 
 19.30,   5.02E-009, 
 19.40,   4.20E-009, 
 19.50,   2.59E-009, 
 19.60,   1.89E-009, 
 19.70,   2.28E-009, 
 19.80,   3.15E-009, 
 19.90,   4.48E-009, 
 20.00,   5.48E-009, 
 20.10,   5.96E-009, 
 20.20,   6.00E-009, 
 20.30,   5.54E-009, 
 20.40,   3.88E-009, 
 20.50,   2.04E-009, 
 20.60,   1.15E-009, 
 20.70,   3.31E-010, 
 20.80,   1.61E-010, 
 20.90,   9.10E-011, 
 21.00,   1.83E-010, 
 21.10,   1.60E-010, 
 21.20,   1.39E-010, 
 21.30,   3.36E-011, 
 21.40,  -4.90E-012, 
 21.50,  -1.56E-010, 
 21.60,  -1.37E-010, 
 21.70,  -1.17E-010, 
 21.80,  -1.33E-011, 
 21.90,   8.26E-011, 
 22.00,  -6.30E-012, 
 22.10,  -2.45E-011, 
 22.20,  -8.47E-011, 
 22.30,  -6.79E-011, 
 22.40,   3.43E-011, 
 22.50,  -7.63E-011, 
 22.60,  -1.82E-011, 
 22.70,  -3.01E-011, 
 22.80,  -9.94E-011, 
 22.90,  -2.00E-010, 
 23.00,  -2.25E-010, 
 23.10,  -2.70E-010, 
 23.20,  -2.05E-010, 
 23.30,  -1.64E-010, 
 23.40,  -2.20E-010, 
 23.50,  -2.44E-010, 
 23.60,  -2.04E-010, 
 23.70,  -3.30E-010, 
 23.80,  -2.65E-010, 
 23.90,  -2.57E-010, 
 24.00,  -1.83E-010, 
 24.10,  -1.39E-010, 
 24.20,  -8.54E-011, 
 24.30,  -4.90E-012, 
 24.40,   3.99E-011, 
 24.50,  -2.94E-011, 
 24.60,  -7.70E-012, 
 24.70,   1.09E-010, 
 24.80,   2.20E-010, 
 24.90,   4.13E-010, 
 25.00,   8.22E-010, 
 25.10,   1.16E-009, 
 25.20,   1.12E-009, 
 25.30,   1.10E-009, 
 25.40,   9.45E-010, 
 25.50,   3.38E-010, 
 25.60,   5.51E-010, 
 25.70,   1.63E-009, 
 25.80,   2.63E-009, 
 25.90,   3.92E-009, 
 26.00,   5.29E-009, 
 26.10,   6.08E-009, 
 26.20,   6.54E-009, 
 26.30,   6.32E-009, 
 26.40,   5.62E-009, 
 26.50,   3.87E-009, 
 26.60,   3.54E-009, 
 26.70,   4.69E-009, 
 26.80,   7.61E-009, 
 26.90,   1.28E-008, 
 27.00,   1.92E-008, 
 27.10,   2.59E-008, 
 27.20,   3.75E-008, 
 27.30,   6.94E-008, 
 27.40,   1.48E-007, 
 27.50,   2.83E-007, 
 27.60,   6.38E-007, 
 27.70,   1.49E-006, 
 27.80,   2.45E-006, 
 27.90,   3.37E-006, 
 28.00,   3.66E-006, 
 28.10,   3.67E-006, 
 28.20,   3.48E-006, 
 28.30,   3.03E-006, 
 28.40,   1.50E-006, 
 28.50,   8.35E-008, 
 28.60,   2.46E-008, 
 28.70,   2.60E-008, 
 28.80,   4.17E-008, 
 28.90,   6.33E-008, 
 29.00,   7.66E-008, 
 29.10,   7.76E-008, 
 29.20,   7.78E-008, 
 29.30,   6.72E-008, 
 29.40,   4.66E-008, 
 29.50,   1.54E-008, 
 29.60,   7.17E-009, 
 29.70,   5.11E-009, 
 29.80,   5.39E-009, 
 29.90,   6.88E-009, 
 30.00,   8.76E-009, 
 30.10,   9.69E-009, 
 30.20,   1.05E-008, 
 30.30,   1.05E-008, 
 30.40,   1.05E-008, 
 30.50,   9.14E-009, 
 30.60,   1.16E-008, 
 30.70,   2.61E-008, 
 30.80,   5.68E-008, 
 30.90,   9.20E-008, 
 31.00,   1.15E-007, 
 31.10,   1.15E-007, 
 31.20,   1.22E-007, 
 31.30,   1.14E-007, 
 31.40,   1.08E-007, 
 31.50,   7.65E-008, 
 31.60,   1.42E-007, 
 31.70,   3.35E-007, 
 31.80,   5.56E-007, 
 31.90,   7.74E-007, 
 32.00,   8.26E-007, 
 32.10,   8.36E-007, 
 32.20,   7.65E-007, 
 32.30,   6.82E-007, 
 32.40,   3.40E-007, 
 32.50,   3.69E-008, 
 32.60,   1.16E-008, 
 32.70,   6.18E-009, 
 32.80,   4.31E-009, 
 32.90,   3.85E-009, 
 33.00,   3.85E-009, 
 33.10,   3.85E-009, 
 33.20,   4.04E-009, 
 33.30,   3.75E-009, 
 33.40,   3.21E-009, 
 33.50,   2.18E-009, 
 33.60,   1.42E-009, 
 33.70,   1.26E-009, 
 33.80,   1.59E-009, 
 33.90,   2.10E-009, 
 34.00,   2.69E-009, 
 34.10,   3.00E-009, 
 34.20,   3.14E-009, 
 34.30,   3.07E-009, 
 34.40,   2.65E-009, 
 34.50,   1.63E-009, 
 34.60,   6.41E-010, 
 34.70,   9.59E-011, 
 34.80,   1.47E-011, 
 34.90,  -2.03E-011, 
 35.00,  -1.47E-011, 
 35.10,   7.84E-011, 
 35.20,   6.72E-011, 
 35.30,  -4.55E-011, 
 35.40,  -1.96E-011, 
 35.50,  -5.25E-011, 
 35.60,  -1.03E-010, 
 35.70,  -5.74E-011, 
 35.80,  -3.99E-011, 
 35.90,  -7.00E-013, 
 36.00,   5.81E-011, 
 36.10,   1.18E-010, 
 36.20,   1.60E-010, 
 36.30,   1.38E-010, 
 36.40,   1.32E-010, 
 36.50,   7.56E-011, 
 36.60,  -1.12E-011, 
 36.70,  -3.01E-011, 
 36.80,   2.80E-011, 
 36.90,  -6.02E-011, 
 37.00,  -5.46E-011, 
 37.10,  -1.09E-010, 
 37.20,  -1.63E-010, 
 37.30,  -1.81E-010, 
 37.40,  -8.68E-011, 
 37.50,  -1.10E-010, 
 37.60,  -1.34E-010, 
 37.70,  -1.87E-010, 
 37.80,  -1.54E-011, 
 37.90,  -1.75E-011, 
 38.00,  -2.66E-011, 
