Jan 20, 2017  12:54:47 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   5.36E-009, 
  1.10,   6.03E-009, 
  1.20,   8.91E-009, 
  1.30,   2.30E-008, 
  1.40,   4.07E-008, 
  1.50,   3.32E-008, 
  1.60,   2.31E-008, 
  1.70,   1.85E-008, 
  1.80,   1.82E-008, 
  1.90,   2.05E-008, 
  2.00,   2.19E-008, 
  2.10,   2.22E-008, 
  2.20,   2.05E-008, 
  2.30,   1.85E-008, 
  2.40,   1.44E-008, 
  2.50,   8.43E-009, 
  2.60,   3.97E-009, 
  2.70,   2.03E-009, 
  2.80,   1.02E-009, 
  2.90,   2.11E-010, 
  3.00,   1.51E-010, 
  3.10,   1.72E-010, 
  3.20,   1.13E-010, 
  3.30,   6.37E-011, 
  3.40,  -6.58E-011, 
  3.50,  -1.27E-010, 
  3.60,  -2.28E-010, 
  3.70,  -2.04E-010, 
  3.80,  -2.63E-010, 
  3.90,  -2.33E-010, 
  4.00,  -2.37E-010, 
  4.10,  -1.99E-010, 
  4.20,  -1.68E-010, 
  4.30,  -2.91E-010, 
  4.40,  -2.33E-010, 
  4.50,  -1.39E-010, 
  4.60,  -4.69E-011, 
  4.70,  -9.52E-011, 
  4.80,  -2.11E-010, 
  4.90,  -2.72E-010, 
  5.00,  -1.67E-010, 
  5.10,  -1.81E-010, 
  5.20,  -2.47E-010, 
  5.30,  -2.91E-010, 
  5.40,  -2.53E-010, 
  5.50,  -1.69E-010, 
  5.60,  -1.95E-010, 
  5.70,  -2.79E-010, 
  5.80,  -2.44E-010, 
  5.90,  -2.36E-010, 
  6.00,  -2.88E-010, 
  6.10,  -2.46E-010, 
  6.20,  -1.54E-010, 
  6.30,  -1.12E-010, 
  6.40,  -1.30E-010, 
  6.50,  -1.89E-010, 
  6.60,  -2.27E-010, 
  6.70,  -2.77E-010, 
  6.80,  -3.63E-010, 
  6.90,  -3.21E-010, 
  7.00,  -2.51E-010, 
  7.10,  -2.02E-010, 
  7.20,  -1.29E-010, 
  7.30,  -4.48E-011, 
  7.40,  -5.11E-011, 
  7.50,  -1.18E-010, 
  7.60,  -1.79E-010, 
  7.70,  -1.63E-010, 
  7.80,  -1.92E-010, 
  7.90,  -1.25E-010, 
  8.00,  -2.09E-010, 
  8.10,  -3.00E-010, 
  8.20,  -2.96E-010, 
  8.30,  -2.87E-010, 
  8.40,  -2.16E-010, 
  8.50,  -2.15E-010, 
  8.60,  -2.51E-010, 
  8.70,  -2.58E-010, 
  8.80,  -2.52E-010, 
  8.90,  -2.57E-010, 
  9.00,  -1.97E-010, 
  9.10,  -2.75E-010, 
  9.20,  -3.31E-010, 
  9.30,  -3.55E-010, 
  9.40,  -2.84E-010, 
  9.50,  -2.95E-010, 
  9.60,  -2.46E-010, 
  9.70,  -1.98E-010, 
  9.80,  -2.43E-010, 
  9.90,  -2.93E-010, 
 10.00,  -3.31E-010, 
 10.10,  -4.01E-010, 
 10.20,  -2.86E-010, 
 10.30,  -2.74E-010, 
 10.40,  -2.10E-010, 
 10.50,  -2.54E-010, 
 10.60,  -1.85E-010, 
 10.70,  -1.37E-010, 
 10.80,  -1.55E-010, 
 10.90,  -1.70E-010, 
 11.00,  -1.28E-010, 
 11.10,  -4.97E-011, 
 11.20,  -5.04E-011, 
 11.30,  -1.11E-010, 
 11.40,  -1.64E-010, 
 11.50,  -1.53E-010, 
 11.60,  -3.57E-011, 
 11.70,   1.84E-010, 
 11.80,   5.10E-010, 
 11.90,   1.42E-009, 
 12.00,   1.64E-009, 
 12.10,   1.89E-009, 
 12.20,   1.89E-009, 
 12.30,   1.57E-009, 
 12.40,   1.05E-009, 
 12.50,   2.23E-010, 
 12.60,   2.01E-010, 
 12.70,   3.52E-010, 
 12.80,   7.25E-010, 
 12.90,   1.56E-009, 
 13.00,   1.82E-009, 
 13.10,   2.25E-009, 
 13.20,   2.88E-009, 
 13.30,   4.13E-009, 
 13.40,   6.71E-009, 
 13.50,   1.29E-008, 
 13.60,   3.32E-008, 
 13.70,   9.45E-008, 
 13.80,   1.94E-007, 
 13.90,   2.63E-007, 
 14.00,   2.84E-007, 
 14.10,   2.83E-007, 
 14.20,   2.61E-007, 
 14.30,   2.18E-007, 
 14.40,   1.19E-007, 
 14.50,   2.35E-008, 
 14.60,   9.79E-009, 
 14.70,   7.86E-009, 
 14.80,   1.01E-008, 
 14.90,   1.40E-008, 
 15.00,   1.77E-008, 
 15.10,   1.91E-008, 
 15.20,   1.98E-008, 
 15.30,   1.81E-008, 
 15.40,   1.58E-008, 
 15.50,   1.13E-008, 
 15.60,   1.30E-008, 
 15.70,   2.66E-008, 
 15.80,   5.50E-008, 
 15.90,   8.24E-008, 
 16.00,   9.34E-008, 
 16.10,   9.52E-008, 
 16.20,   9.04E-008, 
 16.30,   7.63E-008, 
 16.40,   4.67E-008, 
 16.50,   1.56E-008, 
 16.60,   9.58E-009, 
 16.70,   1.21E-008, 
 16.80,   2.16E-008, 
 16.90,   3.39E-008, 
 17.00,   4.22E-008, 
 17.10,   4.27E-008, 
 17.20,   4.32E-008, 
 17.30,   3.75E-008, 
 17.40,   2.95E-008, 
 17.50,   1.71E-008, 
 17.60,   2.09E-008, 
 17.70,   4.86E-008, 
 17.80,   1.05E-007, 
 17.90,   1.55E-007, 
 18.00,   1.81E-007, 
 18.10,   1.75E-007, 
 18.20,   1.73E-007, 
 18.30,   1.41E-007, 
 18.40,   9.48E-008, 
 18.50,   2.35E-008, 
 18.60,   8.47E-009, 
 18.70,   4.44E-009, 
 18.80,   3.14E-009, 
 18.90,   2.85E-009, 
 19.00,   2.85E-009, 
 19.10,   2.80E-009, 
 19.20,   2.74E-009, 
 19.30,   2.60E-009, 
 19.40,   2.44E-009, 
 19.50,   1.71E-009, 
 19.60,   1.51E-009, 
 19.70,   2.04E-009, 
 19.80,   3.24E-009, 
 19.90,   4.87E-009, 
 20.00,   6.36E-009, 
 20.10,   7.12E-009, 
 20.20,   7.48E-009, 
 20.30,   6.75E-009, 
 20.40,   5.32E-009, 
 20.50,   2.93E-009, 
 20.60,   1.69E-009, 
 20.70,   1.05E-009, 
 20.80,   4.26E-010, 
 20.90,   2.23E-010, 
 21.00,   1.40E-011, 
 21.10,  -4.41E-011, 
 21.20,   1.05E-011, 
 21.30,  -1.26E-011, 
 21.40,  -9.94E-011, 
 21.50,  -1.53E-010, 
 21.60,  -1.71E-010, 
 21.70,  -5.60E-011, 
 21.80,  -4.90E-011, 
 21.90,  -1.12E-011, 
 22.00,   4.90E-012, 
 22.10,  -7.00E-013, 
 22.20,   3.50E-011, 
 22.30,  -1.82E-011, 
 22.40,  -6.51E-011, 
 22.50,  -7.28E-011, 
 22.60,  -7.28E-011, 
 22.70,  -8.61E-011, 
 22.80,  -1.76E-010, 
 22.90,  -2.62E-010, 
 23.00,  -2.42E-010, 
 23.10,  -2.00E-010, 
 23.20,  -2.04E-010, 
 23.30,  -3.05E-010, 
 23.40,  -3.31E-010, 
 23.50,  -2.41E-010, 
 23.60,  -2.42E-010, 
 23.70,  -2.38E-010, 
 23.80,  -2.04E-010, 
 23.90,  -1.27E-010, 
 24.00,  -8.40E-011, 
 24.10,  -6.51E-011, 
 24.20,  -6.37E-011, 
 24.30,  -1.62E-010, 
 24.40,  -1.48E-010, 
 24.50,  -1.17E-010, 
 24.60,  -9.10E-011, 
 24.70,  -5.18E-011, 
 24.80,  -9.10E-012, 
 24.90,   1.96E-011, 
 25.00,   4.48E-011, 
 25.10,  -1.68E-011, 
 25.20,   5.74E-011, 
 25.30,   1.39E-010, 
 25.40,   1.50E-010, 
 25.50,   7.77E-011, 
 25.60,   6.86E-011, 
 25.70,   2.32E-010, 
 25.80,   3.45E-010, 
 25.90,   5.06E-010, 
 26.00,   7.30E-010, 
 26.10,   1.22E-009, 
 26.20,   1.33E-009, 
 26.30,   1.28E-009, 
 26.40,   1.29E-009, 
 26.50,   1.25E-009, 
 26.60,   1.32E-009, 
 26.70,   1.83E-009, 
 26.80,   2.78E-009, 
 26.90,   4.57E-009, 
 27.00,   7.59E-009, 
 27.10,   1.33E-008, 
 27.20,   2.51E-008, 
 27.30,   5.92E-008, 
 27.40,   1.49E-007, 
 27.50,   2.78E-007, 
 27.60,   5.72E-007, 
 27.70,   1.42E-006, 
 27.80,   2.64E-006, 
 27.90,   3.74E-006, 
 28.00,   4.51E-006, 
 28.10,   4.29E-006, 
 28.20,   4.46E-006, 
 28.30,   3.64E-006, 
 28.40,   2.67E-006, 
 28.50,   2.81E-007, 
 28.60,   3.35E-008, 
 28.70,   2.33E-008, 
 28.80,   3.34E-008, 
 28.90,   5.10E-008, 
 29.00,   6.75E-008, 
 29.10,   6.91E-008, 
 29.20,   7.18E-008, 
 29.30,   6.14E-008, 
 29.40,   5.01E-008, 
 29.50,   2.12E-008, 
 29.60,   8.23E-009, 
 29.70,   4.94E-009, 
 29.80,   4.39E-009, 
 29.90,   4.98E-009, 
 30.00,   5.99E-009, 
 30.10,   6.62E-009, 
 30.20,   7.18E-009, 
 30.30,   7.26E-009, 
 30.40,   7.28E-009, 
 30.50,   6.06E-009, 
 30.60,   5.62E-009, 
 30.70,   9.19E-009, 
 30.80,   1.98E-008, 
 30.90,   3.65E-008, 
 31.00,   5.33E-008, 
 31.10,   5.90E-008, 
 31.20,   6.44E-008, 
 31.30,   6.72E-008, 
 31.40,   7.85E-008, 
 31.50,   7.81E-008, 
 31.60,   1.22E-007, 
 31.70,   3.06E-007, 
 31.80,   5.70E-007, 
 31.90,   8.32E-007, 
 32.00,   9.90E-007, 
 32.10,   9.47E-007, 
 32.20,   9.75E-007, 
 32.30,   8.14E-007, 
 32.40,   5.90E-007, 
 32.50,   9.20E-008, 
 32.60,   1.74E-008, 
 32.70,   8.29E-009, 
 32.80,   5.91E-009, 
 32.90,   6.01E-009, 
 33.00,   6.87E-009, 
 33.10,   7.56E-009, 
 33.20,   7.94E-009, 
 33.30,   7.62E-009, 
 33.40,   6.88E-009, 
 33.50,   5.14E-009, 
 33.60,   2.97E-009, 
 33.70,   2.09E-009, 
 33.80,   2.18E-009, 
 33.90,   2.59E-009, 
 34.00,   3.18E-009, 
 34.10,   3.64E-009, 
 34.20,   3.92E-009, 
 34.30,   3.74E-009, 
 34.40,   3.50E-009, 
 34.50,   2.46E-009, 
 34.60,   1.30E-009, 
 34.70,   4.53E-010, 
 34.80,   1.69E-010, 
 34.90,   1.62E-010, 
 35.00,   1.18E-010, 
 35.10,   1.89E-011, 
 35.20,   8.40E-012, 
 35.30,   1.54E-011, 
 35.40,   7.49E-011, 
 35.50,  -3.50E-012, 
 35.60,  -3.85E-011, 
 35.70,  -1.07E-010, 
 35.80,   4.20E-012, 
 35.90,   9.17E-011, 
 36.00,   1.12E-010, 
 36.10,   7.07E-011, 
 36.20,   1.76E-010, 
 36.30,   1.26E-010, 
 36.40,   8.40E-012, 
 36.50,  -2.66E-011, 
 36.60,  -1.18E-010, 
 36.70,  -9.66E-011, 
 36.80,  -4.41E-011, 
 36.90,   3.50E-012, 
 37.00,   7.21E-011, 
 37.10,   6.86E-011, 
 37.20,   4.83E-011, 
 37.30,   2.80E-012, 
 37.40,  -3.01E-011, 
 37.50,   2.24E-011, 
 37.60,   3.92E-011, 
 37.70,   7.98E-011, 
 37.80,   1.11E-010, 
 37.90,   1.60E-010, 
 38.00,   3.10E-010, 
