Jan 20, 2017  12:51:22 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   3.49E-010, 
  1.10,   4.53E-010, 
  1.20,   1.15E-009, 
  1.30,   6.36E-009, 
  1.40,   1.41E-008, 
  1.50,   1.18E-008, 
  1.60,   8.54E-009, 
  1.70,   8.20E-009, 
  1.80,   9.47E-009, 
  1.90,   1.17E-008, 
  2.00,   1.34E-008, 
  2.10,   1.45E-008, 
  2.20,   1.39E-008, 
  2.30,   1.30E-008, 
  2.40,   1.05E-008, 
  2.50,   6.52E-009, 
  2.60,   3.27E-009, 
  2.70,   1.79E-009, 
  2.80,   6.88E-010, 
  2.90,   3.74E-010, 
  3.00,   1.80E-010, 
  3.10,   1.37E-010, 
  3.20,   6.86E-011, 
  3.30,   1.13E-010, 
  3.40,   4.76E-011, 
  3.50,   1.05E-011, 
  3.60,   5.46E-011, 
  3.70,   1.46E-010, 
  3.80,   1.70E-010, 
  3.90,   1.60E-010, 
  4.00,   9.38E-011, 
  4.10,   7.98E-011, 
  4.20,   6.58E-011, 
  4.30,   8.96E-011, 
  4.40,   1.22E-010, 
  4.50,   9.17E-011, 
  4.60,   1.15E-010, 
  4.70,   6.37E-011, 
  4.80,   6.09E-011, 
  4.90,   4.27E-011, 
  5.00,   4.20E-011, 
  5.10,  -5.67E-011, 
  5.20,  -5.67E-011, 
  5.30,  -9.10E-012, 
  5.40,   1.06E-010, 
  5.50,   1.62E-010, 
  5.60,   1.38E-010, 
  5.70,   5.74E-011, 
  5.80,   2.10E-011, 
  5.90,   2.52E-011, 
  6.00,   3.64E-011, 
  6.10,  -6.16E-011, 
  6.20,  -4.27E-011, 
  6.30,  -7.00E-012, 
  6.40,  -5.04E-011, 
  6.50,  -7.28E-011, 
  6.60,  -2.31E-011, 
  6.70,  -1.61E-011, 
  6.80,   5.39E-011, 
  6.90,   9.45E-011, 
  7.00,   1.25E-010, 
  7.10,   7.49E-011, 
  7.20,  -6.02E-011, 
  7.30,  -4.69E-011, 
  7.40,  -9.80E-011, 
  7.50,  -3.22E-011, 
  7.60,  -2.73E-011, 
  7.70,  -2.17E-011, 
  7.80,   1.40E-012, 
  7.90,   8.61E-011, 
  8.00,   5.60E-011, 
  8.10,   3.01E-011, 
  8.20,   4.97E-011, 
  8.30,   5.60E-011, 
  8.40,   1.68E-011, 
  8.50,   2.10E-011, 
  8.60,  -2.73E-011, 
  8.70,  -2.80E-011, 
  8.80,  -7.70E-012, 
  8.90,   3.85E-011, 
  9.00,  -5.46E-011, 
  9.10,   7.70E-012, 
  9.20,   1.68E-011, 
  9.30,   3.22E-011, 
  9.40,   4.20E-012, 
  9.50,   3.64E-011, 
  9.60,   2.45E-011, 
  9.70,   4.13E-011, 
  9.80,   8.47E-011, 
  9.90,   8.26E-011, 
 10.00,   3.29E-011, 
 10.10,   1.54E-011, 
 10.20,  -4.20E-011, 
 10.30,  -5.32E-011, 
 10.40,   1.33E-011, 
 10.50,  -2.45E-011, 
 10.60,  -4.41E-011, 
 10.70,  -4.20E-011, 
 10.80,   4.41E-011, 
 10.90,   9.10E-011, 
 11.00,   5.46E-011, 
 11.10,   4.76E-011, 
 11.20,   5.74E-011, 
 11.30,   1.18E-010, 
 11.40,  -1.75E-011, 
 11.50,  -5.25E-011, 
 11.60,  -7.77E-011, 
 11.70,  -5.53E-011, 
 11.80,   1.05E-011, 
 11.90,   1.97E-010, 
 12.00,   2.65E-010, 
 12.10,   2.17E-010, 
 12.20,   2.44E-010, 
 12.30,   2.96E-010, 
 12.40,   3.62E-010, 
 12.50,   1.53E-010, 
 12.60,   1.09E-010, 
 12.70,   8.12E-011, 
 12.80,   6.30E-012, 
 12.90,   1.06E-010, 
 13.00,   4.41E-011, 
 13.10,   7.77E-011, 
 13.20,   7.63E-011, 
 13.30,   9.59E-011, 
 13.40,   3.99E-011, 
 13.50,  -1.75E-011, 
 13.60,  -4.90E-011, 
 13.70,   5.81E-011, 
 13.80,   2.61E-010, 
 13.90,   4.10E-010, 
 14.00,   5.72E-010, 
 14.10,   5.43E-010, 
 14.20,   6.04E-010, 
 14.30,   5.57E-010, 
 14.40,   5.96E-010, 
 14.50,   4.13E-010, 
 14.60,   3.53E-010, 
 14.70,   3.05E-010, 
 14.80,   3.24E-010, 
 14.90,   4.90E-010, 
 15.00,   5.87E-010, 
 15.10,   5.47E-010, 
 15.20,   6.81E-010, 
 15.30,   6.86E-010, 
 15.40,   6.74E-010, 
 15.50,   5.49E-010, 
 15.60,   4.15E-010, 
 15.70,   6.30E-010, 
 15.80,   1.56E-009, 
 15.90,   2.25E-009, 
 16.00,   2.64E-009, 
 16.10,   2.97E-009, 
 16.20,   3.00E-009, 
 16.30,   2.84E-009, 
 16.40,   2.71E-009, 
 16.50,   2.32E-009, 
 16.60,   3.07E-009, 
 16.70,   6.16E-009, 
 16.80,   1.27E-008, 
 16.90,   2.09E-008, 
 17.00,   2.72E-008, 
 17.10,   2.89E-008, 
 17.20,   2.90E-008, 
 17.30,   2.62E-008, 
 17.40,   2.11E-008, 
 17.50,   1.27E-008, 
 17.60,   1.37E-008, 
 17.70,   2.84E-008, 
 17.80,   6.26E-008, 
 17.90,   9.65E-008, 
 18.00,   1.14E-007, 
 18.10,   1.14E-007, 
 18.20,   1.12E-007, 
 18.30,   9.40E-008, 
 18.40,   6.63E-008, 
 18.50,   1.94E-008, 
 18.60,   7.64E-009, 
 18.70,   4.00E-009, 
 18.80,   2.39E-009, 
 18.90,   1.61E-009, 
 19.00,   1.08E-009, 
 19.10,   6.55E-010, 
 19.20,   6.77E-010, 
 19.30,   6.03E-010, 
 19.40,   5.52E-010, 
 19.50,   5.53E-010, 
 19.60,   4.08E-010, 
 19.70,   3.01E-010, 
 19.80,   2.73E-010, 
 19.90,   3.61E-010, 
 20.00,   5.04E-010, 
 20.10,   5.25E-010, 
 20.20,   4.15E-010, 
 20.30,   3.26E-010, 
 20.40,   3.19E-010, 
 20.50,   2.47E-010, 
 20.60,   1.06E-010, 
 20.70,   1.08E-010, 
 20.80,   9.31E-011, 
 20.90,  -1.40E-011, 
 21.00,   7.00E-012, 
 21.10,   4.55E-011, 
 21.20,   4.69E-011, 
 21.30,   1.03E-010, 
 21.40,   1.32E-010, 
 21.50,   1.03E-010, 
 21.60,   8.82E-011, 
 21.70,   1.68E-011, 
 21.80,   2.38E-011, 
 21.90,   7.70E-012, 
 22.00,   7.56E-011, 
 22.10,   7.35E-011, 
 22.20,   3.64E-011, 
 22.30,   3.50E-012, 
 22.40,   2.10E-011, 
 22.50,   6.65E-011, 
 22.60,  -1.05E-011, 
 22.70,  -7.00E-011, 
 22.80,  -1.47E-011, 
 22.90,   1.96E-011, 
 23.00,   3.92E-011, 
 23.10,   2.73E-011, 
 23.20,  -5.25E-011, 
 23.30,   7.00E-013, 
 23.40,   4.76E-011, 
 23.50,   5.74E-011, 
 23.60,   3.22E-011, 
 23.70,  -3.50E-011, 
 23.80,   6.72E-011, 
 23.90,   2.59E-011, 
 24.00,   3.64E-011, 
 24.10,   1.75E-011, 
 24.20,  -2.10E-012, 
 24.30,  -1.47E-011, 
 24.40,   2.10E-012, 
 24.50,   4.90E-011, 
 24.60,   1.11E-010, 
 24.70,   5.88E-011, 
 24.80,  -9.10E-011, 
 24.90,  -4.48E-011, 
 25.00,   4.13E-011, 
 25.10,   3.92E-011, 
 25.20,   9.59E-011, 
 25.30,   7.21E-011, 
 25.40,   1.07E-010, 
 25.50,   1.59E-010, 
 25.60,   1.46E-010, 
 25.70,   1.30E-010, 
 25.80,   2.35E-010, 
 25.90,   2.46E-010, 
 26.00,   3.70E-010, 
 26.10,   3.94E-010, 
 26.20,   4.14E-010, 
 26.30,   3.81E-010, 
 26.40,   3.76E-010, 
 26.50,   2.34E-010, 
 26.60,   1.53E-010, 
 26.70,   2.23E-010, 
 26.80,   3.26E-010, 
 26.90,   5.54E-010, 
 27.00,   8.45E-010, 
 27.10,   1.30E-009, 
 27.20,   1.31E-009, 
 27.30,   1.11E-009, 
 27.40,   8.26E-010, 
 27.50,   8.58E-010, 
 27.60,   8.90E-010, 
 27.70,   1.58E-009, 
 27.80,   2.81E-009, 
 27.90,   4.14E-009, 
 28.00,   5.66E-009, 
 28.10,   6.72E-009, 
 28.20,   7.28E-009, 
 28.30,   7.07E-009, 
 28.40,   6.47E-009, 
 28.50,   4.18E-009, 
 28.60,   2.31E-009, 
 28.70,   1.45E-009, 
 28.80,   8.84E-010, 
 28.90,   9.50E-010, 
 29.00,   1.46E-009, 
 29.10,   1.40E-009, 
 29.20,   1.41E-009, 
 29.30,   1.45E-009, 
 29.40,   1.32E-009, 
 29.50,   9.02E-010, 
 29.60,   5.49E-010, 
 29.70,   3.97E-010, 
 29.80,   2.78E-010, 
 29.90,   3.26E-010, 
 30.00,   4.29E-010, 
 30.10,   3.89E-010, 
 30.20,   4.05E-010, 
 30.30,   4.22E-010, 
 30.40,   4.21E-010, 
 30.50,   3.42E-010, 
 30.60,   2.71E-010, 
 30.70,   1.59E-010, 
 30.80,   1.60E-010, 
 30.90,   2.39E-010, 
 31.00,   3.36E-010, 
 31.10,   3.73E-010, 
 31.20,   4.12E-010, 
 31.30,   3.96E-010, 
 31.40,   3.57E-010, 
 31.50,   3.29E-010, 
 31.60,   2.93E-010, 
 31.70,   5.24E-010, 
 31.80,   9.26E-010, 
 31.90,   1.68E-009, 
 32.00,   2.07E-009, 
 32.10,   2.24E-009, 
 32.20,   2.42E-009, 
 32.30,   2.31E-009, 
 32.40,   2.18E-009, 
 32.50,   1.52E-009, 
 32.60,   6.11E-010, 
 32.70,   3.91E-010, 
 32.80,   2.23E-010, 
 32.90,   2.15E-010, 
 33.00,   1.67E-010, 
 33.10,   2.35E-010, 
 33.20,   2.64E-010, 
 33.30,   1.91E-010, 
 33.40,   1.11E-010, 
 33.50,   5.67E-011, 
 33.60,   5.46E-011, 
 33.70,   4.97E-011, 
 33.80,   9.59E-011, 
 33.90,   2.03E-010, 
 34.00,   2.49E-010, 
 34.10,   2.61E-010, 
 34.20,   1.85E-010, 
 34.30,   1.42E-010, 
 34.40,   1.73E-010, 
 34.50,   1.88E-010, 
 34.60,   1.02E-010, 
 34.70,   7.14E-011, 
 34.80,   1.48E-010, 
 34.90,   1.67E-010, 
 35.00,   8.61E-011, 
 35.10,   2.25E-010, 
 35.20,   2.41E-010, 
 35.30,   2.08E-010, 
 35.40,   1.49E-010, 
 35.50,   1.88E-010, 
 35.60,   1.64E-010, 
 35.70,   8.82E-011, 
 35.80,   7.84E-011, 
 35.90,   9.10E-011, 
 36.00,   1.67E-010, 
 36.10,   2.16E-010, 
 36.20,   1.48E-010, 
 36.30,   1.09E-010, 
 36.40,   1.43E-010, 
 36.50,   7.35E-011, 
 36.60,   9.38E-011, 
 36.70,   1.51E-010, 
 36.80,   1.13E-010, 
 36.90,   1.95E-010, 
 37.00,   2.29E-010, 
 37.10,   3.17E-010, 
 37.20,   3.96E-010, 
 37.30,   3.96E-010, 
 37.40,   2.74E-010, 
 37.50,   2.66E-010, 
 37.60,   2.11E-010, 
 37.70,   1.67E-010, 
 37.80,   1.24E-010, 
 37.90,   2.20E-010, 
 38.00,   3.56E-010, 
 38.10,   3.81E-010, 
 38.20,   3.35E-010, 
 38.30,   3.82E-010, 
 38.40,   4.15E-010, 
 38.50,   3.72E-010, 
 38.60,   3.87E-010, 
