Jan 20, 2017  12:52:41 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   6.13E-009, 
  1.10,   7.00E-009, 
  1.20,   1.04E-008, 
  1.30,   2.64E-008, 
  1.40,   4.53E-008, 
  1.50,   3.65E-008, 
  1.60,   2.58E-008, 
  1.70,   2.05E-008, 
  1.80,   2.02E-008, 
  1.90,   2.22E-008, 
  2.00,   2.35E-008, 
  2.10,   2.40E-008, 
  2.20,   2.20E-008, 
  2.30,   2.01E-008, 
  2.40,   1.58E-008, 
  2.50,   9.04E-009, 
  2.60,   4.23E-009, 
  2.70,   2.34E-009, 
  2.80,   1.35E-009, 
  2.90,   8.70E-010, 
  3.00,   3.62E-010, 
  3.10,   2.60E-010, 
  3.20,   2.35E-010, 
  3.30,   2.28E-010, 
  3.40,   8.75E-011, 
  3.50,  -3.78E-011, 
  3.60,  -6.58E-011, 
  3.70,  -1.51E-010, 
  3.80,  -2.10E-010, 
  3.90,  -2.82E-010, 
  4.00,  -1.99E-010, 
  4.10,  -1.95E-010, 
  4.20,  -1.75E-010, 
  4.30,  -1.58E-010, 
  4.40,  -1.78E-010, 
  4.50,  -2.01E-010, 
  4.60,  -2.64E-010, 
  4.70,  -2.27E-010, 
  4.80,  -1.88E-010, 
  4.90,  -1.97E-010, 
  5.00,  -1.88E-010, 
  5.10,  -1.67E-010, 
  5.20,  -2.89E-010, 
  5.30,  -1.90E-010, 
  5.40,  -2.38E-010, 
  5.50,  -2.12E-010, 
  5.60,  -1.79E-010, 
  5.70,  -1.22E-010, 
  5.80,  -1.16E-010, 
  5.90,  -2.28E-010, 
  6.00,  -2.22E-010, 
  6.10,  -3.05E-010, 
  6.20,  -2.76E-010, 
  6.30,  -1.90E-010, 
  6.40,  -2.27E-010, 
  6.50,  -3.24E-010, 
  6.60,  -3.82E-010, 
  6.70,  -3.82E-010, 
  6.80,  -3.68E-010, 
  6.90,  -3.24E-010, 
  7.00,  -2.20E-010, 
  7.10,  -1.65E-010, 
  7.20,  -1.16E-010, 
  7.30,  -1.62E-010, 
  7.40,  -1.53E-010, 
  7.50,  -2.18E-010, 
  7.60,  -1.75E-010, 
  7.70,  -2.70E-010, 
  7.80,  -2.98E-010, 
  7.90,  -3.96E-010, 
  8.00,  -3.56E-010, 
  8.10,  -3.07E-010, 
  8.20,  -3.31E-010, 
  8.30,  -3.20E-010, 
  8.40,  -4.19E-010, 
  8.50,  -4.03E-010, 
  8.60,  -3.25E-010, 
  8.70,  -2.72E-010, 
  8.80,  -2.08E-010, 
  8.90,  -2.55E-010, 
  9.00,  -3.38E-010, 
  9.10,  -3.01E-010, 
  9.20,  -3.05E-010, 
  9.30,  -3.05E-010, 
  9.40,  -3.39E-010, 
  9.50,  -3.14E-010, 
  9.60,  -2.03E-010, 
  9.70,  -3.33E-010, 
  9.80,  -3.00E-010, 
  9.90,  -2.77E-010, 
 10.00,  -2.82E-010, 
 10.10,  -3.61E-010, 
 10.20,  -4.38E-010, 
 10.30,  -3.63E-010, 
 10.40,  -4.09E-010, 
 10.50,  -3.86E-010, 
 10.60,  -3.26E-010, 
 10.70,  -2.55E-010, 
 10.80,  -2.46E-010, 
 10.90,  -1.95E-010, 
 11.00,  -1.20E-010, 
 11.10,  -3.12E-010, 
 11.20,  -2.63E-010, 
 11.30,  -2.32E-010, 
 11.40,  -2.51E-010, 
 11.50,  -2.44E-010, 
 11.60,  -2.02E-010, 
 11.70,   6.02E-011, 
 11.80,   6.90E-010, 
 11.90,   1.38E-009, 
 12.00,   1.69E-009, 
 12.10,   1.93E-009, 
 12.20,   2.03E-009, 
 12.30,   1.86E-009, 
 12.40,   1.54E-009, 
 12.50,   8.09E-010, 
 12.60,   2.44E-010, 
 12.70,   3.54E-010, 
 12.80,   9.72E-010, 
 12.90,   1.50E-009, 
 13.00,   1.91E-009, 
 13.10,   2.31E-009, 
 13.20,   3.09E-009, 
 13.30,   4.69E-009, 
 13.40,   7.58E-009, 
 13.50,   1.45E-008, 
 13.60,   3.81E-008, 
 13.70,   1.09E-007, 
 13.80,   2.20E-007, 
 13.90,   2.99E-007, 
 14.00,   3.21E-007, 
 14.10,   3.22E-007, 
 14.20,   2.97E-007, 
 14.30,   2.50E-007, 
 14.40,   1.37E-007, 
 14.50,   2.49E-008, 
 14.60,   1.04E-008, 
 14.70,   8.59E-009, 
 14.80,   1.13E-008, 
 14.90,   1.64E-008, 
 15.00,   2.09E-008, 
 15.10,   2.26E-008, 
 15.20,   2.32E-008, 
 15.30,   2.08E-008, 
 15.40,   1.79E-008, 
 15.50,   1.25E-008, 
 15.60,   1.48E-008, 
 15.70,   3.06E-008, 
 15.80,   6.41E-008, 
 15.90,   9.51E-008, 
 16.00,   1.07E-007, 
 16.10,   1.08E-007, 
 16.20,   1.04E-007, 
 16.30,   8.77E-008, 
 16.40,   5.36E-008, 
 16.50,   1.67E-008, 
 16.60,   1.02E-008, 
 16.70,   1.28E-008, 
 16.80,   2.27E-008, 
 16.90,   3.59E-008, 
 17.00,   4.45E-008, 
 17.10,   4.54E-008, 
 17.20,   4.61E-008, 
 17.30,   4.01E-008, 
 17.40,   3.19E-008, 
 17.50,   1.80E-008, 
 17.60,   2.19E-008, 
 17.70,   5.23E-008, 
 17.80,   1.10E-007, 
 17.90,   1.64E-007, 
 18.00,   1.92E-007, 
 18.10,   1.87E-007, 
 18.20,   1.87E-007, 
 18.30,   1.54E-007, 
 18.40,   1.03E-007, 
 18.50,   2.43E-008, 
 18.60,   8.67E-009, 
 18.70,   4.63E-009, 
 18.80,   3.34E-009, 
 18.90,   2.94E-009, 
 19.00,   3.10E-009, 
 19.10,   3.07E-009, 
 19.20,   3.11E-009, 
 19.30,   2.93E-009, 
 19.40,   2.66E-009, 
 19.50,   1.97E-009, 
 19.60,   1.73E-009, 
 19.70,   2.34E-009, 
 19.80,   3.80E-009, 
 19.90,   5.83E-009, 
 20.00,   7.47E-009, 
 20.10,   8.38E-009, 
 20.20,   8.63E-009, 
 20.30,   7.81E-009, 
 20.40,   6.24E-009, 
 20.50,   3.33E-009, 
 20.60,   1.68E-009, 
 20.70,   9.70E-010, 
 20.80,   2.02E-010, 
 20.90,   6.93E-011, 
 21.00,  -5.88E-011, 
 21.10,  -5.04E-011, 
 21.20,  -4.90E-011, 
 21.30,  -1.30E-010, 
 21.40,  -2.07E-010, 
 21.50,  -2.47E-010, 
 21.60,  -2.04E-010, 
 21.70,  -1.75E-010, 
 21.80,  -1.06E-010, 
 21.90,  -1.09E-010, 
 22.00,  -1.06E-010, 
 22.10,  -1.62E-010, 
 22.20,  -1.93E-010, 
 22.30,  -7.84E-011, 
 22.40,  -3.57E-011, 
 22.50,  -6.37E-011, 
 22.60,  -1.82E-011, 
 22.70,  -8.61E-011, 
 22.80,  -1.62E-010, 
 22.90,  -1.90E-010, 
 23.00,  -1.48E-010, 
 23.10,  -1.41E-010, 
 23.20,  -5.46E-011, 
 23.30,  -6.51E-011, 
 23.40,  -1.07E-010, 
 23.50,  -2.35E-010, 
 23.60,  -3.27E-010, 
 23.70,  -1.87E-010, 
 23.80,  -1.09E-010, 
 23.90,  -1.20E-010, 
 24.00,  -1.04E-010, 
 24.10,  -3.71E-011, 
 24.20,  -2.94E-011, 
 24.30,  -3.29E-011, 
 24.40,  -2.66E-011, 
 24.50,  -1.60E-010, 
 24.60,  -2.42E-010, 
 24.70,  -1.02E-010, 
 24.80,   6.30E-012, 
 24.90,   3.57E-011, 
 25.00,   2.80E-011, 
 25.10,   1.00E-010, 
 25.20,   1.25E-010, 
 25.30,   7.14E-011, 
 25.40,   1.63E-010, 
 25.50,   2.17E-010, 
 25.60,   1.77E-010, 
 25.70,   2.29E-010, 
 25.80,   4.30E-010, 
 25.90,   5.94E-010, 
 26.00,   1.03E-009, 
 26.10,   1.30E-009, 
 26.20,   1.32E-009, 
 26.30,   1.36E-009, 
 26.40,   1.47E-009, 
 26.50,   1.43E-009, 
 26.60,   1.38E-009, 
 26.70,   1.88E-009, 
 26.80,   2.86E-009, 
 26.90,   4.52E-009, 
 27.00,   7.58E-009, 
 27.10,   1.30E-008, 
 27.20,   2.41E-008, 
 27.30,   5.55E-008, 
 27.40,   1.43E-007, 
 27.50,   2.92E-007, 
 27.60,   5.88E-007, 
 27.70,   1.48E-006, 
 27.80,   2.74E-006, 
 27.90,   3.94E-006, 
 28.00,   4.80E-006, 
 28.10,   4.60E-006, 
 28.20,   4.84E-006, 
 28.30,   3.94E-006, 
 28.40,   3.03E-006, 
 28.50,   3.32E-007, 
 28.60,   3.59E-008, 
 28.70,   2.43E-008, 
 28.80,   3.51E-008, 
 28.90,   5.45E-008, 
 29.00,   7.33E-008, 
 29.10,   7.54E-008, 
 29.20,   7.85E-008, 
 29.30,   6.75E-008, 
 29.40,   5.63E-008, 
 29.50,   2.36E-008, 
 29.60,   8.96E-009, 
 29.70,   5.31E-009, 
 29.80,   4.73E-009, 
 29.90,   5.29E-009, 
 30.00,   6.53E-009, 
 30.10,   7.31E-009, 
 30.20,   7.73E-009, 
 30.30,   7.88E-009, 
 30.40,   7.86E-009, 
 30.50,   6.69E-009, 
 30.60,   6.44E-009, 
 30.70,   9.97E-009, 
 30.80,   2.14E-008, 
 30.90,   3.90E-008, 
 31.00,   5.82E-008, 
 31.10,   6.46E-008, 
 31.20,   6.95E-008, 
 31.30,   7.16E-008, 
 31.40,   8.29E-008, 
 31.50,   8.34E-008, 
 31.60,   1.27E-007, 
 31.70,   3.15E-007, 
 31.80,   5.94E-007, 
 31.90,   8.82E-007, 
 32.00,   1.06E-006, 
 32.10,   1.02E-006, 
 32.20,   1.05E-006, 
 32.30,   8.73E-007, 
 32.40,   6.63E-007, 
 32.50,   1.06E-007, 
 32.60,   1.84E-008, 
 32.70,   8.68E-009, 
 32.80,   6.28E-009, 
 32.90,   6.28E-009, 
 33.00,   7.28E-009, 
 33.10,   8.33E-009, 
 33.20,   8.73E-009, 
 33.30,   8.70E-009, 
 33.40,   8.03E-009, 
 33.50,   6.15E-009, 
 33.60,   3.48E-009, 
 33.70,   2.56E-009, 
 33.80,   2.48E-009, 
 33.90,   2.92E-009, 
 34.00,   3.61E-009, 
 34.10,   4.11E-009, 
 34.20,   4.36E-009, 
 34.30,   4.28E-009, 
 34.40,   3.98E-009, 
 34.50,   2.81E-009, 
 34.60,   1.55E-009, 
 34.70,   5.96E-010, 
 34.80,   2.28E-010, 
 34.90,   1.61E-010, 
 35.00,   1.09E-010, 
 35.10,   7.28E-011, 
 35.20,   9.73E-011, 
 35.30,   1.58E-010, 
 35.40,   1.78E-010, 
 35.50,   1.37E-010, 
 35.60,   5.60E-011, 
 35.70,   5.04E-011, 
 35.80,   2.28E-010, 
 35.90,   2.52E-010, 
 36.00,   2.91E-010, 
 36.10,   4.11E-010, 
 36.20,   4.36E-010, 
 36.30,   4.24E-010, 
 36.40,   3.66E-010, 
 36.50,   2.50E-010, 
 36.60,   5.60E-011, 
 36.70,  -6.37E-011, 
 36.80,  -9.52E-011, 
 36.90,  -9.38E-011, 
 37.00,  -5.46E-011, 
 37.10,   1.96E-011, 
 37.20,  -2.17E-011, 
 37.30,  -9.80E-012, 
 37.40,   5.81E-011, 
 37.50,   6.72E-011, 
 37.60,   4.20E-012, 
 37.70,   3.71E-011, 
 37.80,   6.02E-011, 
 37.90,   2.11E-010, 
 38.00,   2.50E-010, 
