Jan 20, 2017  02:56:21 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   5.12E-009, 
  1.10,   6.23E-009, 
  1.20,   1.31E-008, 
  1.30,   6.35E-008, 
  1.40,   1.86E-007, 
  1.50,   7.78E-007, 
  1.60,   1.18E-006, 
  1.70,   1.57E-006, 
  1.80,   2.17E-006, 
  1.90,   2.51E-006, 
  2.00,   2.80E-006, 
  2.10,   2.59E-006, 
  2.20,   2.51E-006, 
  2.30,   1.93E-006, 
  2.40,   1.17E-006, 
  2.50,   9.57E-008, 
  2.60,   1.80E-008, 
  2.70,   7.93E-009, 
  2.80,   4.63E-009, 
  2.90,   3.20E-009, 
  3.00,   2.53E-009, 
  3.10,   2.22E-009, 
  3.20,   1.82E-009, 
  3.30,   1.57E-009, 
  3.40,   1.26E-009, 
  3.50,   5.90E-010, 
  3.60,   2.41E-010, 
  3.70,   1.60E-010, 
  3.80,   1.93E-010, 
  3.90,   1.37E-010, 
  4.00,   1.50E-010, 
  4.10,   4.27E-011, 
  4.20,   5.46E-011, 
  4.30,   8.05E-011, 
  4.40,   1.00E-010, 
  4.50,   5.39E-011, 
  4.60,  -1.82E-011, 
  4.70,  -1.63E-010, 
  4.80,  -7.77E-011, 
  4.90,  -9.66E-011, 
  5.00,  -6.79E-011, 
  5.10,  -1.39E-010, 
  5.20,  -2.65E-010, 
  5.30,  -2.64E-010, 
  5.40,  -2.05E-010, 
  5.50,  -1.08E-010, 
  5.60,  -8.54E-011, 
  5.70,  -1.79E-010, 
  5.80,  -2.81E-010, 
  5.90,  -2.84E-010, 
  6.00,  -2.69E-010, 
  6.10,  -2.56E-010, 
  6.20,  -3.43E-010, 
  6.30,  -2.96E-010, 
  6.40,  -2.89E-010, 
  6.50,  -3.44E-010, 
  6.60,  -2.59E-010, 
  6.70,  -2.73E-010, 
  6.80,  -3.08E-010, 
  6.90,  -1.49E-010, 
  7.00,  -4.06E-011, 
  7.10,  -1.06E-010, 
  7.20,  -2.62E-010, 
  7.30,  -2.05E-010, 
  7.40,  -1.59E-010, 
  7.50,  -6.58E-011, 
  7.60,  -1.55E-010, 
  7.70,  -2.54E-010, 
  7.80,  -2.98E-010, 
  7.90,  -2.75E-010, 
  8.00,  -1.88E-010, 
  8.10,  -1.64E-010, 
  8.20,  -2.30E-010, 
  8.30,  -2.85E-010, 
  8.40,  -3.28E-010, 
  8.50,  -3.75E-010, 
  8.60,  -2.77E-010, 
  8.70,  -3.06E-010, 
  8.80,  -2.79E-010, 
  8.90,  -2.61E-010, 
  9.00,  -1.83E-010, 
  9.10,  -1.62E-010, 
  9.20,  -2.44E-010, 
  9.30,  -2.56E-010, 
  9.40,  -3.03E-010, 
  9.50,  -2.89E-010, 
  9.60,  -1.96E-010, 
  9.70,  -2.56E-010, 
  9.80,  -2.98E-010, 
  9.90,  -3.01E-010, 
 10.00,  -2.43E-010, 
 10.10,  -2.89E-010, 
 10.20,  -3.54E-010, 
 10.30,  -3.68E-010, 
 10.40,  -3.45E-010, 
 10.50,  -2.67E-010, 
 10.60,  -1.44E-010, 
 10.70,  -1.74E-010, 
 10.80,  -2.00E-010, 
 10.90,  -2.58E-010, 
 11.00,  -2.58E-010, 
 11.10,  -2.74E-010, 
 11.20,  -3.02E-010, 
 11.30,  -1.84E-010, 
 11.40,  -1.41E-010, 
 11.50,  -1.27E-010, 
 11.60,  -1.47E-011, 
 11.70,   4.55E-010, 
 11.80,   1.47E-009, 
 11.90,   2.01E-009, 
 12.00,   2.31E-009, 
 12.10,   2.59E-009, 
 12.20,   2.52E-009, 
 12.30,   2.14E-009, 
 12.40,   1.33E-009, 
 12.50,   4.84E-010, 
 12.60,   5.69E-010, 
 12.70,   1.45E-009, 
 12.80,   2.39E-009, 
 12.90,   3.38E-009, 
 13.00,   3.92E-009, 
 13.10,   4.57E-009, 
 13.20,   4.97E-009, 
 13.30,   5.78E-009, 
 13.40,   8.11E-009, 
 13.50,   1.78E-008, 
 13.60,   5.85E-008, 
 13.70,   1.46E-007, 
 13.80,   2.31E-007, 
 13.90,   2.73E-007, 
 14.00,   2.74E-007, 
 14.10,   2.73E-007, 
 14.20,   2.34E-007, 
 14.30,   1.67E-007, 
 14.40,   3.36E-008, 
 14.50,   1.14E-008, 
 14.60,   8.33E-009, 
 14.70,   1.06E-008, 
 14.80,   1.63E-008, 
 14.90,   2.31E-008, 
 15.00,   2.61E-008, 
 15.10,   2.72E-008, 
 15.20,   2.54E-008, 
 15.30,   2.26E-008, 
 15.40,   1.37E-008, 
 15.50,   1.10E-008, 
 15.60,   1.90E-008, 
 15.70,   4.15E-008, 
 15.80,   7.02E-008, 
 15.90,   8.85E-008, 
 16.00,   9.10E-008, 
 16.10,   9.10E-008, 
 16.20,   7.89E-008, 
 16.30,   5.81E-008, 
 16.40,   1.90E-008, 
 16.50,   9.69E-009, 
 16.60,   1.15E-008, 
 16.70,   2.09E-008, 
 16.80,   3.49E-008, 
 16.90,   4.77E-008, 
 17.00,   5.00E-008, 
 17.10,   5.21E-008, 
 17.20,   4.57E-008, 
 17.30,   3.83E-008, 
 17.40,   1.90E-008, 
 17.50,   1.84E-008, 
 17.60,   4.48E-008, 
 17.70,   1.04E-007, 
 17.80,   1.65E-007, 
 17.90,   2.08E-007, 
 18.00,   2.04E-007, 
 18.10,   2.11E-007, 
 18.20,   1.78E-007, 
 18.30,   1.38E-007, 
 18.40,   3.11E-008, 
 18.50,   1.02E-008, 
 18.60,   6.21E-009, 
 18.70,   5.87E-009, 
 18.80,   7.15E-009, 
 18.90,   9.31E-009, 
 19.00,   1.05E-008, 
 19.10,   1.11E-008, 
 19.20,   1.06E-008, 
 19.30,   9.59E-009, 
 19.40,   5.84E-009, 
 19.50,   3.36E-009, 
 19.60,   3.02E-009, 
 19.70,   3.75E-009, 
 19.80,   5.12E-009, 
 19.90,   6.58E-009, 
 20.00,   7.35E-009, 
 20.10,   7.81E-009, 
 20.20,   7.32E-009, 
 20.30,   5.93E-009, 
 20.40,   3.16E-009, 
 20.50,   1.69E-009, 
 20.60,   7.78E-010, 
 20.70,   2.19E-010, 
 20.80,   3.22E-011, 
 20.90,  -5.39E-011, 
 21.00,  -7.07E-011, 
 21.10,  -1.42E-010, 
 21.20,  -1.69E-010, 
 21.30,  -1.40E-010, 
 21.40,  -1.44E-010, 
 21.50,  -1.40E-012, 
 21.60,  -4.48E-011, 
 21.70,  -3.36E-011, 
 21.80,  -3.50E-011, 
 21.90,  -5.39E-011, 
 22.00,  -3.29E-011, 
 22.10,  -1.09E-010, 
 22.20,  -5.95E-011, 
 22.30,  -1.02E-010, 
 22.40,  -2.17E-010, 
 22.50,  -2.56E-010, 
 22.60,  -2.32E-010, 
 22.70,  -2.92E-010, 
 22.80,  -3.07E-010, 
 22.90,  -3.13E-010, 
 23.00,  -3.25E-010, 
 23.10,  -2.79E-010, 
 23.20,  -2.87E-010, 
 23.30,  -3.21E-010, 
 23.40,  -3.54E-010, 
 23.50,  -2.40E-010, 
 23.60,  -2.00E-010, 
 23.70,  -1.21E-010, 
 23.80,   5.60E-011, 
 23.90,   2.63E-010, 
 24.00,   2.71E-010, 
 24.10,   4.09E-010, 
 24.20,   3.50E-010, 
 24.30,   3.48E-010, 
 24.40,   2.56E-010, 
 24.50,   2.37E-010, 
 24.60,   5.37E-010, 
 24.70,   1.29E-009, 
 24.80,   1.81E-009, 
 24.90,   2.55E-009, 
 25.00,   3.01E-009, 
 25.10,   3.31E-009, 
 25.20,   3.29E-009, 
 25.30,   3.13E-009, 
 25.40,   2.26E-009, 
 25.50,   1.94E-009, 
 25.60,   2.72E-009, 
 25.70,   5.16E-009, 
 25.80,   9.26E-009, 
 25.90,   1.38E-008, 
 26.00,   1.60E-008, 
 26.10,   1.75E-008, 
 26.20,   1.67E-008, 
 26.30,   1.54E-008, 
 26.40,   9.38E-009, 
 26.50,   6.67E-009, 
 26.60,   8.60E-009, 
 26.70,   1.55E-008, 
 26.80,   2.73E-008, 
 26.90,   4.11E-008, 
 27.00,   4.96E-008, 
 27.10,   6.11E-008, 
 27.20,   8.35E-008, 
 27.30,   1.39E-007, 
 27.40,   2.36E-007, 
 27.50,   5.83E-007, 
 27.60,   1.42E-006, 
 27.70,   2.56E-006, 
 27.80,   3.71E-006, 
 27.90,   4.40E-006, 
 28.00,   4.29E-006, 
 28.10,   4.38E-006, 
 28.20,   3.81E-006, 
 28.30,   2.56E-006, 
 28.40,   1.69E-007, 
 28.50,   2.97E-008, 
 28.60,   2.68E-008, 
 28.70,   4.33E-008, 
 28.80,   7.06E-008, 
 28.90,   9.24E-008, 
 29.00,   9.43E-008, 
 29.10,   9.82E-008, 
 29.20,   8.67E-008, 
 29.30,   6.86E-008, 
 29.40,   2.20E-008, 
 29.50,   8.99E-009, 
 29.60,   6.21E-009, 
 29.70,   6.67E-009, 
 29.80,   8.80E-009, 
 29.90,   1.14E-008, 
 30.00,   1.30E-008, 
 30.10,   1.41E-008, 
 30.20,   1.41E-008, 
 30.30,   1.46E-008, 
 30.40,   1.22E-008, 
 30.50,   1.59E-008, 
 30.60,   3.80E-008, 
 30.70,   8.90E-008, 
 30.80,   1.46E-007, 
 30.90,   1.90E-007, 
 31.00,   1.90E-007, 
 31.10,   2.02E-007, 
 31.20,   1.83E-007, 
 31.30,   1.72E-007, 
 31.40,   8.15E-008, 
 31.50,   1.37E-007, 
 31.60,   3.22E-007, 
 31.70,   5.64E-007, 
 31.80,   8.41E-007, 
 31.90,   9.47E-007, 
 32.00,   9.51E-007, 
 32.10,   9.14E-007, 
 32.20,   8.30E-007, 
 32.30,   4.77E-007, 
 32.40,   5.08E-008, 
 32.50,   1.44E-008, 
 32.60,   1.05E-008, 
 32.70,   1.27E-008, 
 32.80,   1.86E-008, 
 32.90,   2.63E-008, 
 33.00,   2.91E-008, 
 33.10,   3.04E-008, 
 33.20,   2.80E-008, 
 33.30,   2.50E-008, 
 33.40,   1.26E-008, 
 33.50,   5.76E-009, 
 33.60,   3.55E-009, 
 33.70,   3.05E-009, 
 33.80,   3.12E-009, 
 33.90,   3.55E-009, 
 34.00,   3.72E-009, 
 34.10,   3.96E-009, 
 34.20,   3.90E-009, 
 34.30,   3.57E-009, 
 34.40,   2.25E-009, 
 34.50,   1.33E-009, 
 34.60,   4.98E-010, 
 34.70,   2.40E-010, 
 34.80,   1.48E-010, 
 34.90,   4.97E-011, 
 35.00,  -7.84E-011, 
 35.10,  -7.77E-011, 
 35.20,  -1.27E-010, 
 35.30,  -2.10E-010, 
 35.40,  -1.67E-010, 
 35.50,  -1.44E-010, 
 35.60,  -9.10E-011, 
 35.70,  -5.95E-011, 
 35.80,   9.94E-011, 
 35.90,   1.56E-010, 
 36.00,   2.07E-010, 
 36.10,   1.66E-010, 
 36.20,   1.84E-010, 
 36.30,   1.34E-010, 
 36.40,   5.60E-012, 
 36.50,  -6.02E-011, 
 36.60,  -8.54E-011, 
 36.70,  -2.45E-011, 
 36.80,  -1.02E-010, 
 36.90,  -1.32E-010, 
 37.00,  -7.28E-011, 
 37.10,  -8.68E-011, 
 37.20,  -1.03E-010, 
 37.30,  -1.33E-010, 
 37.40,  -9.59E-011, 
 37.50,  -1.53E-010, 
 37.60,  -1.97E-010, 
 37.70,  -2.35E-010, 
 37.80,  -2.11E-010, 
 37.90,  -1.56E-010, 
 38.00,  -2.94E-011, 
