Jan 20, 2017  12:36:48 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   8.77E-009, 
  1.10,   1.02E-008, 
  1.20,   1.48E-008, 
  1.30,   3.91E-008, 
  1.40,   6.18E-008, 
  1.50,   4.72E-008, 
  1.60,   3.64E-008, 
  1.70,   3.18E-008, 
  1.80,   3.38E-008, 
  1.90,   3.75E-008, 
  2.00,   3.91E-008, 
  2.10,   3.90E-008, 
  2.20,   3.56E-008, 
  2.30,   3.19E-008, 
  2.40,   2.45E-008, 
  2.50,   1.25E-008, 
  2.60,   5.52E-009, 
  2.70,   3.00E-009, 
  2.80,   1.91E-009, 
  2.90,   1.18E-009, 
  3.00,   4.91E-010, 
  3.10,   3.24E-010, 
  3.20,   2.23E-010, 
  3.30,   2.93E-010, 
  3.40,   2.37E-010, 
  3.50,   5.60E-011, 
  3.60,  -1.26E-011, 
  3.70,   6.30E-012, 
  3.80,  -5.04E-011, 
  3.90,  -9.94E-011, 
  4.00,  -1.90E-010, 
  4.10,  -1.74E-010, 
  4.20,  -1.83E-010, 
  4.30,  -1.46E-010, 
  4.40,  -8.33E-011, 
  4.50,  -2.59E-011, 
  4.60,   4.90E-012, 
  4.70,  -1.39E-010, 
  4.80,  -2.04E-010, 
  4.90,  -2.26E-010, 
  5.00,  -3.05E-010, 
  5.10,  -2.59E-010, 
  5.20,  -2.46E-010, 
  5.30,  -1.90E-010, 
  5.40,  -1.87E-010, 
  5.50,  -2.36E-010, 
  5.60,  -1.81E-010, 
  5.70,  -2.27E-010, 
  5.80,  -3.27E-010, 
  5.90,  -3.18E-010, 
  6.00,  -3.03E-010, 
  6.10,  -3.35E-010, 
  6.20,  -2.63E-010, 
  6.30,  -2.46E-010, 
  6.40,  -1.89E-010, 
  6.50,  -2.16E-010, 
  6.60,  -2.24E-010, 
  6.70,  -2.46E-010, 
  6.80,  -1.48E-010, 
  6.90,  -1.24E-010, 
  7.00,  -1.88E-010, 
  7.10,  -2.46E-010, 
  7.20,  -1.59E-010, 
  7.30,  -1.55E-010, 
  7.40,  -1.54E-010, 
  7.50,  -1.03E-010, 
  7.60,  -1.08E-010, 
  7.70,  -1.15E-010, 
  7.80,  -6.30E-011, 
  7.90,  -1.01E-010, 
  8.00,  -9.17E-011, 
  8.10,  -1.92E-010, 
  8.20,  -2.21E-010, 
  8.30,  -2.07E-010, 
  8.40,  -1.73E-010, 
  8.50,  -2.70E-010, 
  8.60,  -2.43E-010, 
  8.70,  -2.89E-010, 
  8.80,  -1.44E-010, 
  8.90,  -2.24E-011, 
  9.00,  -6.72E-011, 
  9.10,  -2.09E-010, 
  9.20,  -2.01E-010, 
  9.30,  -1.87E-010, 
  9.40,  -1.64E-010, 
  9.50,  -1.95E-010, 
  9.60,  -2.23E-010, 
  9.70,  -2.40E-010, 
  9.80,  -2.84E-010, 
  9.90,  -1.80E-010, 
 10.00,  -1.90E-010, 
 10.10,  -2.51E-010, 
 10.20,  -2.94E-010, 
 10.30,  -2.70E-010, 
 10.40,  -2.00E-010, 
 10.50,  -2.39E-010, 
 10.60,  -6.44E-011, 
 10.70,  -5.39E-011, 
 10.80,  -1.45E-010, 
 10.90,  -1.79E-010, 
 11.00,  -1.79E-010, 
 11.10,  -1.18E-010, 
 11.20,  -1.26E-010, 
 11.30,  -1.38E-010, 
 11.40,  -1.35E-010, 
 11.50,  -6.51E-011, 
 11.60,   8.40E-012, 
 11.70,   4.17E-010, 
 11.80,   1.46E-009, 
 11.90,   2.43E-009, 
 12.00,   3.08E-009, 
 12.10,   3.37E-009, 
 12.20,   3.46E-009, 
 12.30,   3.30E-009, 
 12.40,   2.67E-009, 
 12.50,   1.53E-009, 
 12.60,   7.23E-010, 
 12.70,   9.82E-010, 
 12.80,   1.68E-009, 
 12.90,   2.65E-009, 
 13.00,   3.49E-009, 
 13.10,   4.28E-009, 
 13.20,   5.39E-009, 
 13.30,   7.15E-009, 
 13.40,   1.08E-008, 
 13.50,   2.09E-008, 
 13.60,   6.20E-008, 
 13.70,   1.82E-007, 
 13.80,   3.36E-007, 
 13.90,   4.57E-007, 
 14.00,   4.86E-007, 
 14.10,   4.94E-007, 
 14.20,   4.53E-007, 
 14.30,   3.86E-007, 
 14.40,   2.00E-007, 
 14.50,   3.03E-008, 
 14.60,   1.29E-008, 
 14.70,   1.25E-008, 
 14.80,   1.97E-008, 
 14.90,   3.07E-008, 
 15.00,   3.88E-008, 
 15.10,   4.03E-008, 
 15.20,   4.11E-008, 
 15.30,   3.65E-008, 
 15.40,   3.06E-008, 
 15.50,   1.82E-008, 
 15.60,   2.18E-008, 
 15.70,   5.16E-008, 
 15.80,   1.05E-007, 
 15.90,   1.49E-007, 
 16.00,   1.63E-007, 
 16.10,   1.67E-007, 
 16.20,   1.57E-007, 
 16.30,   1.34E-007, 
 16.40,   7.75E-008, 
 16.50,   1.98E-008, 
 16.60,   1.14E-008, 
 16.70,   1.60E-008, 
 16.80,   2.92E-008, 
 16.90,   4.59E-008, 
 17.00,   5.71E-008, 
 17.10,   5.81E-008, 
 17.20,   5.93E-008, 
 17.30,   5.15E-008, 
 17.40,   3.95E-008, 
 17.50,   2.06E-008, 
 17.60,   2.57E-008, 
 17.70,   7.01E-008, 
 17.80,   1.42E-007, 
 17.90,   2.10E-007, 
 18.00,   2.41E-007, 
 18.10,   2.36E-007, 
 18.20,   2.40E-007, 
 18.30,   2.01E-007, 
 18.40,   1.34E-007, 
 18.50,   2.88E-008, 
 18.60,   9.56E-009, 
 18.70,   5.42E-009, 
 18.80,   4.18E-009, 
 18.90,   4.20E-009, 
 19.00,   4.77E-009, 
 19.10,   4.90E-009, 
 19.20,   5.19E-009, 
 19.30,   5.05E-009, 
 19.40,   4.44E-009, 
 19.50,   3.05E-009, 
 19.60,   2.64E-009, 
 19.70,   3.96E-009, 
 19.80,   6.70E-009, 
 19.90,   1.04E-008, 
 20.00,   1.34E-008, 
 20.10,   1.44E-008, 
 20.20,   1.51E-008, 
 20.30,   1.38E-008, 
 20.40,   1.08E-008, 
 20.50,   5.35E-009, 
 20.60,   2.63E-009, 
 20.70,   1.30E-009, 
 20.80,   3.31E-010, 
 20.90,   1.55E-010, 
 21.00,   4.62E-011, 
 21.10,   5.67E-011, 
 21.20,  -4.97E-011, 
 21.30,  -8.75E-011, 
 21.40,  -9.45E-011, 
 21.50,   1.89E-011, 
 21.60,  -3.64E-011, 
 21.70,  -1.12E-011, 
 21.80,  -4.20E-011, 
 21.90,   7.70E-011, 
 22.00,   7.70E-011, 
 22.10,   1.19E-010, 
 22.20,   1.35E-010, 
 22.30,   9.52E-011, 
 22.40,  -4.69E-011, 
 22.50,  -1.09E-010, 
 22.60,  -1.66E-010, 
 22.70,  -1.07E-010, 
 22.80,  -1.54E-010, 
 22.90,  -1.10E-010, 
 23.00,  -8.68E-011, 
 23.10,  -8.19E-011, 
 23.20,  -4.97E-011, 
 23.30,  -9.03E-011, 
 23.40,  -2.04E-010, 
 23.50,  -1.58E-010, 
 23.60,  -1.39E-010, 
 23.70,  -1.69E-010, 
 23.80,  -1.60E-010, 
 23.90,  -9.10E-011, 
 24.00,  -4.97E-011, 
 24.10,  -5.18E-011, 
 24.20,   2.03E-011, 
 24.30,   9.66E-011, 
 24.40,  -1.18E-010, 
 24.50,  -1.05E-010, 
 24.60,  -6.79E-011, 
 24.70,  -4.06E-011, 
 24.80,   1.51E-010, 
 24.90,   2.21E-010, 
 25.00,   2.82E-010, 
 25.10,   4.05E-010, 
 25.20,   5.51E-010, 
 25.30,   5.97E-010, 
 25.40,   5.72E-010, 
 25.50,   4.66E-010, 
 25.60,   4.26E-010, 
 25.70,   4.02E-010, 
 25.80,   7.66E-010, 
 25.90,   1.68E-009, 
 26.00,   2.16E-009, 
 26.10,   2.66E-009, 
 26.20,   3.07E-009, 
 26.30,   3.40E-009, 
 26.40,   3.36E-009, 
 26.50,   2.94E-009, 
 26.60,   2.70E-009, 
 26.70,   3.40E-009, 
 26.80,   5.36E-009, 
 26.90,   8.88E-009, 
 27.00,   1.49E-008, 
 27.10,   2.56E-008, 
 27.20,   4.51E-008, 
 27.30,   9.60E-008, 
 27.40,   2.08E-007, 
 27.50,   4.08E-007, 
 27.60,   8.86E-007, 
 27.70,   2.16E-006, 
 27.80,   4.19E-006, 
 27.90,   6.29E-006, 
 28.00,   7.77E-006, 
 28.10,   7.53E-006, 
 28.20,   8.06E-006, 
 28.30,   6.68E-006, 
 28.40,   5.36E-006, 
 28.50,   7.46E-007, 
 28.60,   5.52E-008, 
 28.70,   3.67E-008, 
 28.80,   6.07E-008, 
 28.90,   1.01E-007, 
 29.00,   1.34E-007, 
 29.10,   1.35E-007, 
 29.20,   1.44E-007, 
 29.30,   1.23E-007, 
 29.40,   1.02E-007, 
 29.50,   3.89E-008, 
 29.60,   1.19E-008, 
 29.70,   6.86E-009, 
 29.80,   6.51E-009, 
 29.90,   8.36E-009, 
 30.00,   1.14E-008, 
 30.10,   1.33E-008, 
 30.20,   1.46E-008, 
 30.30,   1.47E-008, 
 30.40,   1.42E-008, 
 30.50,   1.15E-008, 
 30.60,   1.03E-008, 
 30.70,   1.69E-008, 
 30.80,   3.94E-008, 
 30.90,   7.54E-008, 
 31.00,   1.10E-007, 
 31.10,   1.18E-007, 
 31.20,   1.28E-007, 
 31.30,   1.28E-007, 
 31.40,   1.38E-007, 
 31.50,   1.24E-007, 
 31.60,   1.91E-007, 
 31.70,   4.52E-007, 
 31.80,   8.93E-007, 
 31.90,   1.35E-006, 
 32.00,   1.67E-006, 
 32.10,   1.63E-006, 
 32.20,   1.72E-006, 
 32.30,   1.45E-006, 
 32.40,   1.13E-006, 
 32.50,   2.00E-007, 
 32.60,   2.53E-008, 
 32.70,   1.17E-008, 
 32.80,   1.01E-008, 
 32.90,   1.28E-008, 
 33.00,   1.76E-008, 
 33.10,   2.09E-008, 
 33.20,   2.23E-008, 
 33.30,   2.20E-008, 
 33.40,   1.99E-008, 
 33.50,   1.40E-008, 
 33.60,   6.79E-009, 
 33.70,   3.96E-009, 
 33.80,   3.60E-009, 
 33.90,   4.20E-009, 
 34.00,   5.51E-009, 
 34.10,   6.45E-009, 
 34.20,   7.04E-009, 
 34.30,   6.86E-009, 
 34.40,   6.38E-009, 
 34.50,   4.62E-009, 
 34.60,   2.47E-009, 
 34.70,   1.42E-009, 
 34.80,   6.25E-010, 
 34.90,   2.68E-010, 
 35.00,   2.16E-010, 
 35.10,   1.61E-010, 
 35.20,   1.22E-010, 
 35.30,   1.46E-010, 
 35.40,   2.01E-010, 
 35.50,   1.90E-010, 
 35.60,   1.02E-010, 
 35.70,   1.27E-010, 
 35.80,   2.31E-010, 
 35.90,   2.50E-010, 
 36.00,   3.66E-010, 
 36.10,   4.64E-010, 
 36.20,   4.50E-010, 
 36.30,   5.11E-010, 
 36.40,   5.81E-010, 
 36.50,   4.04E-010, 
 36.60,   2.15E-010, 
 36.70,   1.02E-010, 
 36.80,   7.07E-011, 
 36.90,   8.40E-011, 
 37.00,   1.11E-010, 
 37.10,   2.35E-010, 
 37.20,   2.60E-010, 
 37.30,   2.75E-010, 
 37.40,   2.14E-010, 
 37.50,   2.66E-010, 
 37.60,   2.11E-010, 
 37.70,   1.02E-010, 
 37.80,   1.51E-010, 
 37.90,   1.93E-010, 
 38.00,   4.03E-010, 
 38.10,   6.62E-010, 
 38.20,   1.05E-009, 
