Jan 20, 2017  01:54:47 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   1.20E-009, 
  1.10,   1.19E-009, 
  1.20,   2.05E-009, 
  1.30,   9.40E-009, 
  1.40,   1.82E-008, 
  1.50,   1.33E-008, 
  1.60,   9.95E-009, 
  1.70,   9.10E-009, 
  1.80,   9.96E-009, 
  1.90,   1.16E-008, 
  2.00,   1.31E-008, 
  2.10,   1.37E-008, 
  2.20,   1.29E-008, 
  2.30,   1.16E-008, 
  2.40,   9.26E-009, 
  2.50,   5.16E-009, 
  2.60,   2.58E-009, 
  2.70,   1.39E-009, 
  2.80,   4.12E-010, 
  2.90,   1.98E-010, 
  3.00,   1.55E-010, 
  3.10,   6.37E-011, 
  3.20,   3.64E-011, 
  3.30,   3.71E-011, 
  3.40,   1.33E-011, 
  3.50,  -9.80E-011, 
  3.60,  -1.15E-010, 
  3.70,  -7.84E-011, 
  3.80,  -4.20E-011, 
  3.90,  -1.38E-010, 
  4.00,  -1.90E-010, 
  4.10,  -1.79E-010, 
  4.20,  -2.22E-010, 
  4.30,  -3.21E-010, 
  4.40,  -2.75E-010, 
  4.50,  -2.23E-010, 
  4.60,  -3.04E-010, 
  4.70,  -2.06E-010, 
  4.80,  -1.91E-010, 
  4.90,  -1.85E-010, 
  5.00,  -3.01E-010, 
  5.10,  -3.00E-010, 
  5.20,  -2.32E-010, 
  5.30,  -2.12E-010, 
  5.40,  -1.25E-010, 
  5.50,  -2.01E-010, 
  5.60,  -2.49E-010, 
  5.70,  -2.78E-010, 
  5.80,  -2.35E-010, 
  5.90,  -2.40E-010, 
  6.00,  -1.09E-010, 
  6.10,  -8.54E-011, 
  6.20,  -1.64E-010, 
  6.30,  -1.37E-010, 
  6.40,  -7.98E-011, 
  6.50,  -9.59E-011, 
  6.60,  -1.14E-010, 
  6.70,  -1.49E-010, 
  6.80,  -1.76E-010, 
  6.90,  -2.54E-010, 
  7.00,  -2.09E-010, 
  7.10,  -7.91E-011, 
  7.20,  -1.58E-010, 
  7.30,  -2.19E-010, 
  7.40,  -2.34E-010, 
  7.50,  -2.33E-010, 
  7.60,  -2.30E-010, 
  7.70,  -2.68E-010, 
  7.80,  -2.93E-010, 
  7.90,  -2.61E-010, 
  8.00,  -2.60E-010, 
  8.10,  -1.75E-010, 
  8.20,  -1.39E-010, 
  8.30,  -2.09E-010, 
  8.40,  -2.23E-010, 
  8.50,  -2.25E-010, 
  8.60,  -1.62E-010, 
  8.70,  -1.76E-010, 
  8.80,  -1.82E-010, 
  8.90,  -2.47E-010, 
  9.00,  -1.99E-010, 
  9.10,  -1.74E-010, 
  9.20,  -1.37E-010, 
  9.30,  -1.65E-010, 
  9.40,  -2.18E-010, 
  9.50,  -2.31E-010, 
  9.60,  -3.12E-010, 
  9.70,  -2.84E-010, 
  9.80,  -3.04E-010, 
  9.90,  -2.74E-010, 
 10.00,  -2.92E-010, 
 10.10,  -1.74E-010, 
 10.20,  -2.17E-010, 
 10.30,  -2.77E-010, 
 10.40,  -3.07E-010, 
 10.50,  -2.03E-010, 
 10.60,  -2.08E-010, 
 10.70,  -1.83E-010, 
 10.80,  -2.29E-010, 
 10.90,  -2.18E-010, 
 11.00,  -1.14E-010, 
 11.10,  -1.79E-010, 
 11.20,  -2.14E-010, 
 11.30,  -2.59E-010, 
 11.40,  -2.61E-010, 
 11.50,  -2.00E-010, 
 11.60,  -4.69E-011, 
 11.70,   3.01E-011, 
 11.80,   2.18E-010, 
 11.90,   4.40E-010, 
 12.00,   5.37E-010, 
 12.10,   7.00E-010, 
 12.20,   6.93E-010, 
 12.30,   5.92E-010, 
 12.40,   3.82E-010, 
 12.50,   1.69E-010, 
 12.60,   9.52E-011, 
 12.70,   1.73E-010, 
 12.80,   4.20E-010, 
 12.90,   6.18E-010, 
 13.00,   1.12E-009, 
 13.10,   1.20E-009, 
 13.20,   1.18E-009, 
 13.30,   1.36E-009, 
 13.40,   1.83E-009, 
 13.50,   3.34E-009, 
 13.60,   8.02E-009, 
 13.70,   2.17E-008, 
 13.80,   4.45E-008, 
 13.90,   6.39E-008, 
 14.00,   6.86E-008, 
 14.10,   7.01E-008, 
 14.20,   6.22E-008, 
 14.30,   5.18E-008, 
 14.40,   2.40E-008, 
 14.50,   8.70E-009, 
 14.60,   4.80E-009, 
 14.70,   3.95E-009, 
 14.80,   4.64E-009, 
 14.90,   5.84E-009, 
 15.00,   6.75E-009, 
 15.10,   7.29E-009, 
 15.20,   7.32E-009, 
 15.30,   6.76E-009, 
 15.40,   5.16E-009, 
 15.50,   3.60E-009, 
 15.60,   4.09E-009, 
 15.70,   7.49E-009, 
 15.80,   1.30E-008, 
 15.90,   1.89E-008, 
 16.00,   2.18E-008, 
 16.10,   2.31E-008, 
 16.20,   2.17E-008, 
 16.30,   1.88E-008, 
 16.40,   1.10E-008, 
 16.50,   5.96E-009, 
 16.60,   6.12E-009, 
 16.70,   1.04E-008, 
 16.80,   1.82E-008, 
 16.90,   2.67E-008, 
 17.00,   3.04E-008, 
 17.10,   3.15E-008, 
 17.20,   2.95E-008, 
 17.30,   2.64E-008, 
 17.40,   1.64E-008, 
 17.50,   1.15E-008, 
 17.60,   1.84E-008, 
 17.70,   4.60E-008, 
 17.80,   8.61E-008, 
 17.90,   1.17E-007, 
 18.00,   1.23E-007, 
 18.10,   1.27E-007, 
 18.20,   1.12E-007, 
 18.30,   9.70E-008, 
 18.40,   3.86E-008, 
 18.50,   1.07E-008, 
 18.60,   5.18E-009, 
 18.70,   3.17E-009, 
 18.80,   2.54E-009, 
 18.90,   2.36E-009, 
 19.00,   2.40E-009, 
 19.10,   2.40E-009, 
 19.20,   2.25E-009, 
 19.30,   2.05E-009, 
 19.40,   1.63E-009, 
 19.50,   8.65E-010, 
 19.60,   4.38E-010, 
 19.70,   5.58E-010, 
 19.80,   9.96E-010, 
 19.90,   1.45E-009, 
 20.00,   1.57E-009, 
 20.10,   1.66E-009, 
 20.20,   1.69E-009, 
 20.30,   1.34E-009, 
 20.40,   5.13E-010, 
 20.50,   2.27E-010, 
 20.60,   7.14E-011, 
 20.70,   4.76E-011, 
 20.80,   6.72E-011, 
 20.90,   4.34E-011, 
 21.00,  -7.70E-011, 
 21.10,  -6.86E-011, 
 21.20,  -8.61E-011, 
 21.30,  -9.52E-011, 
 21.40,  -9.73E-011, 
 21.50,  -9.87E-011, 
 21.60,  -8.61E-011, 
 21.70,  -7.77E-011, 
 21.80,  -7.42E-011, 
 21.90,  -2.04E-010, 
 22.00,  -2.83E-010, 
 22.10,  -2.54E-010, 
 22.20,  -3.59E-010, 
 22.30,  -3.42E-010, 
 22.40,  -2.58E-010, 
 22.50,  -2.18E-010, 
 22.60,  -1.88E-010, 
 22.70,  -1.95E-010, 
 22.80,  -1.60E-010, 
 22.90,  -1.09E-010, 
 23.00,  -1.50E-010, 
 23.10,  -1.08E-010, 
 23.20,  -8.47E-011, 
 23.30,  -2.07E-010, 
 23.40,  -1.67E-010, 
 23.50,  -1.54E-010, 
 23.60,  -8.19E-011, 
 23.70,  -1.45E-010, 
 23.80,  -8.47E-011, 
 23.90,  -1.31E-010, 
 24.00,  -6.86E-011, 
 24.10,  -5.53E-011, 
 24.20,   0.00E+000, 
 24.30,  -3.85E-011, 
 24.40,  -5.95E-011, 
 24.50,  -3.15E-011, 
 24.60,   1.89E-011, 
 24.70,   8.96E-011, 
 24.80,   1.70E-010, 
 24.90,   2.97E-010, 
 25.00,   3.84E-010, 
 25.10,   4.26E-010, 
 25.20,   3.67E-010, 
 25.30,   3.67E-010, 
 25.40,   2.84E-010, 
 25.50,   2.97E-010, 
 25.60,   4.11E-010, 
 25.70,   7.56E-010, 
 25.80,   1.63E-009, 
 25.90,   2.32E-009, 
 26.00,   2.96E-009, 
 26.10,   3.35E-009, 
 26.20,   3.50E-009, 
 26.30,   3.29E-009, 
 26.40,   2.62E-009, 
 26.50,   1.72E-009, 
 26.60,   1.57E-009, 
 26.70,   2.42E-009, 
 26.80,   4.05E-009, 
 26.90,   6.32E-009, 
 27.00,   8.65E-009, 
 27.10,   1.07E-008, 
 27.20,   1.35E-008, 
 27.30,   1.87E-008, 
 27.40,   3.12E-008, 
 27.50,   6.98E-008, 
 27.60,   1.99E-007, 
 27.70,   4.31E-007, 
 27.80,   6.65E-007, 
 27.90,   8.66E-007, 
 28.00,   8.87E-007, 
 28.10,   9.20E-007, 
 28.20,   7.97E-007, 
 28.30,   7.17E-007, 
 28.40,   1.71E-007, 
 28.50,   2.20E-008, 
 28.60,   1.10E-008, 
 28.70,   1.05E-008, 
 28.80,   1.35E-008, 
 28.90,   1.80E-008, 
 29.00,   2.10E-008, 
 29.10,   2.20E-008, 
 29.20,   2.14E-008, 
 29.30,   1.95E-008, 
 29.40,   1.25E-008, 
 29.50,   5.85E-009, 
 29.60,   3.33E-009, 
 29.70,   2.54E-009, 
 29.80,   2.45E-009, 
 29.90,   2.73E-009, 
 30.00,   3.18E-009, 
 30.10,   3.50E-009, 
 30.20,   3.73E-009, 
 30.30,   3.66E-009, 
 30.40,   3.41E-009, 
 30.50,   3.29E-009, 
 30.60,   5.36E-009, 
 30.70,   1.15E-008, 
 30.80,   2.21E-008, 
 30.90,   3.48E-008, 
 31.00,   4.19E-008, 
 31.10,   4.41E-008, 
 31.20,   4.36E-008, 
 31.30,   4.13E-008, 
 31.40,   3.08E-008, 
 31.50,   2.15E-008, 
 31.60,   3.98E-008, 
 31.70,   9.47E-008, 
 31.80,   1.53E-007, 
 31.90,   1.99E-007, 
 32.00,   2.02E-007, 
 32.10,   2.10E-007, 
 32.20,   1.85E-007, 
 32.30,   1.66E-007, 
 32.40,   5.05E-008, 
 32.50,   1.27E-008, 
 32.60,   5.92E-009, 
 32.70,   3.37E-009, 
 32.80,   2.26E-009, 
 32.90,   1.68E-009, 
 33.00,   1.37E-009, 
 33.10,   1.14E-009, 
 33.20,   8.31E-010, 
 33.30,   5.99E-010, 
 33.40,   5.55E-010, 
 33.50,   3.84E-010, 
 33.60,   3.38E-010, 
 33.70,   3.07E-010, 
 33.80,   5.09E-010, 
 33.90,   6.43E-010, 
 34.00,   7.50E-010, 
 34.10,   7.83E-010, 
 34.20,   1.13E-009, 
 34.30,   9.82E-010, 
 34.40,   3.57E-010, 
 34.50,   4.62E-011, 
 34.60,  -5.39E-011, 
 34.70,  -1.96E-011, 
 34.80,  -1.40E-011, 
 34.90,  -8.19E-011, 
 35.00,  -5.53E-011, 
 35.10,  -6.44E-011, 
 35.20,  -1.02E-010, 
 35.30,  -4.13E-011, 
 35.40,  -5.46E-011, 
 35.50,  -5.95E-011, 
 35.60,   3.08E-011, 
 35.70,  -3.01E-011, 
 35.80,  -7.07E-011, 
 35.90,  -6.58E-011, 
 36.00,  -6.30E-012, 
 36.10,  -2.24E-011, 
 36.20,  -3.22E-011, 
 36.30,   1.96E-011, 
 36.40,   7.70E-012, 
 36.50,   5.95E-011, 
 36.60,   3.71E-011, 
 36.70,  -1.47E-011, 
 36.80,  -7.00E-013, 
 36.90,   1.33E-011, 
 37.00,  -2.66E-011, 
 37.10,   1.82E-011, 
 37.20,  -7.42E-011, 
 37.30,  -3.29E-011, 
 37.40,  -4.20E-011, 
 37.50,  -1.01E-010, 
 37.60,  -2.25E-010, 
 37.70,  -1.62E-010, 
 37.80,  -1.40E-010, 
 37.90,  -1.54E-011, 
