Jan 20, 2017  02:18:28 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   3.29E-009, 
  1.10,   3.76E-009, 
  1.20,   6.26E-009, 
  1.30,   2.17E-008, 
  1.40,   3.29E-008, 
  1.50,   2.30E-008, 
  1.60,   1.86E-008, 
  1.70,   1.67E-008, 
  1.80,   1.77E-008, 
  1.90,   1.93E-008, 
  2.00,   2.08E-008, 
  2.10,   2.07E-008, 
  2.20,   1.94E-008, 
  2.30,   1.68E-008, 
  2.40,   1.28E-008, 
  2.50,   6.38E-009, 
  2.60,   3.14E-009, 
  2.70,   1.59E-009, 
  2.80,   9.01E-010, 
  2.90,   2.32E-010, 
  3.00,   1.51E-010, 
  3.10,   1.69E-010, 
  3.20,   6.51E-011, 
  3.30,  -1.61E-011, 
  3.40,  -1.16E-010, 
  3.50,  -1.55E-010, 
  3.60,  -1.34E-010, 
  3.70,  -2.09E-010, 
  3.80,  -3.63E-010, 
  3.90,  -3.89E-010, 
  4.00,  -3.41E-010, 
  4.10,  -3.16E-010, 
  4.20,  -3.21E-010, 
  4.30,  -3.66E-010, 
  4.40,  -3.00E-010, 
  4.50,  -3.91E-010, 
  4.60,  -4.32E-010, 
  4.70,  -3.73E-010, 
  4.80,  -3.39E-010, 
  4.90,  -3.68E-010, 
  5.00,  -3.03E-010, 
  5.10,  -3.34E-010, 
  5.20,  -3.27E-010, 
  5.30,  -3.40E-010, 
  5.40,  -4.24E-010, 
  5.50,  -4.10E-010, 
  5.60,  -4.02E-010, 
  5.70,  -3.93E-010, 
  5.80,  -3.68E-010, 
  5.90,  -4.33E-010, 
  6.00,  -4.65E-010, 
  6.10,  -4.82E-010, 
  6.20,  -4.82E-010, 
  6.30,  -4.05E-010, 
  6.40,  -4.13E-010, 
  6.50,  -2.68E-010, 
  6.60,  -2.67E-010, 
  6.70,  -3.01E-010, 
  6.80,  -3.31E-010, 
  6.90,  -2.96E-010, 
  7.00,  -2.87E-010, 
  7.10,  -2.58E-010, 
  7.20,  -2.37E-010, 
  7.30,  -2.75E-010, 
  7.40,  -3.54E-010, 
  7.50,  -3.86E-010, 
  7.60,  -4.10E-010, 
  7.70,  -3.88E-010, 
  7.80,  -4.17E-010, 
  7.90,  -3.70E-010, 
  8.00,  -3.58E-010, 
  8.10,  -3.82E-010, 
  8.20,  -3.41E-010, 
  8.30,  -3.15E-010, 
  8.40,  -3.96E-010, 
  8.50,  -2.85E-010, 
  8.60,  -2.77E-010, 
  8.70,  -2.50E-010, 
  8.80,  -1.84E-010, 
  8.90,  -1.95E-010, 
  9.00,  -3.17E-010, 
  9.10,  -3.08E-010, 
  9.20,  -3.01E-010, 
  9.30,  -3.44E-010, 
  9.40,  -3.81E-010, 
  9.50,  -2.97E-010, 
  9.60,  -3.63E-010, 
  9.70,  -3.82E-010, 
  9.80,  -3.35E-010, 
  9.90,  -3.56E-010, 
 10.00,  -2.65E-010, 
 10.10,  -3.63E-010, 
 10.20,  -4.05E-010, 
 10.30,  -4.08E-010, 
 10.40,  -4.47E-010, 
 10.50,  -4.01E-010, 
 10.60,  -2.66E-010, 
 10.70,  -3.18E-010, 
 10.80,  -3.52E-010, 
 10.90,  -3.68E-010, 
 11.00,  -4.08E-010, 
 11.10,  -4.26E-010, 
 11.20,  -3.76E-010, 
 11.30,  -4.05E-010, 
 11.40,  -4.06E-010, 
 11.50,  -3.22E-010, 
 11.60,  -1.39E-010, 
 11.70,   1.65E-010, 
 11.80,   1.10E-009, 
 11.90,   1.61E-009, 
 12.00,   1.84E-009, 
 12.10,   2.07E-009, 
 12.20,   2.06E-009, 
 12.30,   1.81E-009, 
 12.40,   1.12E-009, 
 12.50,   3.68E-010, 
 12.60,   4.99E-010, 
 12.70,   1.20E-009, 
 12.80,   1.90E-009, 
 12.90,   2.75E-009, 
 13.00,   3.32E-009, 
 13.10,   3.82E-009, 
 13.20,   4.27E-009, 
 13.30,   5.23E-009, 
 13.40,   7.86E-009, 
 13.50,   1.72E-008, 
 13.60,   5.41E-008, 
 13.70,   1.38E-007, 
 13.80,   2.22E-007, 
 13.90,   2.66E-007, 
 14.00,   2.65E-007, 
 14.10,   2.66E-007, 
 14.20,   2.25E-007, 
 14.30,   1.72E-007, 
 14.40,   3.94E-008, 
 14.50,   1.21E-008, 
 14.60,   8.25E-009, 
 14.70,   9.89E-009, 
 14.80,   1.48E-008, 
 14.90,   2.08E-008, 
 15.00,   2.37E-008, 
 15.10,   2.49E-008, 
 15.20,   2.36E-008, 
 15.30,   2.13E-008, 
 15.40,   1.39E-008, 
 15.50,   1.07E-008, 
 15.60,   1.77E-008, 
 15.70,   3.87E-008, 
 15.80,   6.63E-008, 
 15.90,   8.48E-008, 
 16.00,   8.73E-008, 
 16.10,   8.86E-008, 
 16.20,   7.69E-008, 
 16.30,   5.96E-008, 
 16.40,   2.12E-008, 
 16.50,   9.75E-009, 
 16.60,   1.02E-008, 
 16.70,   1.74E-008, 
 16.80,   2.94E-008, 
 16.90,   4.07E-008, 
 17.00,   4.30E-008, 
 17.10,   4.48E-008, 
 17.20,   4.03E-008, 
 17.30,   3.53E-008, 
 17.40,   1.91E-008, 
 17.50,   1.68E-008, 
 17.60,   3.60E-008, 
 17.70,   8.56E-008, 
 17.80,   1.41E-007, 
 17.90,   1.81E-007, 
 18.00,   1.79E-007, 
 18.10,   1.86E-007, 
 18.20,   1.56E-007, 
 18.30,   1.30E-007, 
 18.40,   3.52E-008, 
 18.50,   1.05E-008, 
 18.60,   5.83E-009, 
 18.70,   5.15E-009, 
 18.80,   6.11E-009, 
 18.90,   7.71E-009, 
 19.00,   8.75E-009, 
 19.10,   9.27E-009, 
 19.20,   9.15E-009, 
 19.30,   8.31E-009, 
 19.40,   5.51E-009, 
 19.50,   3.18E-009, 
 19.60,   2.61E-009, 
 19.70,   3.25E-009, 
 19.80,   4.63E-009, 
 19.90,   6.07E-009, 
 20.00,   6.75E-009, 
 20.10,   7.19E-009, 
 20.20,   6.66E-009, 
 20.30,   5.78E-009, 
 20.40,   3.27E-009, 
 20.50,   1.66E-009, 
 20.60,   5.99E-010, 
 20.70,   1.50E-010, 
 20.80,   1.61E-011, 
 20.90,  -3.22E-011, 
 21.00,  -1.11E-010, 
 21.10,  -1.81E-010, 
 21.20,  -2.17E-010, 
 21.30,  -1.39E-010, 
 21.40,  -1.37E-010, 
 21.50,  -2.38E-010, 
 21.60,  -1.77E-010, 
 21.70,  -2.08E-010, 
 21.80,  -1.76E-010, 
 21.90,  -1.51E-010, 
 22.00,  -1.30E-010, 
 22.10,  -2.52E-010, 
 22.20,  -1.55E-010, 
 22.30,  -1.32E-010, 
 22.40,  -1.86E-010, 
 22.50,  -2.49E-010, 
 22.60,  -2.11E-010, 
 22.70,  -2.21E-010, 
 22.80,  -2.66E-010, 
 22.90,  -3.37E-010, 
 23.00,  -3.32E-010, 
 23.10,  -3.17E-010, 
 23.20,  -2.51E-010, 
 23.30,  -3.05E-010, 
 23.40,  -2.41E-010, 
 23.50,  -2.18E-010, 
 23.60,  -2.81E-010, 
 23.70,  -2.89E-010, 
 23.80,  -9.10E-011, 
 23.90,   1.34E-010, 
 24.00,   1.79E-010, 
 24.10,   2.14E-010, 
 24.20,   1.77E-010, 
 24.30,   2.25E-010, 
 24.40,   1.69E-010, 
 24.50,   1.82E-010, 
 24.60,   1.41E-010, 
 24.70,   3.87E-010, 
 24.80,   1.39E-009, 
 24.90,   1.93E-009, 
 25.00,   2.35E-009, 
 25.10,   2.69E-009, 
 25.20,   2.64E-009, 
 25.30,   2.51E-009, 
 25.40,   1.96E-009, 
 25.50,   1.58E-009, 
 25.60,   2.23E-009, 
 25.70,   4.27E-009, 
 25.80,   7.72E-009, 
 25.90,   1.14E-008, 
 26.00,   1.35E-008, 
 26.10,   1.51E-008, 
 26.20,   1.47E-008, 
 26.30,   1.38E-008, 
 26.40,   9.43E-009, 
 26.50,   6.44E-009, 
 26.60,   7.46E-009, 
 26.70,   1.33E-008, 
 26.80,   2.36E-008, 
 26.90,   3.60E-008, 
 27.00,   4.45E-008, 
 27.10,   5.54E-008, 
 27.20,   7.59E-008, 
 27.30,   1.30E-007, 
 27.40,   2.29E-007, 
 27.50,   5.15E-007, 
 27.60,   1.27E-006, 
 27.70,   2.35E-006, 
 27.80,   3.46E-006, 
 27.90,   4.26E-006, 
 28.00,   4.09E-006, 
 28.10,   4.29E-006, 
 28.20,   3.65E-006, 
 28.30,   2.90E-006, 
 28.40,   2.86E-007, 
 28.50,   3.32E-008, 
 28.60,   2.53E-008, 
 28.70,   3.93E-008, 
 28.80,   6.36E-008, 
 28.90,   8.53E-008, 
 29.00,   8.81E-008, 
 29.10,   9.17E-008, 
 29.20,   8.08E-008, 
 29.30,   6.88E-008, 
 29.40,   2.54E-008, 
 29.50,   9.54E-009, 
 29.60,   6.27E-009, 
 29.70,   6.34E-009, 
 29.80,   7.98E-009, 
 29.90,   1.05E-008, 
 30.00,   1.22E-008, 
 30.10,   1.34E-008, 
 30.20,   1.37E-008, 
 30.30,   1.43E-008, 
 30.40,   1.26E-008, 
 30.50,   1.51E-008, 
 30.60,   3.23E-008, 
 30.70,   7.84E-008, 
 30.80,   1.32E-007, 
 30.90,   1.77E-007, 
 31.00,   1.79E-007, 
 31.10,   1.91E-007, 
 31.20,   1.73E-007, 
 31.30,   1.73E-007, 
 31.40,   9.14E-008, 
 31.50,   1.23E-007, 
 31.60,   2.91E-007, 
 31.70,   5.28E-007, 
 31.80,   7.96E-007, 
 31.90,   9.40E-007, 
 32.00,   9.15E-007, 
 32.10,   9.20E-007, 
 32.20,   8.07E-007, 
 32.30,   5.66E-007, 
 32.40,   7.27E-008, 
 32.50,   1.49E-008, 
 32.60,   7.03E-009, 
 32.70,   4.20E-009, 
 32.80,   3.21E-009, 
 32.90,   2.88E-009, 
 33.00,   2.72E-009, 
 33.10,   2.67E-009, 
 33.20,   2.50E-009, 
 33.30,   2.26E-009, 
 33.40,   1.66E-009, 
 33.50,   1.18E-009, 
 33.60,   9.92E-010, 
 33.70,   1.26E-009, 
 33.80,   1.94E-009, 
 33.90,   2.68E-009, 
 34.00,   3.15E-009, 
 34.10,   3.49E-009, 
 34.20,   3.36E-009, 
 34.30,   3.25E-009, 
 34.40,   2.03E-009, 
 34.50,   8.74E-010, 
 34.60,   3.71E-011, 
 34.70,  -1.11E-010, 
 34.80,  -8.89E-011, 
 34.90,  -1.72E-010, 
 35.00,  -2.46E-010, 
 35.10,  -2.21E-010, 
 35.20,  -1.88E-010, 
 35.30,  -1.41E-010, 
 35.40,  -1.76E-010, 
 35.50,  -2.91E-010, 
 35.60,  -3.00E-010, 
 35.70,  -1.74E-010, 
 35.80,  -5.60E-012, 
 35.90,   1.20E-010, 
 36.00,   1.05E-010, 
 36.10,   9.17E-011, 
 36.20,   5.60E-012, 
 36.30,   2.17E-011, 
 36.40,  -1.75E-011, 
 36.50,  -1.25E-010, 
 36.60,  -1.83E-010, 
 36.70,  -1.53E-010, 
 36.80,  -2.01E-010, 
 36.90,  -3.33E-010, 
 37.00,  -2.38E-010, 
 37.10,  -1.87E-010, 
 37.20,  -1.96E-010, 
 37.30,  -1.74E-010, 
 37.40,  -2.42E-010, 
 37.50,  -3.43E-010, 
 37.60,  -3.01E-010, 
 37.70,  -2.14E-010, 
 37.80,  -9.94E-011, 
 37.90,   4.27E-011, 
