Jan 20, 2017  02:16:06 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   4.00E-009, 
  1.10,   4.52E-009, 
  1.20,   7.48E-009, 
  1.30,   2.61E-008, 
  1.40,   3.80E-008, 
  1.50,   2.59E-008, 
  1.60,   2.14E-008, 
  1.70,   1.98E-008, 
  1.80,   2.15E-008, 
  1.90,   2.38E-008, 
  2.00,   2.53E-008, 
  2.10,   2.49E-008, 
  2.20,   2.35E-008, 
  2.30,   2.01E-008, 
  2.40,   1.52E-008, 
  2.50,   7.43E-009, 
  2.60,   3.66E-009, 
  2.70,   2.08E-009, 
  2.80,   1.23E-009, 
  2.90,   4.02E-010, 
  3.00,   2.44E-010, 
  3.10,   2.81E-010, 
  3.20,   3.47E-010, 
  3.30,   2.95E-010, 
  3.40,   1.26E-010, 
  3.50,  -5.18E-011, 
  3.60,  -7.21E-011, 
  3.70,  -1.66E-010, 
  3.80,  -1.75E-010, 
  3.90,  -1.16E-010, 
  4.00,  -1.66E-010, 
  4.10,  -6.86E-011, 
  4.20,  -1.49E-010, 
  4.30,  -2.21E-010, 
  4.40,  -2.37E-010, 
  4.50,  -1.80E-010, 
  4.60,  -2.10E-010, 
  4.70,  -2.72E-010, 
  4.80,  -2.18E-010, 
  4.90,  -2.72E-010, 
  5.00,  -2.47E-010, 
  5.10,  -1.88E-010, 
  5.20,  -2.32E-010, 
  5.30,  -1.31E-010, 
  5.40,  -1.62E-010, 
  5.50,  -2.45E-010, 
  5.60,  -2.30E-010, 
  5.70,  -2.72E-010, 
  5.80,  -2.92E-010, 
  5.90,  -3.18E-010, 
  6.00,  -3.37E-010, 
  6.10,  -2.31E-010, 
  6.20,  -2.72E-010, 
  6.30,  -2.42E-010, 
  6.40,  -2.35E-010, 
  6.50,  -2.23E-010, 
  6.60,  -1.95E-010, 
  6.70,  -2.82E-010, 
  6.80,  -2.41E-010, 
  6.90,  -2.23E-010, 
  7.00,  -2.40E-010, 
  7.10,  -2.90E-010, 
  7.20,  -2.79E-010, 
  7.30,  -3.07E-010, 
  7.40,  -3.32E-010, 
  7.50,  -3.62E-010, 
  7.60,  -3.33E-010, 
  7.70,  -2.91E-010, 
  7.80,  -2.97E-010, 
  7.90,  -2.58E-010, 
  8.00,  -3.51E-010, 
  8.10,  -3.24E-010, 
  8.20,  -2.75E-010, 
  8.30,  -2.06E-010, 
  8.40,  -1.91E-010, 
  8.50,  -2.00E-010, 
  8.60,  -2.58E-010, 
  8.70,  -3.24E-010, 
  8.80,  -3.29E-010, 
  8.90,  -3.71E-010, 
  9.00,  -3.03E-010, 
  9.10,  -3.10E-010, 
  9.20,  -2.86E-010, 
  9.30,  -2.77E-010, 
  9.40,  -3.53E-010, 
  9.50,  -2.35E-010, 
  9.60,  -2.30E-010, 
  9.70,  -2.30E-010, 
  9.80,  -2.49E-010, 
  9.90,  -3.50E-010, 
 10.00,  -3.85E-010, 
 10.10,  -3.28E-010, 
 10.20,  -3.38E-010, 
 10.30,  -3.49E-010, 
 10.40,  -3.89E-010, 
 10.50,  -3.07E-010, 
 10.60,  -2.32E-010, 
 10.70,  -2.47E-010, 
 10.80,  -3.02E-010, 
 10.90,  -3.88E-010, 
 11.00,  -3.69E-010, 
 11.10,  -3.77E-010, 
 11.20,  -3.50E-010, 
 11.30,  -3.13E-010, 
 11.40,  -3.57E-010, 
 11.50,  -2.19E-010, 
 11.60,   1.12E-010, 
 11.70,   6.62E-010, 
 11.80,   1.66E-009, 
 11.90,   2.26E-009, 
 12.00,   2.68E-009, 
 12.10,   2.78E-009, 
 12.20,   2.71E-009, 
 12.30,   2.52E-009, 
 12.40,   1.56E-009, 
 12.50,   8.94E-010, 
 12.60,   6.21E-010, 
 12.70,   1.65E-009, 
 12.80,   2.52E-009, 
 12.90,   3.66E-009, 
 13.00,   4.53E-009, 
 13.10,   5.24E-009, 
 13.20,   5.69E-009, 
 13.30,   6.54E-009, 
 13.40,   8.92E-009, 
 13.50,   1.83E-008, 
 13.60,   5.62E-008, 
 13.70,   1.40E-007, 
 13.80,   2.23E-007, 
 13.90,   2.67E-007, 
 14.00,   2.67E-007, 
 14.10,   2.67E-007, 
 14.20,   2.27E-007, 
 14.30,   1.74E-007, 
 14.40,   3.98E-008, 
 14.50,   1.24E-008, 
 14.60,   8.96E-009, 
 14.70,   1.22E-008, 
 14.80,   1.96E-008, 
 14.90,   2.75E-008, 
 15.00,   3.07E-008, 
 15.10,   3.21E-008, 
 15.20,   3.01E-008, 
 15.30,   2.64E-008, 
 15.40,   1.59E-008, 
 15.50,   1.15E-008, 
 15.60,   1.88E-008, 
 15.70,   3.98E-008, 
 15.80,   6.78E-008, 
 15.90,   8.62E-008, 
 16.00,   8.91E-008, 
 16.10,   8.95E-008, 
 16.20,   7.74E-008, 
 16.30,   5.97E-008, 
 16.40,   2.11E-008, 
 16.50,   1.02E-008, 
 16.60,   1.10E-008, 
 16.70,   1.96E-008, 
 16.80,   3.27E-008, 
 16.90,   4.48E-008, 
 17.00,   4.73E-008, 
 17.10,   4.91E-008, 
 17.20,   4.36E-008, 
 17.30,   3.81E-008, 
 17.40,   2.03E-008, 
 17.50,   1.80E-008, 
 17.60,   4.05E-008, 
 17.70,   9.61E-008, 
 17.80,   1.54E-007, 
 17.90,   1.98E-007, 
 18.00,   1.94E-007, 
 18.10,   2.02E-007, 
 18.20,   1.70E-007, 
 18.30,   1.40E-007, 
 18.40,   3.68E-008, 
 18.50,   1.11E-008, 
 18.60,   6.49E-009, 
 18.70,   6.24E-009, 
 18.80,   7.75E-009, 
 18.90,   1.01E-008, 
 19.00,   1.12E-008, 
 19.10,   1.18E-008, 
 19.20,   1.16E-008, 
 19.30,   1.07E-008, 
 19.40,   6.99E-009, 
 19.50,   3.75E-009, 
 19.60,   2.96E-009, 
 19.70,   3.46E-009, 
 19.80,   4.73E-009, 
 19.90,   6.15E-009, 
 20.00,   6.94E-009, 
 20.10,   7.42E-009, 
 20.20,   6.99E-009, 
 20.30,   6.18E-009, 
 20.40,   3.57E-009, 
 20.50,   1.89E-009, 
 20.60,   9.36E-010, 
 20.70,   1.96E-010, 
 20.80,   6.79E-011, 
 20.90,   4.34E-011, 
 21.00,   1.16E-010, 
 21.10,   5.25E-011, 
 21.20,   1.33E-010, 
 21.30,   1.15E-010, 
 21.40,   4.20E-011, 
 21.50,  -3.22E-011, 
 21.60,  -7.21E-011, 
 21.70,  -5.67E-011, 
 21.80,   1.40E-012, 
 21.90,   5.04E-011, 
 22.00,   1.16E-010, 
 22.10,   1.41E-010, 
 22.20,   9.10E-012, 
 22.30,  -4.55E-011, 
 22.40,  -1.21E-010, 
 22.50,  -1.39E-010, 
 22.60,  -2.00E-010, 
 22.70,  -1.69E-010, 
 22.80,  -1.97E-010, 
 22.90,  -2.64E-010, 
 23.00,  -3.47E-010, 
 23.10,  -3.82E-010, 
 23.20,  -3.19E-010, 
 23.30,  -2.61E-010, 
 23.40,  -2.25E-010, 
 23.50,  -1.55E-010, 
 23.60,  -7.21E-011, 
 23.70,  -7.00E-013, 
 23.80,   1.09E-010, 
 23.90,   2.35E-010, 
 24.00,   2.89E-010, 
 24.10,   3.66E-010, 
 24.20,   4.10E-010, 
 24.30,   3.28E-010, 
 24.40,   2.85E-010, 
 24.50,   2.56E-010, 
 24.60,   4.82E-010, 
 24.70,   1.35E-009, 
 24.80,   1.91E-009, 
 24.90,   2.67E-009, 
 25.00,   3.21E-009, 
 25.10,   3.46E-009, 
 25.20,   3.52E-009, 
 25.30,   3.55E-009, 
 25.40,   2.59E-009, 
 25.50,   2.21E-009, 
 25.60,   3.20E-009, 
 25.70,   6.04E-009, 
 25.80,   1.08E-008, 
 25.90,   1.58E-008, 
 26.00,   1.85E-008, 
 26.10,   1.99E-008, 
 26.20,   1.93E-008, 
 26.30,   1.80E-008, 
 26.40,   1.14E-008, 
 26.50,   7.47E-009, 
 26.60,   9.47E-009, 
 26.70,   1.75E-008, 
 26.80,   3.11E-008, 
 26.90,   4.66E-008, 
 27.00,   5.56E-008, 
 27.10,   6.74E-008, 
 27.20,   8.62E-008, 
 27.30,   1.37E-007, 
 27.40,   2.26E-007, 
 27.50,   5.18E-007, 
 27.60,   1.28E-006, 
 27.70,   2.34E-006, 
 27.80,   3.40E-006, 
 27.90,   4.15E-006, 
 28.00,   4.02E-006, 
 28.10,   4.21E-006, 
 28.20,   3.58E-006, 
 28.30,   2.82E-006, 
 28.40,   2.77E-007, 
 28.50,   3.42E-008, 
 28.60,   2.82E-008, 
 28.70,   4.60E-008, 
 28.80,   7.52E-008, 
 28.90,   9.91E-008, 
 29.00,   1.01E-007, 
 29.10,   1.05E-007, 
 29.20,   9.29E-008, 
 29.30,   7.91E-008, 
 29.40,   2.78E-008, 
 29.50,   1.02E-008, 
 29.60,   6.96E-009, 
 29.70,   7.63E-009, 
 29.80,   1.02E-008, 
 29.90,   1.37E-008, 
 30.00,   1.58E-008, 
 30.10,   1.70E-008, 
 30.20,   1.73E-008, 
 30.30,   1.81E-008, 
 30.40,   1.56E-008, 
 30.50,   1.93E-008, 
 30.60,   4.45E-008, 
 30.70,   1.06E-007, 
 30.80,   1.73E-007, 
 30.90,   2.26E-007, 
 31.00,   2.27E-007, 
 31.10,   2.39E-007, 
 31.20,   2.15E-007, 
 31.30,   2.10E-007, 
 31.40,   9.75E-008, 
 31.50,   1.22E-007, 
 31.60,   2.90E-007, 
 31.70,   5.22E-007, 
 31.80,   7.78E-007, 
 31.90,   9.11E-007, 
 32.00,   8.91E-007, 
 32.10,   8.97E-007, 
 32.20,   7.88E-007, 
 32.30,   5.54E-007, 
 32.40,   7.17E-008, 
 32.50,   1.49E-008, 
 32.60,   7.05E-009, 
 32.70,   4.39E-009, 
 32.80,   3.48E-009, 
 32.90,   3.22E-009, 
 33.00,   3.13E-009, 
 33.10,   3.10E-009, 
 33.20,   2.93E-009, 
 33.30,   2.67E-009, 
 33.40,   2.08E-009, 
 33.50,   1.51E-009, 
 33.60,   1.37E-009, 
 33.70,   1.56E-009, 
 33.80,   2.16E-009, 
 33.90,   2.89E-009, 
 34.00,   3.23E-009, 
 34.10,   3.46E-009, 
 34.20,   3.31E-009, 
 34.30,   3.07E-009, 
 34.40,   2.15E-009, 
 34.50,   1.20E-009, 
 34.60,   4.29E-010, 
 34.70,   1.89E-010, 
 34.80,   4.34E-011, 
 34.90,   3.43E-011, 
 35.00,  -1.89E-011, 
 35.10,  -6.23E-011, 
 35.20,  -1.25E-010, 
 35.30,  -1.61E-010, 
 35.40,  -1.88E-010, 
 35.50,  -2.32E-010, 
 35.60,  -1.51E-010, 
 35.70,  -8.12E-011, 
 35.80,   3.71E-011, 
 35.90,   1.11E-010, 
 36.00,   2.02E-010, 
 36.10,   2.35E-010, 
 36.20,   2.91E-010, 
 36.30,   2.47E-010, 
 36.40,   1.05E-010, 
 36.50,   7.28E-011, 
 36.60,   2.87E-011, 
 36.70,   2.80E-011, 
 36.80,   7.21E-011, 
 36.90,   9.03E-011, 
 37.00,   4.97E-011, 
 37.10,  -7.35E-011, 
 37.20,  -4.69E-011, 
 37.30,  -6.02E-011, 
 37.40,  -1.60E-010, 
 37.50,  -2.14E-010, 
 37.60,  -1.95E-010, 
 37.70,  -1.72E-010, 
 37.80,  -1.14E-010, 
 37.90,  -2.66E-011, 
 38.00,  -3.71E-011, 
 38.10,  -7.84E-011, 
