Jan 20, 2017  01:52:34 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   1.27E-009, 
  1.10,   1.45E-009, 
  1.20,   2.68E-009, 
  1.30,   1.12E-008, 
  1.40,   1.86E-008, 
  1.50,   1.32E-008, 
  1.60,   1.10E-008, 
  1.70,   1.09E-008, 
  1.80,   1.23E-008, 
  1.90,   1.45E-008, 
  2.00,   1.61E-008, 
  2.10,   1.61E-008, 
  2.20,   1.54E-008, 
  2.30,   1.36E-008, 
  2.40,   1.07E-008, 
  2.50,   5.62E-009, 
  2.60,   2.80E-009, 
  2.70,   1.57E-009, 
  2.80,   6.70E-010, 
  2.90,   2.63E-010, 
  3.00,   2.41E-010, 
  3.10,   2.49E-010, 
  3.20,   2.07E-010, 
  3.30,   1.20E-010, 
  3.40,   7.77E-011, 
  3.50,   2.80E-011, 
  3.60,   5.11E-011, 
  3.70,   7.56E-011, 
  3.80,   1.04E-010, 
  3.90,   1.40E-010, 
  4.00,   1.54E-011, 
  4.10,   3.50E-012, 
  4.20,   1.30E-010, 
  4.30,   1.38E-010, 
  4.40,   8.40E-011, 
  4.50,   3.50E-011, 
  4.60,  -1.11E-010, 
  4.70,  -2.24E-011, 
  4.80,  -3.57E-011, 
  4.90,  -9.80E-012, 
  5.00,   5.32E-011, 
  5.10,   8.40E-012, 
  5.20,   6.65E-011, 
  5.30,   3.08E-011, 
  5.40,   1.05E-011, 
  5.50,  -5.81E-011, 
  5.60,  -1.95E-010, 
  5.70,  -1.01E-010, 
  5.80,   1.54E-011, 
  5.90,   3.29E-011, 
  6.00,  -3.78E-011, 
  6.10,  -8.61E-011, 
  6.20,  -1.78E-010, 
  6.30,  -1.65E-010, 
  6.40,  -1.29E-010, 
  6.50,  -2.66E-011, 
  6.60,   7.28E-011, 
  6.70,   4.27E-011, 
  6.80,  -2.45E-011, 
  6.90,  -3.50E-011, 
  7.00,  -6.51E-011, 
  7.10,  -2.01E-010, 
  7.20,  -2.21E-010, 
  7.30,  -1.56E-010, 
  7.40,  -9.59E-011, 
  7.50,  -8.61E-011, 
  7.60,  -2.94E-011, 
  7.70,  -5.60E-011, 
  7.80,  -9.87E-011, 
  7.90,  -2.21E-010, 
  8.00,  -1.28E-010, 
  8.10,  -8.54E-011, 
  8.20,  -5.95E-011, 
  8.30,  -1.04E-010, 
  8.40,  -1.74E-010, 
  8.50,  -2.30E-010, 
  8.60,  -1.65E-010, 
  8.70,  -2.11E-010, 
  8.80,  -1.74E-010, 
  8.90,  -1.32E-010, 
  9.00,  -7.70E-011, 
  9.10,  -1.20E-010, 
  9.20,  -1.82E-010, 
  9.30,  -1.79E-010, 
  9.40,  -1.77E-010, 
  9.50,  -1.29E-010, 
  9.60,  -1.53E-010, 
  9.70,  -2.08E-010, 
  9.80,  -7.35E-011, 
  9.90,  -3.22E-011, 
 10.00,  -8.96E-011, 
 10.10,  -1.53E-010, 
 10.20,  -1.53E-010, 
 10.30,  -1.84E-010, 
 10.40,  -2.18E-010, 
 10.50,  -1.97E-010, 
 10.60,  -1.97E-010, 
 10.70,  -1.71E-010, 
 10.80,  -1.56E-010, 
 10.90,  -1.60E-010, 
 11.00,  -1.79E-010, 
 11.10,  -1.34E-010, 
 11.20,  -2.25E-010, 
 11.30,  -1.76E-010, 
 11.40,  -1.34E-010, 
 11.50,  -3.15E-011, 
 11.60,   5.95E-011, 
 11.70,   1.10E-010, 
 11.80,   2.57E-010, 
 11.90,   4.82E-010, 
 12.00,   6.64E-010, 
 12.10,   9.64E-010, 
 12.20,   9.46E-010, 
 12.30,   6.02E-010, 
 12.40,   4.41E-010, 
 12.50,   2.39E-010, 
 12.60,   2.58E-010, 
 12.70,   2.70E-010, 
 12.80,   5.74E-010, 
 12.90,   8.12E-010, 
 13.00,   1.38E-009, 
 13.10,   1.37E-009, 
 13.20,   1.45E-009, 
 13.30,   1.56E-009, 
 13.40,   2.09E-009, 
 13.50,   4.28E-009, 
 13.60,   1.13E-008, 
 13.70,   3.07E-008, 
 13.80,   5.98E-008, 
 13.90,   8.08E-008, 
 14.00,   8.42E-008, 
 14.10,   8.50E-008, 
 14.20,   7.33E-008, 
 14.30,   5.97E-008, 
 14.40,   2.32E-008, 
 14.50,   8.46E-009, 
 14.60,   4.91E-009, 
 14.70,   4.39E-009, 
 14.80,   5.51E-009, 
 14.90,   7.17E-009, 
 15.00,   8.42E-009, 
 15.10,   9.06E-009, 
 15.20,   9.07E-009, 
 15.30,   8.44E-009, 
 15.40,   6.11E-009, 
 15.50,   4.36E-009, 
 15.60,   5.55E-009, 
 15.70,   1.01E-008, 
 15.80,   1.73E-008, 
 15.90,   2.42E-008, 
 16.00,   2.73E-008, 
 16.10,   2.80E-008, 
 16.20,   2.54E-008, 
 16.30,   2.16E-008, 
 16.40,   1.13E-008, 
 16.50,   6.33E-009, 
 16.60,   6.74E-009, 
 16.70,   1.15E-008, 
 16.80,   1.98E-008, 
 16.90,   2.78E-008, 
 17.00,   3.12E-008, 
 17.10,   3.27E-008, 
 17.20,   3.01E-008, 
 17.30,   2.67E-008, 
 17.40,   1.55E-008, 
 17.50,   1.17E-008, 
 17.60,   2.09E-008, 
 17.70,   5.24E-008, 
 17.80,   9.34E-008, 
 17.90,   1.24E-007, 
 18.00,   1.27E-007, 
 18.10,   1.30E-007, 
 18.20,   1.13E-007, 
 18.30,   9.58E-008, 
 18.40,   3.33E-008, 
 18.50,   9.98E-009, 
 18.60,   4.85E-009, 
 18.70,   3.24E-009, 
 18.80,   2.81E-009, 
 18.90,   2.81E-009, 
 19.00,   2.81E-009, 
 19.10,   2.88E-009, 
 19.20,   2.72E-009, 
 19.30,   2.52E-009, 
 19.40,   1.94E-009, 
 19.50,   1.03E-009, 
 19.60,   5.27E-010, 
 19.70,   1.01E-009, 
 19.80,   1.42E-009, 
 19.90,   1.69E-009, 
 20.00,   1.76E-009, 
 20.10,   1.97E-009, 
 20.20,   1.99E-009, 
 20.30,   1.74E-009, 
 20.40,   9.24E-010, 
 20.50,   1.73E-010, 
 20.60,   1.34E-010, 
 20.70,   6.51E-011, 
 20.80,  -1.68E-011, 
 20.90,  -5.60E-011, 
 21.00,  -2.80E-011, 
 21.10,  -5.25E-011, 
 21.20,  -6.58E-011, 
 21.30,  -1.02E-010, 
 21.40,   0.00E+000, 
 21.50,  -1.40E-012, 
 21.60,  -5.60E-012, 
 21.70,  -2.17E-011, 
 21.80,  -2.31E-011, 
 21.90,  -4.34E-011, 
 22.00,  -1.32E-010, 
 22.10,  -1.05E-010, 
 22.20,  -1.13E-010, 
 22.30,  -1.02E-010, 
 22.40,  -1.87E-010, 
 22.50,  -1.30E-010, 
 22.60,  -1.30E-010, 
 22.70,  -8.26E-011, 
 22.80,  -1.30E-010, 
 22.90,  -3.43E-011, 
 23.00,  -5.32E-011, 
 23.10,  -3.15E-011, 
 23.20,  -1.41E-010, 
 23.30,  -1.67E-010, 
 23.40,  -1.16E-010, 
 23.50,  -1.82E-010, 
 23.60,  -1.55E-010, 
 23.70,  -1.40E-010, 
 23.80,   4.90E-012, 
 23.90,   9.10E-011, 
 24.00,  -2.45E-011, 
 24.10,   5.95E-011, 
 24.20,  -3.29E-011, 
 24.30,  -4.55E-011, 
 24.40,  -4.90E-011, 
 24.50,   6.30E-012, 
 24.60,   1.82E-011, 
 24.70,   2.24E-011, 
 24.80,   1.32E-010, 
 24.90,   3.19E-010, 
 25.00,   4.37E-010, 
 25.10,   5.51E-010, 
 25.20,   5.96E-010, 
 25.30,   5.84E-010, 
 25.40,   4.22E-010, 
 25.50,   3.46E-010, 
 25.60,   5.24E-010, 
 25.70,   1.20E-009, 
 25.80,   2.16E-009, 
 25.90,   3.08E-009, 
 26.00,   3.69E-009, 
 26.10,   4.17E-009, 
 26.20,   4.29E-009, 
 26.30,   4.04E-009, 
 26.40,   3.10E-009, 
 26.50,   2.01E-009, 
 26.60,   1.99E-009, 
 26.70,   3.13E-009, 
 26.80,   5.28E-009, 
 26.90,   8.08E-009, 
 27.00,   1.08E-008, 
 27.10,   1.31E-008, 
 27.20,   1.62E-008, 
 27.30,   2.33E-008, 
 27.40,   3.93E-008, 
 27.50,   9.23E-008, 
 27.60,   2.64E-007, 
 27.70,   5.51E-007, 
 27.80,   8.31E-007, 
 27.90,   1.05E-006, 
 28.00,   1.05E-006, 
 28.10,   1.10E-006, 
 28.20,   9.45E-007, 
 28.30,   8.25E-007, 
 28.40,   1.53E-007, 
 28.50,   2.14E-008, 
 28.60,   1.18E-008, 
 28.70,   1.20E-008, 
 28.80,   1.62E-008, 
 28.90,   2.22E-008, 
 29.00,   2.57E-008, 
 29.10,   2.67E-008, 
 29.20,   2.54E-008, 
 29.30,   2.32E-008, 
 29.40,   1.35E-008, 
 29.50,   6.22E-009, 
 29.60,   3.61E-009, 
 29.70,   2.84E-009, 
 29.80,   2.89E-009, 
 29.90,   3.39E-009, 
 30.00,   3.86E-009, 
 30.10,   4.08E-009, 
 30.20,   4.19E-009, 
 30.30,   4.26E-009, 
 30.40,   3.84E-009, 
 30.50,   4.01E-009, 
 30.60,   6.48E-009, 
 30.70,   1.46E-008, 
 30.80,   2.83E-008, 
 30.90,   4.31E-008, 
 31.00,   5.08E-008, 
 31.10,   5.30E-008, 
 31.20,   5.12E-008, 
 31.30,   4.90E-008, 
 31.40,   3.34E-008, 
 31.50,   2.52E-008, 
 31.60,   5.25E-008, 
 31.70,   1.21E-007, 
 31.80,   1.89E-007, 
 31.90,   2.40E-007, 
 32.00,   2.40E-007, 
 32.10,   2.49E-007, 
 32.20,   2.17E-007, 
 32.30,   1.88E-007, 
 32.40,   4.85E-008, 
 32.50,   1.25E-008, 
 32.60,   5.84E-009, 
 32.70,   3.42E-009, 
 32.80,   2.27E-009, 
 32.90,   1.75E-009, 
 33.00,   1.50E-009, 
 33.10,   1.35E-009, 
 33.20,   1.17E-009, 
 33.30,   7.42E-010, 
 33.40,   6.24E-010, 
 33.50,   4.82E-010, 
 33.60,   5.34E-010, 
 33.70,   6.64E-010, 
 33.80,   6.93E-010, 
 33.90,   9.34E-010, 
 34.00,   1.20E-009, 
 34.10,   1.16E-009, 
 34.20,   1.16E-009, 
 34.30,   8.73E-010, 
 34.40,   5.45E-010, 
 34.50,   3.84E-010, 
 34.60,   1.99E-010, 
 34.70,   8.33E-011, 
 34.80,   4.34E-011, 
 34.90,   2.45E-011, 
 35.00,   2.31E-011, 
 35.10,   4.06E-011, 
 35.20,   1.75E-011, 
 35.30,  -8.40E-011, 
 35.40,  -1.53E-010, 
 35.50,  -2.54E-010, 
 35.60,  -1.46E-010, 
 35.70,  -8.19E-011, 
 35.80,  -4.06E-011, 
 35.90,   4.20E-011, 
 36.00,   1.39E-010, 
 36.10,   1.00E-010, 
 36.20,   9.80E-011, 
 36.30,   1.20E-010, 
 36.40,   2.73E-011, 
 36.50,  -5.81E-011, 
 36.60,  -6.51E-011, 
 36.70,  -1.00E-010, 
 36.80,  -1.37E-010, 
 36.90,  -1.13E-010, 
 37.00,  -7.77E-011, 
 37.10,   1.47E-011, 
 37.20,   6.65E-011, 
 37.30,   3.01E-011, 
 37.40,  -3.92E-011, 
 37.50,  -5.11E-011, 
 37.60,  -7.00E-013, 
 37.70,   1.19E-011, 
 37.80,   1.26E-010, 
 37.90,   1.62E-010, 
 38.00,   1.32E-010, 
 38.10,   1.06E-010, 
